Artist,BookName,SourcePath,SourceExists,ProcessedFolderName,ProcessedPath,ProcessedExists,FileCount,Status
ACDC,ACDC - Anthology,ACDC\ACDC - Anthology.pdf,YES,ACDC - Anthology,Acdc\ACDC - Anthology,YES,3,COMPLETE
Adele,Adele - 19 _PVG Book_,Adele\Adele - 19 _PVG Book_.pdf,YES,Adele - 19 _PVG Book_,Adele\Adele - 19 _PVG Book_,YES,12,COMPLETE
Aerosmith,Aerosmith - Greatest Hits _Songbook_,Aerosmith\Aerosmith - Greatest Hits _Songbook_.pdf,YES,Aerosmith - Greatest Hits _Songbook_,Aerosmith\Aerosmith - Greatest Hits _Songbook_,YES,15,COMPLETE
Allman Brothers,Allman Brothers - Allman Brothers Band _PVG_,Allman Brothers\Allman Brothers - Allman Brothers Band _PVG_.pdf,YES,Allman Brothers - Allman Brothers Band _PVG_,Allman Brothers\Allman Brothers - Allman Brothers Band _PVG_,YES,15,COMPLETE
Allman Brothers,Allman Brothers - Band Best _Score_,Allman Brothers\Allman Brothers - Band Best _Score_.pdf,YES,Allman Brothers - Band Best _Score_,Allman Brothers\Allman Brothers - Band Best _Score_,YES,8,COMPLETE
Allman Brothers,Allman Brothers - Best Of _PVG_,Allman Brothers\Allman Brothers - Best Of _PVG_.pdf,YES,Allman Brothers - Best Of _PVG_,Allman Brothers\Allman Brothers - Best Of _PVG_,YES,28,COMPLETE
America,America - America _PVG Book_,America\America - America _PVG Book_.pdf,YES,America - America _PVG Book_,America\America - America _PVG Book_,YES,12,COMPLETE
America,America - Greatest Hits,America\America - Greatest Hits.pdf,YES,America - Greatest Hits,America\America - Greatest Hits,YES,12,COMPLETE
America,America - Greatest Hits _Book_,America\America - Greatest Hits _Book_.pdf,YES,America - Greatest Hits _Book_,America\America - Greatest Hits _Book_,YES,4,COMPLETE
Asia,Asia - Alpha _PVG Book_,Asia\Asia - Alpha _PVG Book_.pdf,YES,Asia - Alpha _PVG Book_,Asia\Asia - Alpha _PVG Book_,YES,11,COMPLETE
Avril Lavigne,Avril Lavigne - The Best Damn Thing _PVG Book_,Avril Lavigne\Avril Lavigne - The Best Damn Thing _PVG Book_.pdf,YES,Avril Lavigne - The Best Damn Thing _PVG Book_,Avril Lavigne\Avril Lavigne - The Best Damn Thing _PVG Book_,YES,12,COMPLETE
Barry Manilow,Barry Manilow - Anthology,Barry Manilow\Barry Manilow - Anthology.pdf,YES,Barry Manilow - Anthology,Barry Manilow\Barry Manilow - Anthology,YES,52,COMPLETE
Barry Manilow,Barry Manilow - Barry Manilow _PVG Book_,Barry Manilow\Barry Manilow - Barry Manilow _PVG Book_.pdf,YES,Barry Manilow - Barry Manilow _PVG Book_,Barry Manilow\Barry Manilow - Barry Manilow _PVG Book_,YES,13,COMPLETE
Beatles,Beatles - 100 Hits For All Keyboards,Beatles\Beatles - 100 Hits For All Keyboards.pdf,YES,Beatles - 100 Hits For All Keyboards,Beatles\Beatles - 100 Hits For All Keyboards,YES,48,COMPLETE
Beatles,Beatles - Abbey Road,Beatles\Beatles - Abbey Road.pdf,YES,Beatles - Abbey Road,Beatles\Beatles - Abbey Road,YES,19,COMPLETE
Beatles,Beatles - Abbey Road Guitar Recorded Version,Beatles\Beatles - Abbey Road Guitar Recorded Version.pdf,YES,Beatles - Abbey Road Guitar Recorded Version,Beatles\Beatles - Abbey Road Guitar Recorded Version,YES,18,COMPLETE
Beatles,Beatles - All Songs 1962-1974,Beatles\Beatles - All Songs 1962-1974.pdf,YES,Beatles - All Songs 1962-1974,Beatles\Beatles - All Songs 1962-1974,YES,199,COMPLETE
Beatles,Beatles - Anthology,Beatles\Beatles - Anthology.pdf,YES,Beatles - Anthology,Beatles\Beatles - Anthology,YES,199,COMPLETE
Beatles,Beatles - Anthology 1,Beatles\Beatles - Anthology 1.pdf,YES,Beatles - Anthology 1,Beatles\Beatles - Anthology 1,YES,18,COMPLETE
Beatles,Beatles - Anthology 1 _113 pages_,Beatles\Beatles - Anthology 1 _113 pages_.pdf,YES,Beatles - Anthology 1 _113 pages_,Beatles\Beatles - Anthology 1 _113 pages_,YES,26,COMPLETE
Beatles,Beatles - Anthology 2 page_01_-_40,Beatles\Beatles - Anthology 2 page_01_-_40.pdf,YES,Beatles - Anthology 2 page_01_-_40,Beatles\Beatles - Anthology 2 page_01_-_40,YES,9,COMPLETE
Beatles,Beatles - Anthology 2 page_41_-72,Beatles\Beatles - Anthology 2 page_41_-72.pdf,YES,Beatles - Anthology 2 page_41_-72,Beatles\Beatles - Anthology 2 page_41_-72,YES,1,COMPLETE
Beatles,Beatles - Anthology 2 page_73_-112,Beatles\Beatles - Anthology 2 page_73_-112.pdf,YES,Beatles - Anthology 2 page_73_-112,Beatles\Beatles - Anthology 2 page_73_-112,YES,1,COMPLETE
Beatles,Beatles - Anthology 3 _page 37 - 79,Beatles\Beatles - Anthology 3 _page 37 - 79.pdf,YES,Beatles - Anthology 3 _page 37 - 79,Beatles\Beatles - Anthology 3 _page 37 - 79,YES,1,COMPLETE
Beatles,Beatles - Anthology 3 page_01_-_36,Beatles\Beatles - Anthology 3 page_01_-_36.pdf,YES,Beatles - Anthology 3 page_01_-_36,Beatles\Beatles - Anthology 3 page_01_-_36,YES,8,COMPLETE
Beatles,Beatles - Anthology 3 page_80_-_111,Beatles\Beatles - Anthology 3 page_80_-_111.pdf,YES,Beatles - Anthology 3 page_80_-_111,Beatles\Beatles - Anthology 3 page_80_-_111,YES,1,COMPLETE
Beatles,Beatles - Beatlemania 1963-1966,Beatles\Beatles - Beatlemania 1963-1966.pdf,YES,Beatles - Beatlemania 1963-1966,Beatles\Beatles - Beatlemania 1963-1966,YES,34,COMPLETE
Beatles,Beatles - Complete Scores,Beatles\Beatles - Complete Scores.pdf,YES,Beatles - Complete Scores,Beatles\Beatles - Complete Scores,YES,210,COMPLETE
Beatles,Beatles - Complete Scores _2_,Beatles\Beatles - Complete Scores _2_.pdf,YES,Beatles - Complete Scores _2_,Beatles\Beatles - Complete Scores _2_,YES,210,COMPLETE
Beatles,Beatles - Essential Songs,Beatles\Beatles - Essential Songs.pdf,YES,Beatles - Essential Songs,Beatles\Beatles - Essential Songs,YES,96,COMPLETE
Beatles,Beatles - Fake Songbook _Guitar_,Beatles\Beatles - Fake Songbook _Guitar_.pdf,YES,Beatles - Fake Songbook _Guitar_,Beatles\Beatles - Fake Songbook _Guitar_,YES,178,COMPLETE
Beatles,Beatles - Joy Of Beatles,Beatles\Beatles - Joy Of Beatles.pdf,YES,Beatles - Joy Of Beatles,Beatles\Beatles - Joy Of Beatles,YES,1,COMPLETE
Beatles,Beatles - Live At The Hollywood Bowl,Beatles\Beatles - Live At The Hollywood Bowl.pdf,YES,Beatles - Live At The Hollywood Bowl,Beatles\Beatles - Live At The Hollywood Bowl,YES,12,COMPLETE
Beatles,Beatles - Live At The Hollywood Bowl _2_,Beatles\Beatles - Live At The Hollywood Bowl _2_.pdf,YES,Beatles - Live At The Hollywood Bowl _2_,Beatles\Beatles - Live At The Hollywood Bowl _2_,YES,12,COMPLETE
Beatles,Beatles - Revolver,Beatles\Beatles - Revolver.pdf,YES,Beatles - Revolver,Beatles\Beatles - Revolver,YES,14,COMPLETE
Beatles,Beatles - Revolver _2_,Beatles\Beatles - Revolver _2_.pdf,YES,Beatles - Revolver _2_,Beatles\Beatles - Revolver _2_,YES,14,COMPLETE
Beatles,Beatles - Rubber Soul,Beatles\Beatles - Rubber Soul.pdf,YES,Beatles - Rubber Soul,Beatles\Beatles - Rubber Soul,YES,13,COMPLETE
Beatles,Beatles - Sergeant Peppers Lonely Hearts Club Band,Beatles\Beatles - Sergeant Peppers Lonely Hearts Club Band.pdf,YES,Beatles - Sergeant Peppers Lonely Hearts Club Band,Beatles\Beatles - Sergeant Peppers Lonely Hearts Club Band,YES,1,COMPLETE
Beatles,Beatles - Singles Collection _PVG_,Beatles\Beatles - Singles Collection _PVG_.pdf,YES,Beatles - Singles Collection _PVG_,Beatles\Beatles - Singles Collection _PVG_,YES,26,COMPLETE
Beatles,Beatles - Songbook,Beatles\Beatles - Songbook.pdf,YES,Beatles - Songbook,Beatles\Beatles - Songbook,YES,194,COMPLETE
Beatles,Beatles - White Album 1 _Guitar Recorded Version_,Beatles\Beatles - White Album 1 _Guitar Recorded Version_.pdf,YES,Beatles - White Album 1 _Guitar Recorded Version_,Beatles\Beatles - White Album 1 _Guitar Recorded Version_,YES,1,COMPLETE
Bee Gees,Bee Gees - Anthology,Bee Gees\Bee Gees - Anthology.pdf,YES,Bee Gees - Anthology,Bee Gees\Bee Gees - Anthology,YES,1,COMPLETE
Belinda Carlisle,Belinda Carlisle - 5 Of The Best _PVG_,Belinda Carlisle\Belinda Carlisle - 5 Of The Best _PVG_.pdf,YES,Belinda Carlisle - 5 Of The Best _PVG_,Belinda Carlisle\Belinda Carlisle - 5 Of The Best _PVG_,YES,5,COMPLETE
Ben Folds,Ben Folds - Rockin The Suburbs _Book_,Ben Folds\Ben Folds - Rockin The Suburbs _Book_.pdf,YES,Ben Folds - Rockin The Suburbs _Book_,Ben Folds\Ben Folds - Rockin The Suburbs _Book_,YES,1,COMPLETE
Ben Folds,Ben Folds - Songs For Silverman,Ben Folds\Ben Folds - Songs For Silverman.pdf,YES,Ben Folds - Songs For Silverman,Ben Folds\Ben Folds - Songs For Silverman,YES,13,COMPLETE
Ben Folds,Ben Folds - Songs For The Silverman,Ben Folds\Ben Folds - Songs For The Silverman.pdf,YES,Ben Folds - Songs For The Silverman,Ben Folds\Ben Folds - Songs For The Silverman,YES,13,COMPLETE
Ben Folds,Ben Folds Five - Rockin The Suburbs,Ben Folds\Ben Folds Five - Rockin The Suburbs.pdf,YES,Ben Folds Five - Rockin The Suburbs,Ben Folds\Ben Folds Five - Rockin The Suburbs,YES,12,COMPLETE
