"Artist","SourceBook","SourcePath","FolderCount","Folders"
"ACDC","ACDC - Anthology","C:\Work\AWSMusic\SheetMusic\ACDC\books\ACDC - Anthology.pdf","2","Acdc - Anthology; Anthology"
"Aerosmith","Aerosmith - Greatest Hits (Songbook)","C:\Work\AWSMusic\SheetMusic\Aerosmith\books\Aerosmith - Greatest Hits (Songbook).pdf","2","Aerosmith - Greatest Hits (songbook); Greatest Hits (songbook)"
"Allman Brothers","Allman Brothers - Allman Brothers Band [PVG]","C:\Work\AWSMusic\SheetMusic\Allman Brothers\books\Allman Brothers - Allman Brothers Band [PVG].pdf","2","Allman Brothers - Allman Brothers Band [pvg]; Allman Brothers Band [pvg]"
"Allman Brothers","Allman Brothers - Best Of [PVG]","C:\Work\AWSMusic\SheetMusic\Allman Brothers\books\Allman Brothers - Best Of [PVG].pdf","2","Allman Brothers - Best Of [pvg]; Best Of [pvg]"
"Asia","Asia - Alpha [PVG Book]","C:\Work\AWSMusic\SheetMusic\Asia\books\Asia - Alpha [PVG Book].pdf","2","Alpha [pvg Book]; Asia - Alpha [pvg Book]"
"Avril Lavigne","Avril Lavigne - The Best Damn Thing [PVG Book]","C:\Work\AWSMusic\SheetMusic\Avril Lavigne\books\Avril Lavigne - The Best Damn Thing [PVG Book].pdf","2","Avril Lavigne - The Best Damn Thing [pvg Book]; The Best Damn Thing [pvg Book]"
"Barry Manilow","Barry Manilow - Anthology","C:\Work\AWSMusic\SheetMusic\Barry Manilow\books\Barry Manilow - Anthology.pdf","2","Anthology; Barry Manilow - Anthology"
"Barry Manilow","Barry Manilow - Barry Manilow [PVG Book]","C:\Work\AWSMusic\SheetMusic\Barry Manilow\books\Barry Manilow - Barry Manilow [PVG Book].pdf","2","Barry Manilow - Barry Manilow [pvg Book]; Barry Manilow [pvg Book]"
"Beatles","Beatles - Abbey Road Guitar Recorded Version","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Abbey Road Guitar Recorded Version.pdf","2","Abbey Road Guitar Recorded Version; Beatles - Abbey Road Guitar Recorded Version"
"Beatles","Beatles - Abbey Road [Scores]","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Abbey Road [Scores].pdf","2","Abbey Road [scores]; Beatles - Abbey Road [scores]"
"Beatles","Beatles - Abbey Road","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Abbey Road.pdf","2","Abbey Road; Beatles - Abbey Road"
"Beatles","Beatles - All Songs 1962-1974","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - All Songs 1962-1974.pdf","2","All Songs 1962-1974; Beatles - All Songs 1962-1974"
