"Artist","SourceBook","SourcePath","FolderCount","Folders"
"America","America - Greatest Hits [Book] ","C:\Work\AWSMusic\SheetMusic\America\books\America - Greatest Hits [Book] .pdf","0",""
"Ben Folds","Ben Folds - Rockin' The Suburbs [Book]","C:\Work\AWSMusic\SheetMusic\Ben Folds\books\Ben Folds - Rockin' The Suburbs [Book].pdf","0",""
"Billy Joel","Billy Joel - Turnstiles","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Turnstiles.pdf","0",""
"Bob Dylan","Bob Dylan - Nashville Skyline","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Nashville Skyline.pdf","0",""
"Crosby Stills and Nash","Crosby, Stills, Nash & Young - The Guitar Collection","C:\Work\AWSMusic\SheetMusic\Crosby Stills and Nash\books\Crosby, Stills, Nash & Young - The Guitar Collection.pdf","0",""
"Dire Straits","Dire Straits - Mark Knopfler Guitar Styles Vol 1 [Guitar Book]","C:\Work\AWSMusic\SheetMusic\Dire Straits\books\Dire Straits - Mark Knopfler Guitar Styles Vol 1 [Guitar Book].pdf","0",""
"ELO","Elton John - The Elton John Collection [Piano Solos]","C:\Work\AWSMusic\SheetMusic\ELO\books\Elton John - The Elton John Collection [Piano Solos].pdf","0",""
"Elvis Presley","Elvis Presley - The Compleat [PVG Book]","C:\Work\AWSMusic\SheetMusic\Elvis Presley\books\Elvis Presley - The Compleat [PVG Book].pdf","0",""
"Eric Clapton","Eric Clapton - The Cream of Clapton","C:\Work\AWSMusic\SheetMusic\Eric Clapton\books\Eric Clapton - The Cream of Clapton.pdf","0",""
"Frank Zappa","Frank Zappa - Hot Rats","C:\Work\AWSMusic\SheetMusic\Frank Zappa\books\Frank Zappa - Hot Rats.pdf","0",""
"John Denver","John Denver - Back Home Again","C:\Work\AWSMusic\SheetMusic\John Denver\books\John Denver - Back Home Again.pdf","0",""
"Kinks","Kinks - Guitar Legends [Tab]","C:\Work\AWSMusic\SheetMusic\Kinks\books\Kinks - Guitar Legends [Tab].pdf","0",""
"Mamas and the Papas","Mamas and The Papas - Songbook [PVG]","C:\Work\AWSMusic\SheetMusic\Mamas and the Papas\books\Mamas and The Papas - Songbook [PVG].pdf","0",""
"Night Ranger","Night Ranger - Best Of 2 [Jap Score]","C:\Work\AWSMusic\SheetMusic\Night Ranger\books\Night Ranger - Best Of 2 [Jap Score].pdf","0",""
"REO Speedwagon","REO Speedwagon - Life As We Know It","C:\Work\AWSMusic\SheetMusic\REO Speedwagon\books\REO Speedwagon - Life As We Know It.pdf","0",""
"Robbie Robertson","Robbie Robertson - Songbook [Guitar Tab]","C:\Work\AWSMusic\SheetMusic\Robbie Robertson\books\Robbie Robertson - Songbook [Guitar Tab].pdf","0",""
"Steely Dan","Steely Dan - The Best","C:\Work\AWSMusic\SheetMusic\Steely Dan\books\Steely Dan - The Best.pdf","0",""
"Tom Lehrer","Tom Lehrer - Book Covers","C:\Work\AWSMusic\SheetMusic\Tom Lehrer\books\Tom Lehrer - Book Covers.pdf","0",""
"Tom Lehrer","Tom Lehrer - Too Many Songs [PVC Book]","C:\Work\AWSMusic\SheetMusic\Tom Lehrer\books\Tom Lehrer - Too Many Songs [PVC Book].pdf","0",""
"Tom Waits","Tom Waits - Tom Waits Anthology","C:\Work\AWSMusic\SheetMusic\Tom Waits\books\Tom Waits - Tom Waits Anthology.pdf","0",""
"Various Artists","Various Artists - Ultimate 80s Songs","C:\Work\AWSMusic\SheetMusic\Various Artists\books\Various Artists - Ultimate 80s Songs.pdf","0",""
"Who","Who - Quadrophenia (PVG)","C:\Work\AWSMusic\SheetMusic\Who\books\Who - Quadrophenia (PVG).pdf","0",""
"Wings","Wings - Greatest Hits","C:\Work\AWSMusic\SheetMusic\Wings\books\Wings - Greatest Hits.pdf","0",""
"Wings","Wings - London Town (PVG Book)","C:\Work\AWSMusic\SheetMusic\Wings\books\Wings - London Town (PVG Book).pdf","0",""
"Wings","Wings - Over America [PVG]","C:\Work\AWSMusic\SheetMusic\Wings\books\Wings - Over America [PVG].pdf","0",""
"_Broadway Shows","Various Artists - 25th Annual Putnam County Spelling Bee","C:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - 25th Annual Putnam County Spelling Bee.pdf","0",""
"_Broadway Shows","Various Artists - High School Musical 1 [Libretto]","C:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - High School Musical 1 [Libretto].pdf","0",""
"_Broadway Shows","Various Artists - Little Shop Of Horrors (Broadway)","C:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Little Shop Of Horrors (Broadway).pdf","0",""
"_Broadway Shows","Various Artists - Little Shop of Horrors Script","C:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Little Shop of Horrors Script.pdf","0",""
"_Broadway Shows","Various Artists - Shrek The Musical","C:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Shrek The Musical.pdf","0",""
"_Broadway Shows","Various Artists - You're A Good Man Charlie Brown (Score)","C:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - You're A Good Man Charlie Brown (Score).pdf","0",""
"_Broadway Shows","Wicked Workshop","C:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Wicked Workshop.pdf","0",""
"_Movie and TV","The Wizard of Oz Script","C:\Work\AWSMusic\SheetMusic\_Movie and TV\Others\Books\The Wizard of Oz Script.pdf","0",""
"_Movie and TV","Various Artists - Complete TV and Film","C:\Work\AWSMusic\SheetMusic\_Movie and TV\Others\Books\Various Artists - Complete TV and Film.pdf","0",""
