"Artist","BookName","SourcePath","HasFolder","HasPDFs","Status"
"ACDC","ACDC - Anthology","C:\Work\AWSMusic\SheetMusic\ACDC\Books\ACDC - Anthology.pdf","False","False","Missing"
"Adele","Adele - 19 [PVG Book]","C:\Work\AWSMusic\SheetMusic\Adele\Books\Adele - 19 [PVG Book].pdf","False","False","Missing"
"Aerosmith","Aerosmith - Greatest Hits (Songbook)","C:\Work\AWSMusic\SheetMusic\Aerosmith\Books\Aerosmith - Greatest Hits (Songbook).pdf","False","False","Missing"
"Allman Brothers","Allman Brothers - Allman Brothers Band [PVG]","C:\Work\AWSMusic\SheetMusic\Allman Brothers\Books\Allman Brothers - Allman Brothers Band [PVG].pdf","False","False","Missing"
"Allman Brothers","Allman Brothers - Band Best [Score]","C:\Work\AWSMusic\SheetMusic\Allman Brothers\Books\Allman Brothers - Band Best [Score].pdf","False","False","Missing"
"Allman Brothers","Allman Brothers - Best Of [PVG]","C:\Work\AWSMusic\SheetMusic\Allman Brothers\Books\Allman Brothers - Best Of [PVG].pdf","False","False","Missing"
"America","America - America [PVG Book]","C:\Work\AWSMusic\SheetMusic\America\Books\America - America [PVG Book].pdf","False","False","Missing"
"America","America - Greatest Hits [Book]","C:\Work\AWSMusic\SheetMusic\America\Books\America - Greatest Hits [Book] .pdf","True","False","Empty"
"America","America - Greatest Hits","C:\Work\AWSMusic\SheetMusic\America\Books\America - Greatest Hits.pdf","False","False","Missing"
"Asia","Asia - Alpha [PVG Book]","C:\Work\AWSMusic\SheetMusic\Asia\Books\Asia - Alpha [PVG Book].pdf","False","False","Missing"
"Avril Lavigne","Avril Lavigne - The Best Damn Thing [PVG Book]","C:\Work\AWSMusic\SheetMusic\Avril Lavigne\Books\Avril Lavigne - The Best Damn Thing [PVG Book].pdf","False","False","Missing"
"Barry Manilow","Barry Manilow - Anthology","C:\Work\AWSMusic\SheetMusic\Barry Manilow\Books\Barry Manilow - Anthology.pdf","False","False","Missing"
"Barry Manilow","Barry Manilow - Barry Manilow [PVG Book]","C:\Work\AWSMusic\SheetMusic\Barry Manilow\Books\Barry Manilow - Barry Manilow [PVG Book].pdf","False","False","Missing"
"Beatles","Beatles - 100 Hits for All Keyboards","C:\Work\AWSMusic\SheetMusic\Beatles\Books\Beatles - 100 Hits for All Keyboards.pdf","False","False","Missing"
"Beatles","Beatles - Abbey Road Guitar Recorded Version","C:\Work\AWSMusic\SheetMusic\Beatles\Books\Beatles - Abbey Road Guitar Recorded Version.pdf","False","False","Missing"
"Beatles","Beatles - Abbey Road","C:\Work\AWSMusic\SheetMusic\Beatles\Books\Beatles - Abbey Road.pdf","False","False","Missing"
"Beatles","Beatles - All Songs 1962-1974","C:\Work\AWSMusic\SheetMusic\Beatles\Books\Beatles - All Songs 1962-1974.pdf","False","False","Missing"
"Beatles","Beatles - Anthology 1 (113 pages)","C:\Work\AWSMusic\SheetMusic\Beatles\Books\Beatles - Anthology 1 (113 pages).pdf","False","False","Missing"
