csv_artist,csv_book_name,csv_source_path,csv_book_id,csv_s3_uri,match_score,match_reason,db_book_id,db_artist,db_book_name,db_source_uri,db_status,book_id_match
ACDC,ACDC - Anthology,ACDC\ACDC - Anthology.pdf,7d85382a8e61e22d,s3://jsmith-input/SheetMusic/ACDC/ACDC - Anthology.pdf,0.979,artist:1.00 book:1.00 path:0.89,48a0aa4baf216184,ACDC,ACDC - Anthology,s3://jsmith-input/SheetMusic/ACDC/books/ACDC - Anthology.pdf,success,NO
Adele,Adele - 19 _PVG Book_,Adele\Adele - 19 _PVG Book_.pdf,0d2f25b5cba1b821,s3://jsmith-input/SheetMusic/Adele/Adele - 19 _PVG Book_.pdf,0.982,artist:1.00 book:1.00 path:0.91,8e5ac0bec0eeed0f,Adele,Adele - 19 [PVG Book],s3://jsmith-input/SheetMusic/Adele/books/Adele - 19 [PVG Book].pdf,success,NO
Aerosmith,Aerosmith - Greatest Hits _Songbook_,Aerosmith\Aerosmith - Greatest Hits _Songbook_.pdf,436ee7999d61f574,s3://jsmith-input/SheetMusic/Aerosmith/Aerosmith - Greatest Hits _Songbook_.pdf,0.989,artist:1.00 book:1.00 path:0.95,c810224de5a2d7a8,Aerosmith,Aerosmith - Greatest Hits (Songbook),s3://jsmith-input/SheetMusic/Aerosmith/books/Aerosmith - Greatest Hits (Songbook).pdf,success,NO
Allman Brothers,Allman Brothers - Allman Brothers Band _PVG_,Allman Brothers\Allman Brothers - Allman Brothers Band _PVG_.pdf,6003c56deca6637f,s3://jsmith-input/SheetMusic/Allman Brothers/Allman Brothers - Allman Brothers Band _PVG_.pdf,0.992,artist:1.00 book:1.00 path:0.96,368b45497457f313,Allman Brothers,Allman Brothers - Allman Brothers Band [PVG],s3://jsmith-input/SheetMusic/Allman Brothers/books/Allman Brothers - Allman Brothers Band [PVG].pdf,success,NO
Allman Brothers,Allman Brothers - Band Best _Score_,Allman Brothers\Allman Brothers - Band Best _Score_.pdf,21604f62e1418e85,s3://jsmith-input/SheetMusic/Allman Brothers/Allman Brothers - Band Best _Score_.pdf,0.990,artist:1.00 book:1.00 path:0.95,778921a3abc5138d,Allman Brothers,Allman Brothers - Band Best [Score],s3://jsmith-input/SheetMusic/Allman Brothers/books/Allman Brothers - Band Best [Score].pdf,success,NO
Allman Brothers,Allman Brothers - Best Of _PVG_,Allman Brothers\Allman Brothers - Best Of _PVG_.pdf,8940b02f676a5423,s3://jsmith-input/SheetMusic/Allman Brothers/Allman Brothers - Best Of _PVG_.pdf,0.989,artist:1.00 book:1.00 path:0.95,7adfbfc224bdc7d5,Allman Brothers,Allman Brothers - Best Of [PVG],s3://jsmith-input/SheetMusic/Allman Brothers/books/Allman Brothers - Best Of [PVG].pdf,success,NO
America,America - America _PVG Book_,America\America - America _PVG Book_.pdf,b6f23f2cf1615e98,s3://jsmith-input/SheetMusic/America/America - America _PVG Book_.pdf,0.986,artist:1.00 book:1.00 path:0.93,fea6b139addc36f3,America,America - America [PVG Book],s3://jsmith-input/SheetMusic/America/books/America - America [PVG Book].pdf,success,NO
America,America - Greatest Hits,America\America - Greatest Hits.pdf,5c1b6f9903c25b9d,s3://jsmith-input/SheetMusic/America/America - Greatest Hits.pdf,0.985,artist:1.00 book:1.00 path:0.93,d9601ec0a0e26b8d,America,America - Greatest Hits,s3://jsmith-input/SheetMusic/America/books/America - Greatest Hits.pdf,success,NO
America,America - Greatest Hits _Book_,America\America - Greatest Hits _Book_.pdf,4903350bb193935f,s3://jsmith-input/SheetMusic/America/America - Greatest Hits _Book_.pdf,0.985,artist:1.00 book:1.00 path:0.92,2dbdadbcc4ac8c07,America,America - Greatest Hits [Book] ,s3://jsmith-input/SheetMusic/America/books/America - Greatest Hits [Book] .pdf,success,NO
Asia,Asia - Alpha _PVG Book_,Asia\Asia - Alpha _PVG Book_.pdf,6388db4b6b2d9735,s3://jsmith-input/SheetMusic/Asia/Asia - Alpha _PVG Book_.pdf,0.982,artist:1.00 book:1.00 path:0.91,2804e588b487fea6,Asia,Asia - Alpha [PVG Book],s3://jsmith-input/SheetMusic/Asia/books/Asia - Alpha [PVG Book].pdf,success,NO
