Input PDF,Output Folder 1,PDF Count 1,Output Folder 2,PDF Count 2,Similarity,Action Needed
Allman Brothers\Allman Brothers - Band Best _Score_.pdf,Allman Brothers\Allman Brothers - Band Best _Score_,8,Allman Brothers\Allman Brothers - Best Of _PVG_,28,100.0% vs 75.8%,Compare and choose
Allman Brothers\Allman Brothers - Best Of _PVG_.pdf,Allman Brothers\Allman Brothers - Best Of _PVG_,28,Allman Brothers\Allman Brothers - Band Best _Score_,8,100.0% vs 75.8%,Compare and choose
America\America - Greatest Hits.pdf,America\America - Greatest Hits,12,America\America - Greatest Hits [Book],4,100.0% vs 86.8%,Compare and choose
Beatles\Beatles - Abbey Road Guitar Recorded Version.pdf,Beatles\Beatles - Abbey Road Guitar Recorded Version,18,Beatles\Beatles - White Album 1 _Guitar Recorded Version_,1,100.0% vs 79.6%,Compare and choose
Beatles\Beatles - Abbey Road.pdf,Beatles\Beatles - Abbey Road,19,Beatles\Beatles - Rubber Soul,13,100.0% vs 73.2%,Compare and choose
Beatles\Beatles - Anthology 1 _113 pages_.pdf,Beatles\Beatles - Anthology 1 _113 pages_,26,Beatles\Beatles - Anthology 3 page_01_-_36,8,100.0% vs 80.6%,Compare and choose
Beatles\Beatles - Anthology 1.pdf,Beatles\Beatles - Anthology 1,18,Beatles\Beatles - Anthology,199,100.0% vs 95.0%,Compare and choose
Beatles\Beatles - Anthology 2 page_01_-_40.pdf,Beatles\Beatles - Anthology 2 page_01_-_40,9,Beatles\Beatles - Anthology 3 page_01_-_36,8,100.0% vs 91.2%,Compare and choose
Beatles\Beatles - Anthology 2 page_41_-72.pdf,Beatles\Beatles - Anthology 2 page_41_-72,1,Beatles\Beatles - Anthology 2 page_01_-_40,9,100.0% vs 89.6%,Compare and choose
Beatles\Beatles - Anthology 3 page_01_-_36.pdf,Beatles\Beatles - Anthology 3 page_01_-_36,8,Beatles\Beatles - Anthology 2 page_01_-_40,9,100.0% vs 91.2%,Compare and choose
Beatles\Beatles - Anthology 3 page_80_-_111.pdf,Beatles\Beatles - Anthology 3 page_80_-_111,1,Beatles\Beatles - Anthology 3 page_01_-_36,8,100.0% vs 89.9%,Compare and choose
Beatles\Beatles - Anthology.pdf,Beatles\Beatles - Anthology,199,Beatles\Beatles - Anthology 1,18,100.0% vs 95.0%,Compare and choose
Beatles\Beatles - Fake Songbook _Guitar_.pdf,Beatles\Beatles - Fake Songbook _Guitar_,178,Beatles\Beatles - Songbook,194,100.0% vs 72.0%,Compare and choose
