Input PDF,Output Folder 1,PDF Count 1,Output Folder 2,PDF Count 2,Similarity,Action Needed
America\America - Greatest Hits _Book_.pdf,America\America - Greatest Hits [Book],4,America\America - Greatest Hits _Book_,4,100.0% vs 100.0%,Compare and choose
Beatles\Beatles - Anthology 2 page_73_-112.pdf,Beatles\Beatles - Anthology 2 page_73_-112,1,Beatles\Beatles - Anthology 2 page_41_-72,1,100.0% vs 89.6%,Compare and choose
Beatles\Beatles - Anthology 3 _page 37 - 79.pdf,Beatles\Beatles - Anthology 3 _page 37 - 79,1,Beatles\Beatles - Anthology 2 page_73_-112,1,100.0% vs 78.3%,Compare and choose
Beatles\Beatles - Complete Scores _2_.pdf,Beatles\Beatles - Complete Scores _2_,210,Beatles\Beatles - Complete Scores,210,100.0% vs 92.6%,Compare and choose
Beatles\Beatles - Complete Scores.pdf,Beatles\Beatles - Complete Scores,210,Beatles\Beatles - Complete Scores _2_,210,100.0% vs 92.6%,Compare and choose
Beatles\Beatles - Live At The Hollywood Bowl _2_.pdf,Beatles\Beatles - Live At The Hollywood Bowl _2_,12,Beatles\Beatles - Live At The Hollywood Bowl,12,100.0% vs 94.7%,Compare and choose
Beatles\Beatles - Live At The Hollywood Bowl.pdf,Beatles\Beatles - Live At The Hollywood Bowl,12,Beatles\Beatles - Live At The Hollywood Bowl _2_,12,100.0% vs 94.7%,Compare and choose
Beatles\Beatles - Revolver _2_.pdf,Beatles\Beatles - Revolver _2_,14,Beatles\Beatles - Revolver,14,100.0% vs 90.0%,Compare and choose
Beatles\Beatles - Revolver.pdf,Beatles\Beatles - Revolver,14,Beatles\Beatles - Revolver _2_,14,100.0% vs 90.0%,Compare and choose
Ben Folds\Ben Folds - Rockin The Suburbs _Book_.pdf,Ben Folds\Ben Folds - Rockin The Suburbs _Book_,1,Ben Folds\Ben Folds - Rockin' The Suburbs [Book],1,100.0% vs 98.7%,Compare and choose
Ben Folds\Ben Folds - Songs For Silverman.pdf,Ben Folds\Ben Folds - Songs For Silverman,13,Ben Folds\Ben Folds - Songs For The Silverman,13,100.0% vs 93.9%,Compare and choose
Ben Folds\Ben Folds - Songs For The Silverman.pdf,Ben Folds\Ben Folds - Songs For The Silverman,13,Ben Folds\Ben Folds - Songs For Silverman,13,100.0% vs 93.9%,Compare and choose
Bob Dylan\Bob Dylan - Anthology.pdf,Bob Dylan\Bob Dylan - Anthology,46,Bob Dylan\Bob Dylan - Anthology 1,46,100.0% vs 95.5%,Compare and choose
Carole King\Carole King - Classics _2_.pdf,Carole King\Carole King - Classics _2_,35,Carole King\Carole King - Classics _3_,35,100.0% vs 96.2%,Compare and choose
Carole King\Carole King - Classics _3_.pdf,Carole King\Carole King - Classics _3_,35,Carole King\Carole King - Classics _2_,35,100.0% vs 96.2%,Compare and choose
Eagles\Eagles - Greatest Hits _1971-1975_.pdf,Eagles\Eagles - Greatest Hits _1971-1975_,10,Eagles\Eagles - Greatest Hits,10,100.0% vs 78.6%,Compare and choose
Eagles\Eagles - Greatest Hits.pdf,Eagles\Eagles - Greatest Hits,10,Eagles\Eagles - Greatest Hits _1971-1975_,10,100.0% vs 78.6%,Compare and choose
James Taylor\James Taylor - Classic _Guitar_.pdf,James Taylor\James Taylor - Classic _Guitar_,15,James Taylor\James Taylor - Classics _guitar tab_,15,100.0% vs 92.5%,Compare and choose
James Taylor\James Taylor - Classics _guitar tab_.pdf,James Taylor\James Taylor - Classics _guitar tab_,15,James Taylor\James Taylor - Classic _Guitar_,15,100.0% vs 92.5%,Compare and choose
James Taylor\James Taylor - Guitar Songbook.pdf,James Taylor\James Taylor - Guitar Songbook,24,James Taylor\James Taylor - James Taylor Songbook,24,100.0% vs 81.8%,Compare and choose
Jimmy Buffet\Jimmy Buffett - Barometer Soup _PVG Book_.pdf,Jimmy Buffet\Jimmy Buffett - Barometer Soup _PVG Book_,9,Jimmy Buffet\Jimmy Buffett - Fruitcakes _PVG Book_,9,100.0% vs 76.9%,Compare and choose
Jimmy Buffet\Jimmy Buffett - Fruitcakes _PVG Book_.pdf,Jimmy Buffet\Jimmy Buffett - Fruitcakes _PVG Book_,9,Jimmy Buffet\Jimmy Buffett - Barometer Soup _PVG Book_,9,100.0% vs 74.4%,Compare and choose
John Denver\John Denver - Anthology _PVG_.pdf,John Denver\John Denver - Anthology _PVG_,53,John Denver\John Denver - Anthology,53,100.0% vs 88.5%,Compare and choose
John Denver\John Denver - Anthology.pdf,John Denver\John Denver - Anthology,53,John Denver\John Denver - Anthology _PVG_,53,100.0% vs 88.5%,Compare and choose
Journey\Journey - Complete Songbook.pdf,Journey\Journey - Complete Songbook,68,Journey\Journey - Complete,68,100.0% vs 80.0%,Compare and choose
Journey\Journey - Complete.pdf,Journey\Journey - Complete,68,Journey\Journey - Complete Songbook,68,100.0% vs 80.0%,Compare and choose
Kinks\Kinks - Guitar Legends _Guitar_.pdf,Kinks\Kinks - Guitar Legends _Guitar_,9,Kinks\Kinks - Guitar Legends [Tab],9,100.0% vs 91.5%,Compare and choose
Kinks\Kinks - Guitar Legends _Tab_.pdf,Kinks\Kinks - Guitar Legends [Tab],9,Kinks\Kinks - Guitar Legends _Tab_,9,100.0% vs 100.0%,Compare and choose
Michael Jackson\Michael Jackson - Great Songs Of _PVG_.pdf,Michael Jackson\Michael Jackson - Great Songs Of _PVG_,10,Michael Jackson\Michael Jackson - The Great Songs Of,10,100.0% vs 86.5%,Compare and choose
