local_artist,local_book,local_song_count,s3_artist,s3_book,s3_song_count,match_pct,match_quality,matches,local_only,s3_only,status,notes
Bob Dylan,Bob Dylan - Songbook,47,Bob Dylan,Songbook,47,0.9574468085106383,EXCELLENT,45,2,2,NEEDS_REVIEW,
Various Artists,Various Artists - 100 Songs For Kids - _Easy Guitar Songbook_,99,Various Artists,100 Songs For Kids - (easy Guitar Songbook),99,0.9797979797979798,EXCELLENT,97,2,2,NEEDS_REVIEW,
Various Artists,Various Artists - Golden Era Of Rock And Roll _grab it_,100,Various Artists,Golden Era Of Rock And Roll (grab It!),99,0.98,EXCELLENT,98,2,1,NEEDS_REVIEW,
Various Artists,Various Artists - History Of Rock - Late 80s,44,Various Artists,History Of Rock - Late 80s,43,0.9545454545454546,EXCELLENT,42,2,1,NEEDS_REVIEW,
_broadway Shows,Various Artists - The Ultimate BROADWAY fakebook,407,_broadway Shows,Various Artists - The Ultimate Broadway Fakebook,407,0.995085995085995,EXCELLENT,405,2,2,NEEDS_REVIEW,
_movie And Tv,Various Artists - Movie Fakebook,389,_movie And Tv,Various Artists - Movie Fakebook,392,0.9948586118251928,EXCELLENT,387,2,5,NEEDS_REVIEW,
_movie And Tv,Various Artists - The TV Fakebook,72,_movie And Tv,Various Artists - The Tv Fakebook,71,0.9722222222222222,EXCELLENT,70,2,1,NEEDS_REVIEW,
Beatles,Beatles - Abbey Road Guitar Recorded Version,18,Beatles,Beatles - Complete Scores,167,0.8333333333333334,GOOD,15,3,152,NEEDS_REVIEW,
Beatles,Beatles - Rubber Soul,13,Beatles,Beatles - Complete Scores,167,0.8461538461538461,GOOD,11,2,156,NEEDS_REVIEW,
Beatles,Beatles - Singles Collection _PVG_,26,Beatles,Beatles - Complete Scores (2),160,0.8461538461538461,GOOD,22,4,138,NEEDS_REVIEW,
Ben Folds,Ben Folds - Songs For Silverman,13,Ben Folds,Songs For Silverman,13,0.8461538461538461,GOOD,11,2,2,NEEDS_REVIEW,
Ben Folds,Ben Folds - Songs For The Silverman,13,Ben Folds,Songs For Silverman,13,0.8461538461538461,GOOD,11,2,2,NEEDS_REVIEW,
Ben Folds,Ben Folds Five - Selections From Naked Baby Photos _Score_,15,Ben Folds,Ben Folds Five - Selections From Naked Baby Photos [score],18,0.9333333333333333,GOOD,14,1,4,NEEDS_REVIEW,
Ben Folds,Ben Folds Five - Whatever And Ever Amen _Book_,12,Ben Folds,Ben Folds Five - Whatever And Ever Amen [book],15,0.9166666666666666,GOOD,11,1,4,NEEDS_REVIEW,
Billy Joel,Billy Joel - Complete Vol 1,47,Billy Joel,Complete Vol 1,47,0.851063829787234,GOOD,40,7,7,NEEDS_REVIEW,
Billy Joel,Billy Joel - Complete Vol 2,48,Billy Joel,Complete Vol 2,48,0.8125,GOOD,39,9,9,NEEDS_REVIEW,
Bob Dylan,Bob Dylan - Anthology,46,Bob Dylan,Bob Dylan - Anthology,43,0.9130434782608695,GOOD,42,4,1,NEEDS_REVIEW,
Bob Dylan,Bob Dylan - Anthology 1,46,Bob Dylan,Bob Dylan - Anthology,43,0.9130434782608695,GOOD,42,4,1,NEEDS_REVIEW,
Bob Dylan,Bob Dylan - Anthology 2,51,Bob Dylan,Bob Dylan - Anthology 2,49,0.9411764705882353,GOOD,48,3,1,NEEDS_REVIEW,
Bob Dylan,Bob Dylan - Blonde On Blonde,13,Bob Dylan,Blonde On Blonde,13,0.9230769230769231,GOOD,12,1,1,NEEDS_REVIEW,
Bob Dylan,Bob Dylan - Collection,47,Bob Dylan,Bob Dylan - Anthology,43,0.8085106382978723,GOOD,38,9,5,NEEDS_REVIEW,
