"Artist","Book","OriginalFilename","NewFilename","WillRename","OriginalPath","NewPath"
"Acdc","Anthology","Angus Young - Malcolm Young - Brian Johnson - You Shook Me All Night Long.pdf","Acdc - Malcolm Young - Brian Johnson - You Shook Me All Night Long.pdf","True","Acdc\Anthology\Songs\Angus Young - Malcolm Young - Brian Johnson - You Shook Me All Night Long.pdf","Acdc\books\Anthology\Acdc - Malcolm Young - Brian Johnson - You Shook Me All Night Long.pdf"
"Acdc","Anthology","Angus Young-malcolm Young-brian Johnson - Let Me Put My Love Into You.pdf","Acdc - Let Me Put My Love Into You.pdf","True","Acdc\Anthology\Songs\Angus Young-malcolm Young-brian Johnson - Let Me Put My Love Into You.pdf","Acdc\books\Anthology\Acdc - Let Me Put My Love Into You.pdf"
"Acdc","Anthology","Young-young-johnson - For Those About To Rock (we Salute You).pdf","Acdc - For Those About To Rock (we Salute You).pdf","True","Acdc\Anthology\Songs\Young-young-johnson - For Those About To Rock (we Salute You).pdf","Acdc\books\Anthology\Acdc - For Those About To Rock (we Salute You).pdf"
"Adele","19 [pvg Book]","Adele Adkins & Francis White - Daydreamer.pdf","Adele - Daydreamer.pdf","True","Adele\19 [pvg Book]\Songs\Adele Adkins & Francis White - Daydreamer.pdf","Adele\books\19 [pvg Book]\Adele - Daydreamer.pdf"
"Adele","19 [pvg Book]","Adele Adkins & Francis White - Melt My Heart To Stone.pdf","Adele - Melt My Heart To Stone.pdf","True","Adele\19 [pvg Book]\Songs\Adele Adkins & Francis White - Melt My Heart To Stone.pdf","Adele\books\19 [pvg Book]\Adele - Melt My Heart To Stone.pdf"
"Adele","19 [pvg Book]","Adele Adkins - Best For Last.pdf","Adele - Best For Last.pdf","True","Adele\19 [pvg Book]\Songs\Adele Adkins - Best For Last.pdf","Adele\books\19 [pvg Book]\Adele - Best For Last.pdf"
"Adele","19 [pvg Book]","Adele Adkins - Cold Shoulder.pdf","Adele - Cold Shoulder.pdf","True","Adele\19 [pvg Book]\Songs\Adele Adkins - Cold Shoulder.pdf","Adele\books\19 [pvg Book]\Adele - Cold Shoulder.pdf"
"Adele","19 [pvg Book]","Adele Adkins - Crazy For You.pdf","Adele - Crazy For You.pdf","True","Adele\19 [pvg Book]\Songs\Adele Adkins - Crazy For You.pdf","Adele\books\19 [pvg Book]\Adele - Crazy For You.pdf"
"Adele","19 [pvg Book]","Adele Adkins - First Love.pdf","Adele - First Love.pdf","True","Adele\19 [pvg Book]\Songs\Adele Adkins - First Love.pdf","Adele\books\19 [pvg Book]\Adele - First Love.pdf"
"Adele","19 [pvg Book]","Adele Adkins - Hometown Glory.pdf","Adele - Hometown Glory.pdf","True","Adele\19 [pvg Book]\Songs\Adele Adkins - Hometown Glory.pdf","Adele\books\19 [pvg Book]\Adele - Hometown Glory.pdf"
"Adele","19 [pvg Book]","Adele Adkins - My Same.pdf","Adele - My Same.pdf","True","Adele\19 [pvg Book]\Songs\Adele Adkins - My Same.pdf","Adele\books\19 [pvg Book]\Adele - My Same.pdf"
"Adele","19 [pvg Book]","Adele Adkins, J Silverman & Leon Michels - Right As Rain.pdf","Adele - Right As Rain.pdf","True","Adele\19 [pvg Book]\Songs\Adele Adkins, J Silverman & Leon Michels - Right As Rain.pdf","Adele\books\19 [pvg Book]\Adele - Right As Rain.pdf"
"Adele","19 [pvg Book]","Adele Atkins & Francis White - Chasing Pavements.pdf","Adele - Chasing Pavements.pdf","True","Adele\19 [pvg Book]\Songs\Adele Atkins & Francis White - Chasing Pavements.pdf","Adele\books\19 [pvg Book]\Adele - Chasing Pavements.pdf"
"Adele","19 [pvg Book]","Adele Atkins & Francis White - Tired.pdf","Adele - Tired.pdf","True","Adele\19 [pvg Book]\Songs\Adele Atkins & Francis White - Tired.pdf","Adele\books\19 [pvg Book]\Adele - Tired.pdf"
"Adele","19 [pvg Book]","Bob Dylan - Make You Feel My Love.pdf","Adele - Make You Feel My Love.pdf","True","Adele\19 [pvg Book]\Songs\Bob Dylan - Make You Feel My Love.pdf","Adele\books\19 [pvg Book]\Adele - Make You Feel My Love.pdf"
