"Artist","BookName","BookId","ExecutionArn","ExecutionName","StartTime"
"Crosby Stills and Nash","Crosby, Stills, Nash & Young - The Guitar Collection","1d278d16c41d35d0",,"retry5-Crosby-Stills-and-Nash-Crosby-Stills-Nash-Young-The-Guitar-Collection-20260128-010859-212",
"Dire Straits","Dire Straits - Mark Knopfler Guitar Styles Vol 1 [Guitar Book]","9c9bdd716e16b099",,"retry5-Dire-Straits-Dire-Straits-Mark-Knopfler-Guitar-Styles-Vol-1-Guitar-Book--20260128-010900-141",
"ELO","Elton John - The Elton John Collection [Piano Solos]","887e2e45ab7b3b97",,"retry5-ELO-Elton-John-The-Elton-John-Collection-Piano-Solos--20260128-010901-280",
"Elvis Presley","Elvis Presley - The Compleat [PVG Book]","c55d9ca3c778dd38",,"retry5-Elvis-Presley-Elvis-Presley-The-Compleat-PVG-Book--20260128-010902-387",
"Eric Clapton","Eric Clapton - The Cream of Clapton","36aa31bfab289567",,"retry5-Eric-Clapton-Eric-Clapton-The-Cream-of-Clapton-20260128-010904-625",
"John Denver","John Denver - Back Home Again","9df2eb3af1b508ce",,"retry5-John-Denver-John-Denver-Back-Home-Again-20260128-011035-844",
"Mamas and the Papas","Mamas and The Papas - Songbook [PVG]","223a423e18bc1ec0",,"retry5-Mamas-and-the-Papas-Mamas-and-The-Papas-Songbook-PVG--20260128-011036-304",
"Night Ranger","Night Ranger - Best Of 2 [Jap Score]","a24b5be0f1142823",,"retry5-Night-Ranger-Night-Ranger-Best-Of-2-Jap-Score--20260128-011038-622",
"REO Speedwagon","REO Speedwagon - Life As We Know It","c379f5734621f8b5",,"retry5-REO-Speedwagon-REO-Speedwagon-Life-As-We-Know-It-20260128-011040-543",
"Robbie Robertson","Robbie Robertson - Songbook [Guitar Tab]","08d92ded3eef6bb4",,"retry5-Robbie-Robertson-Robbie-Robertson-Songbook-Guitar-Tab--20260128-011041-699",
"Tom Waits","Tom Waits - Tom Waits Anthology","9325904743ce66e3",,"retry5-Tom-Waits-Tom-Waits-Tom-Waits-Anthology-20260128-011213-967",
"Various Artists","Various Artists - Ultimate 80s Songs","fcc1fe463ae21fde",,"retry5-Various-Artists-Various-Artists-Ultimate-80s-Songs-20260128-011214-384",
"_Broadway Shows","Various Artists - 25th Annual Putnam County Spelling Bee","409dbc2fb2b9f07b",,"retry5-_Broadway-Shows-Various-Artists-25th-Annual-Putnam-County-Spelling-Bee-20260128-011216-130",
"_Broadway Shows","Various Artists - High School Musical 1 [Libretto]","fe228409b9358f15",,"retry5-_Broadway-Shows-Various-Artists-High-School-Musical-1-Libretto--20260128-011218-916",
"_Broadway Shows","Various Artists - Little Shop Of Horrors (Broadway)","defa30e11ab4bb61",,"retry5-_Broadway-Shows-Various-Artists-Little-Shop-Of-Horrors-Broadway--20260128-011219-624",
"_Broadway Shows","Various Artists - Little Shop of Horrors Script","8112af2c2e0cb3d3",,"retry5-_Broadway-Shows-Various-Artists-Little-Shop-of-Horrors-Script-20260128-011351-501",
"_Broadway Shows","Various Artists - Shrek The Musical","2e248ca548dd6417",,"retry5-_Broadway-Shows-Various-Artists-Shrek-The-Musical-20260128-011352-345",
"_Broadway Shows","Various Artists - You're A Good Man Charlie Brown (Score)","05fd08e3e330edbb",,"retry5-_Broadway-Shows-Various-Artists-You-re-A-Good-Man-Charlie-Brown-Score--20260128-011353-406",
"_Broadway Shows","Wicked Workshop","acb7acc140fb4193",,"retry5-_Broadway-Shows-Wicked-Workshop-20260128-011354-641",
"_Movie and TV","The Wizard of Oz Script","e31e0de69a863ece",,"retry5-_Movie-and-TV-The-Wizard-of-Oz-Script-20260128-011355-279",
"_Movie and TV","Various Artists - Complete TV and Film","e2fac2c11a133284",,"retry5-_Movie-and-TV-Various-Artists-Complete-TV-and-Film-20260128-011526-849",
