BookFolder,NormalizedName,PDFCount,TotalFiles,IsDuplicate,DuplicateCount
Abba/Great Bands Of The 70s,Abba/Great Bands Of The 70s,1,1,No,1
Acdc/Acdc - Anthology,Acdc/Anthology,3,3,Yes,2
Acdc/Anthology,Acdc/Anthology,3,3,Yes,2
Adele/19 [pvg Book],Adele/19 [pvg Book],12,12,Yes,2
Adele/Adele - 19 [pvg Book],Adele/19 [pvg Book],5,5,Yes,2
Aerosmith/Aerosmith - Greatest Hits (songbook),Aerosmith/Greatest Hits (songbook),7,7,Yes,2
Aerosmith/Greatest Hits (songbook),Aerosmith/Greatest Hits (songbook),15,15,Yes,2
Allman Brothers/Allman Brothers - Allman Brothers Band [pvg],Allman Brothers/Allman Brothers Band [pvg],3,3,Yes,2
Allman Brothers/Allman Brothers - Band Best [score],Allman Brothers/Band Best [score],3,3,Yes,2
Allman Brothers/Allman Brothers - Best Of [pvg],Allman Brothers/Best Of [pvg],25,25,Yes,2
Allman Brothers/Allman Brothers Band [pvg],Allman Brothers/Allman Brothers Band [pvg],15,15,Yes,2
Allman Brothers/Band Best [score],Allman Brothers/Band Best [score],8,8,Yes,2
Allman Brothers/Best Of [pvg],Allman Brothers/Best Of [pvg],28,28,Yes,2
America/America - America [pvg Book],America/America [pvg Book],1,1,Yes,2
America/America - Greatest Hits,America/Greatest Hits,7,7,Yes,2
America/America - Greatest Hits [book],America/Greatest Hits [book],7,7,Yes,2
America/America [pvg Book],America/America [pvg Book],13,13,Yes,2
America/Greatest Hits,America/Greatest Hits,12,12,Yes,2
America/Greatest Hits [book],America/Greatest Hits [book],4,4,Yes,2
Asia/Alpha [pvg Book],Asia/Alpha [pvg Book],11,11,Yes,2
Asia/Asia - Alpha [pvg Book],Asia/Alpha [pvg Book],4,4,Yes,2
Avril Lavigne/Avril Lavigne - The Best Damn Thing [pvg Book],Avril Lavigne/The Best Damn Thing [pvg Book],4,4,Yes,2
Avril Lavigne/The Best Damn Thing [pvg Book],Avril Lavigne/The Best Damn Thing [pvg Book],13,13,Yes,2
Barry Manilow/Anthology,Barry Manilow/Anthology,53,53,Yes,2
Barry Manilow/Barry Manilow - Anthology,Barry Manilow/Anthology,25,25,Yes,2
Barry Manilow/Barry Manilow - Barry Manilow [pvg Book],Barry Manilow/Barry Manilow [pvg Book],7,7,Yes,2
Barry Manilow/Barry Manilow [pvg Book],Barry Manilow/Barry Manilow [pvg Book],13,13,Yes,2
Beatles/100 Hits For All Keyboards,Beatles/100 Hits For All Keyboards,48,48,Yes,2
Beatles/Abbey Road,Beatles/Abbey Road,17,17,Yes,2
Beatles/Abbey Road Guitar Recorded Version,Beatles/Abbey Road Guitar Recorded Version,18,18,Yes,2
Beatles/Abbey Road [scores],Beatles/Abbey Road [scores],17,17,Yes,2
Beatles/All Songs 1962-1974,Beatles/All Songs 1962-1974,199,199,Yes,2
Beatles/Anthology,Beatles/Anthology,199,199,Yes,2
Beatles/Anthology 1,Beatles/Anthology 1,18,18,Yes,2
Beatles/Anthology 1 (113 Pages),Beatles/Anthology 1 (113 Pages),26,26,Yes,2
Beatles/Anthology 2 (page 01 - 40),Beatles/Anthology 2 (page 01 - 40),9,9,Yes,2
Beatles/Anthology 2 (page 41 -72),Beatles/Anthology 2 (page 41 -72),1,1,Yes,2
