artist,book,is_duplicate,file_count
Abba,Great Bands Of The 70s,False,1
Acdc,Acdc - Anthology,False,3
Adele,Adele - 19 [pvg Book],False,5
Aerosmith,Aerosmith - Greatest Hits (songbook),False,7
Allman Brothers,Allman Brothers - Allman Brothers Band [pvg],False,3
Allman Brothers,Allman Brothers - Band Best [score],False,3
Allman Brothers,Allman Brothers - Best Of [pvg],False,25
America,America - America [pvg Book],False,1
America,America [pvg Book],False,13
America,Greatest Hits [book],False,4
America,Greatest Hits,False,12
Asia,Alpha [pvg Book],False,11
Asia,Asia - Alpha [pvg Book],False,4
Avril Lavigne,Avril Lavigne - The Best Damn Thing [pvg Book],False,4
Avril Lavigne,The Best Damn Thing [pvg Book],False,13
Barry Manilow,Barry Manilow - Anthology,False,25
Barry Manilow,Barry Manilow [pvg Book],False,13
Beatles,100 Hits For All Keyboards,False,48
Beatles,Abbey Road Guitar Recorded Version,False,18
Beatles,Abbey Road [scores],False,17
Beatles,Abbey Road,False,17
Beatles,All Songs 1962-1974,False,199
Beatles,Anthology 1 (113 Pages),False,26
Beatles,Anthology 1,False,18
Beatles,Anthology 2 (page 01 - 40),False,9
Beatles,Anthology 2 (page 41 -72),False,1
Beatles,Anthology 2 (page 73 -112),False,1
Beatles,Anthology 3 (page 01 - 36),False,8
Beatles,Anthology 3 (page 37 - 79,False,1
Beatles,Anthology 3 (page 80 - 111),False,1
Beatles,Anthology,False,199
Beatles,Beatlemania 1963-1966,False,33
Beatles,Beatles - Abbey Road Guitar Recorded Version,False,6
Beatles,Beatles - Abbey Road [scores],False,6
Beatles,Beatles - All Songs 1962-1974,False,83
Beatles,Beatles - Anthology 2 (page 01 - 40),False,4
Beatles,Beatles - Anthology,False,73
Beatles,Beatles - Beatlemania 1963-1966,False,10
Beatles,Beatles - Essential Songs,False,44
Beatles,Beatles - Joy Of Beatles,False,1
Beatles,Beatles - Live At The Hollywood Bowl (2),False,2
Beatles,Beatles - Live At The Hollywood Bowl,False,5
Beatles,Beatles - Revolver (2),False,7
Beatles,Beatles - Revolver,False,10
Beatles,Beatles - Rubber Soul,False,1
Beatles,Beatles - Sergeant Pepper's Lonely Hearts Club Band,False,1
Beatles,Beatles - Singles Collection [pvg],False,19
Beatles,Beatles - Songbook,False,83
Beatles,Beatles - White Album 1 (guitar Recorded Version),False,5
Beatles,Complete Scores (2),False,210
Beatles,Complete Scores,False,210
Beatles,Essential Songs,False,96
Beatles,Fake Songbook (guitar),False,250
Beatles,Joy Of Beatles,False,1
Beatles,Live At The Hollywood Bowl (2),False,12
Beatles,Live At The Hollywood Bowl,False,12
Beatles,Revolver (2),False,14
Beatles,Revolver,False,14
Beatles,Rubber Soul,False,14
Beatles,Sergeant Pepper's Lonely Hearts Club Band,False,1
Beatles,Singles Collection [pvg],False,26
Beatles,Songbook,False,194
Beatles,White Album 1 (guitar Recorded Version),False,1
Bee Gees,Anthology,False,1
Belinda Carlisle,5 Of The Best [pvg],False,5
Ben Folds,Ben Folds - Songs For Silverman,False,6
Ben Folds,Ben Folds - Songs For The Silverman,False,6
Ben Folds,Rockin' The Suburbs [book],False,1
Ben Folds,Songs For The Silverman,False,13
Billy Joel,Billy Joel Greatest Hits Vols 1 And 2-(0001),False,11
Billy Joel,Greatest Hits Vol I And Ii,False,21
Billy Ocean,The Best Of,False,10
Black Eyed Peas,Elephunk [pvg Book],False,11
Blondie,Great Bands Of The 70s,False,1
Blues Brothers,Complete,False,12
Bob Dylan,Anthology 1,False,45
Bob Dylan,Anthology 2,False,50
