local_artist,local_book,local_count,s3_artist,s3_book,s3_count,common_songs,local_only,s3_only,match_pct,count_diff_pct,quality
Acdc,ACDC - Anthology,3,Acdc,Anthology,3,3,0,0,1.000,0.000,PERFECT
Adele,Adele - 19 _PVG Book_,12,Adele,19 [pvg Book],12,12,0,0,1.000,0.000,PERFECT
Aerosmith,Aerosmith - Greatest Hits _Songbook_,15,Aerosmith,Greatest Hits (songbook),15,15,0,0,1.000,0.000,PERFECT
Allman Brothers,Allman Brothers - Allman Brothers Band _PVG_,15,Allman Brothers,Allman Brothers Band [pvg],15,15,0,0,1.000,0.000,PERFECT
Allman Brothers,Allman Brothers - Band Best _Score_,8,Allman Brothers,Band Best [score],8,8,0,0,1.000,0.000,PERFECT
Allman Brothers,Allman Brothers - Best Of _PVG_,28,Allman Brothers,Best Of [pvg],28,28,0,0,1.000,0.000,PERFECT
America,America - America _PVG Book_,12,America,Greatest Hits,12,12,0,0,1.000,0.000,PERFECT
America,America - Greatest Hits,12,America,America [pvg Book],13,12,0,0,1.000,0.083,PERFECT
America,America - Greatest Hits _Book_,4,America,Greatest Hits [book],4,4,0,0,1.000,0.000,PERFECT
Asia,Asia - Alpha _PVG Book_,11,Asia,Alpha [pvg Book],11,11,0,0,1.000,0.000,PERFECT
Avril Lavigne,Avril Lavigne - The Best Damn Thing _PVG Book_,12,Avril Lavigne,The Best Damn Thing [pvg Book],13,12,0,0,1.000,0.083,PERFECT
Barry Manilow,Barry Manilow - Anthology,52,Barry Manilow,Anthology,53,52,0,1,1.000,0.019,EXCELLENT
Barry Manilow,Barry Manilow - Barry Manilow _PVG Book_,13,Barry Manilow,Barry Manilow [pvg Book],13,13,0,0,1.000,0.000,PERFECT
Beatles,Beatles - 100 Hits For All Keyboards,48,Beatles,100 Hits For All Keyboards,48,48,0,0,1.000,0.000,PERFECT
Beatles,Beatles - Abbey Road,19,Beatles,Abbey Road [scores],17,17,0,0,0.895,0.105,PERFECT
Beatles,Beatles - Abbey Road Guitar Recorded Version,18,Beatles,Abbey Road Guitar Recorded Version,18,18,0,0,1.000,0.000,PERFECT
Beatles,Beatles - All Songs 1962-1974,199,Beatles,All Songs 1962-1974,199,199,0,0,1.000,0.000,PERFECT
Beatles,Beatles - Anthology,199,Beatles,Anthology,199,199,0,0,1.000,0.000,PERFECT
Beatles,Beatles - Anthology 1,18,Beatles,Anthology 1,18,17,1,1,0.944,0.000,GOOD
Beatles,Beatles - Anthology 1 _113 pages_,26,Beatles,Anthology 1 (113 Pages),26,26,0,0,1.000,0.000,PERFECT
Beatles,Beatles - Anthology 2 page_01_-_40,9,Beatles,Anthology 2 (page 01 - 40),9,9,0,0,1.000,0.000,PERFECT
Beatles,Beatles - Anthology 2 page_41_-72,1,Beatles,Anthology 2 (page 41 -72),1,1,0,0,1.000,0.000,PERFECT
Beatles,Beatles - Anthology 2 page_73_-112,1,Beatles,Anthology 2 (page 73 -112),1,1,0,0,1.000,0.000,PERFECT
Beatles,Beatles - Anthology 3 _page 37 - 79,1,Beatles,Anthology 3 (page 37 - 79,1,1,0,0,1.000,0.000,PERFECT
Beatles,Beatles - Anthology 3 page_01_-_36,8,Beatles,Anthology 3 (page 01 - 36),8,8,0,0,1.000,0.000,PERFECT
Beatles,Beatles - Anthology 3 page_80_-_111,1,Beatles,Anthology 3 (page 80 - 111),1,1,0,0,1.000,0.000,PERFECT
Beatles,Beatles - Beatlemania 1963-1966,34,Beatles,Beatlemania 1963-1966,33,33,0,0,0.971,0.029,PERFECT
Beatles,Beatles - Complete Scores,210,Beatles,Complete Scores (2),210,210,0,0,1.000,0.000,PERFECT
Beatles,Beatles - Complete Scores _2_,210,Beatles,Complete Scores,210,210,0,0,1.000,0.000,PERFECT
Beatles,Beatles - Essential Songs,96,Beatles,Essential Songs,96,96,0,0,1.000,0.000,PERFECT
Beatles,Beatles - Fake Songbook _Guitar_,178,Beatles,Fake Songbook (guitar),250,177,0,0,0.994,0.404,PERFECT
Beatles,Beatles - Joy Of Beatles,1,Beatles,Beatles - Joy Of Beatles,1,1,0,0,1.000,0.000,PERFECT
Beatles,Beatles - Live At The Hollywood Bowl,12,Beatles,Live At The Hollywood Bowl (2),12,12,0,0,1.000,0.000,PERFECT
Beatles,Beatles - Live At The Hollywood Bowl _2_,12,Beatles,Live At The Hollywood Bowl,12,12,0,0,1.000,0.000,PERFECT
Beatles,Beatles - Revolver,14,Beatles,Revolver,14,14,0,0,1.000,0.000,PERFECT
Beatles,Beatles - Revolver _2_,14,Beatles,Revolver (2),14,14,0,0,1.000,0.000,PERFECT
Beatles,Beatles - Rubber Soul,13,Beatles,Rubber Soul,14,13,0,0,1.000,0.077,PERFECT
Beatles,Beatles - Sergeant Peppers Lonely Hearts Club Band,1,Beatles,Beatles - Sergeant Pepper's Lonely Hearts Club Band,1,1,0,0,1.000,0.000,PERFECT
Beatles,Beatles - Singles Collection _PVG_,26,Beatles,Singles Collection [pvg],26,26,0,0,1.000,0.000,PERFECT
Beatles,Beatles - Songbook,194,Beatles,Songbook,194,194,0,0,1.000,0.000,PERFECT
Beatles,Beatles - White Album 1 _Guitar Recorded Version_,1,Beatles,White Album 1 (guitar Recorded Version),1,1,0,0,1.000,0.000,PERFECT
Bee Gees,Bee Gees - Anthology,1,Bee Gees,Anthology,1,1,0,0,1.000,0.000,PERFECT
Belinda Carlisle,Belinda Carlisle - 5 Of The Best _PVG_,5,Belinda Carlisle,5 Of The Best [pvg],5,5,0,0,1.000,0.000,PERFECT
Ben Folds,Ben Folds - Rockin The Suburbs _Book_,1,Ben Folds,Ben Folds - Rockin' The Suburbs [book],1,1,0,0,1.000,0.000,PERFECT
Ben Folds,Ben Folds - Rockin' The Suburbs [Book],1,Ben Folds,Rockin' The Suburbs [book],1,1,0,0,1.000,0.000,PERFECT
Ben Folds,Ben Folds - Songs For Silverman,13,Ben Folds,Songs For Silverman,13,13,0,0,1.000,0.000,PERFECT
Ben Folds,Ben Folds - Songs For The Silverman,13,Ben Folds,Songs For The Silverman,13,13,0,0,1.000,0.000,PERFECT
Ben Folds,Ben Folds Five - Rockin The Suburbs,12,Billy Joel,Billy Joel Greatest Hits Vols 1 And 2,12,0,12,11,0.000,0.000,POOR
Ben Folds,Ben Folds Five - Selections From Naked Baby Photos _Score_,15,Ben Folds,Ben Folds Five - Selections From Naked Baby Photos [score],18,15,0,0,1.000,0.200,PERFECT
