local_artist,local_book,local_song_count,s3_artist,s3_book,s3_song_count,match_pct,match_quality,matches,local_only,s3_only,other_candidates
Acdc,ACDC - Anthology,3,Acdc,Anthology,3,1.0,PERFECT,3,0,0,1
Adele,Adele - 19 _PVG Book_,12,Adele,19 [pvg Book],12,1.0,PERFECT,12,0,0,0
Aerosmith,Aerosmith - Greatest Hits _Songbook_,15,Aerosmith,Greatest Hits (songbook),15,1.0,PERFECT,15,0,0,0
Allman Brothers,Allman Brothers - Allman Brothers Band _PVG_,15,Allman Brothers,Allman Brothers Band [pvg],15,1.0,PERFECT,15,0,0,2
Allman Brothers,Allman Brothers - Band Best _Score_,8,Allman Brothers,Band Best [score],8,1.0,PERFECT,8,0,0,2
Allman Brothers,Allman Brothers - Best Of _PVG_,28,Allman Brothers,Best Of [pvg],28,1.0,PERFECT,28,0,0,1
America,America - America _PVG Book_,12,America,America - Greatest Hits,7,0.5833333333333334,PARTIAL,7,5,0,0
America,America - Greatest Hits,12,America,America - Greatest Hits,7,0.5833333333333334,PARTIAL,7,5,0,0
America,America - Greatest Hits [Book],4,America,America - Greatest Hits [book],7,1.0,PERFECT,4,0,0,0
America,America - Greatest Hits _Book_,4,America,America - Greatest Hits [book],7,1.0,PERFECT,4,0,0,0
Asia,Asia - Alpha _PVG Book_,11,Asia,Asia - Alpha [pvg Book],4,0.36363636363636365,POOR,4,7,0,0
Avril Lavigne,Avril Lavigne - The Best Damn Thing _PVG Book_,12,Avril Lavigne,Avril Lavigne - The Best Damn Thing [pvg Book],4,0.3333333333333333,POOR,4,8,0,0
Barry Manilow,Barry Manilow - Anthology,52,Barry Manilow,Anthology,53,1.0,PERFECT,52,0,1,0
Barry Manilow,Barry Manilow - Barry Manilow _PVG Book_,13,Barry Manilow,Barry Manilow - Barry Manilow [pvg Book],7,0.5384615384615384,PARTIAL,7,6,0,0
Beatles,Beatles - 100 Hits For All Keyboards,48,Beatles,Beatles - Complete Scores,167,0.5833333333333334,PARTIAL,28,20,139,1
Beatles,Beatles - Abbey Road,19,Beatles,Beatles - Complete Scores,167,0.631578947368421,PARTIAL,12,7,155,0
Beatles,Beatles - Abbey Road Guitar Recorded Version,18,Beatles,Beatles - Complete Scores,167,0.8333333333333334,GOOD,15,3,152,4
Beatles,Beatles - All Songs 1962-1974,199,Beatles,Beatles - Complete Scores,167,0.7035175879396985,PARTIAL,140,59,27,1
Beatles,Beatles - Anthology,199,Beatles,Beatles - Complete Scores,167,0.7035175879396985,PARTIAL,140,59,27,1
Beatles,Beatles - Anthology 1,18,Beatles,Beatles - Anthology 1,10,0.5555555555555556,PARTIAL,10,8,0,3
Beatles,Beatles - Anthology 1 _113 pages_,26,Beatles,Beatles - Anthology 1 (113 Pages),20,0.7307692307692307,PARTIAL,19,7,1,2
Beatles,Beatles - Anthology 2 page_01_-_40,9,Beatles,Beatles - Complete Scores,167,0.7777777777777778,PARTIAL,7,2,160,3
Beatles,Beatles - Anthology 2 page_41_-72,1,Beatles,Beatles - Anthology 2 (page 41 -72),1,1.0,PERFECT,1,0,0,0
Beatles,Beatles - Anthology 2 page_73_-112,1,Beatles,Beatles - 100 Hits For All Keyboards,34,1.0,PERFECT,1,0,33,2
Beatles,Beatles - Anthology 3 _page 37 - 79,1,Beatles,Beatles - Anthology 3 (page 37 - 79,1,1.0,PERFECT,1,0,0,3
