local_artist,local_book,local_count,s3_artist,s3_book,similarity,similarity_pct,quality,original_quality
Ben Folds,Ben Folds Five - Rockin The Suburbs,12,Ben Folds,Ben Folds Five - Rockin' The Suburbs,0.989,98.9%,EXCELLENT,POOR
Doors,Doors - Anthology,12,Doors,Doors - Anthology,1.000,100.0%,EXCELLENT,POOR
Elton John,Elton John - The Elton John Collection _Piano Solos_,22,Elton John,Elton John - The Ultimate Collection Vol. 2,0.752,75.2%,FAIR,POOR
John Denver,John Denver - Best Of _Easy Piano_,18,John Denver,John Denver - Best Of [easy Piano],0.957,95.7%,EXCELLENT,POOR
Kelly Clarkson,Kelly Clarkson - Breakaway _Book_,5,Kelly Clarkson,Kelly Clarkson - Breakaway (book),0.958,95.8%,EXCELLENT,POOR
Lynyrd Skynyrd,Lynyrd Skynyrd - The New Best Of _Guitar Tab_,10,Lynyrd Skynyrd,Lynyrd Skynyrd - The New Best Of [guitar Tab],0.967,96.7%,EXCELLENT,POOR
The Band,Band - Stage Fright _PVG_,9,The Band,Band - Stage Fright [pvg],0.941,94.1%,EXCELLENT,POOR
Various Artists,Various Artists - 70s Collection - _57pp_,18,Various Artists,Various Artists - 70's Collection - (57pp),0.957,95.7%,EXCELLENT,POOR
Various Artists,Various Artists - Best Of 80s Rock _PVG_,33,Various Artists,Various Artists - Best Of 80s Rock [pvg],0.964,96.4%,EXCELLENT,POOR
Various Artists,Various Artists - Best Rock Songs 2000-2005,36,Various Artists,Various Artists - Best Rock Songs 2000-2005,1.000,100.0%,EXCELLENT,POOR
Various Artists,Various Artists - Chart Hits 01-02,25,Various Artists,Various Artists - Chart Hits 04-05,0.960,96.0%,EXCELLENT,POOR
Various Artists,Various Artists - Chart Hits 04-05,19,Various Artists,Various Artists - Chart Hits 04-05,1.000,100.0%,EXCELLENT,POOR
Various Artists,Various Artists - History Of Rock - Late 80s,44,Various Artists,Various Artists - History Of Rock - Late 80s,1.000,100.0%,EXCELLENT,POOR
Various Artists,Various Artists - More Songs Of The Eighties _PVG_,42,Various Artists,Various Artists - More Songs Of The Eighties [pvg],0.970,97.0%,EXCELLENT,POOR
Various Artists,Various Artists - Oldies But Goodies,40,Various Artists,Various Artists - Oldies But Goodies,1.000,100.0%,EXCELLENT,POOR
