local_artist,local_book,local_count,s3_artist,s3_book,s3_count,common_songs,local_only,s3_only,match_pct,count_diff_pct,quality
Various Artists,Various Artists - 62 Stars 62 Hits _60s Compilation_,61,Various Artists,62 Stars 62 Hits [60's Compilation],55,51,9,4,0.836,0.098,PARTIAL
Various Artists,Various Artists - Adult Contemporary Hits Of The Nineties,1,Various Artists,Various Artists - Adult Contemporary Hits Of The Nineties,10,1,0,9,1.0,9.0,PARTIAL
Vince Guaraldi,Vince Guaraldi - Peanuts Songbook,2,Vince Guaraldi,Vince Guaraldi - Peanuts Songbook,8,2,0,6,1.0,3.0,PARTIAL
_broadway Shows,Various Artists - Best In Broadway Deluxe Edition,62,_broadway Shows,Various Artists - Best In Broadway Deluxe Edition,80,62,0,1,1.0,0.29,PARTIAL
_broadway Shows,Various Artists - Cabaret _Original_,3,_broadway Shows,Various Artists - Cabaret (original),9,3,0,6,1.0,2.0,PARTIAL
_broadway Shows,Various Artists - Dirty Rotten Scoundrels _Piano-Vocal_,1,_broadway Shows,Various Artists - The Hobbit Score,11,1,0,10,1.0,10.0,PARTIAL
_broadway Shows,Various Artists - Les Miserables - Piano-Conductor,4,_broadway Shows,Various Artists - Les Miserables - Piano-conductor,50,4,0,31,1.0,11.5,PARTIAL
_broadway Shows,Various Artists - Lion King _Score_,57,_broadway Shows,Various Artists - Lion King [score],58,48,0,1,0.842,0.018,PARTIAL
_broadway Shows,Various Artists - Little Shop Of Horrors (original),1,_broadway Shows,Various Artists - Little Shop Of Horrors (original),2,1,0,1,1.0,1.0,PARTIAL
_broadway Shows,Various Artists - Rocky Horror Show,1,_broadway Shows,Various Artists - Rocky Horror Show Revised - Full Score,24,1,0,23,1.0,23.0,PARTIAL
_broadway Shows,Various Artists - Wicked _Score_,1,_broadway Shows,Various Artists - You're A Good Man Charlie Brown [revival] [score],38,1,0,31,1.0,37.0,PARTIAL
_movie And Tv,Theme From Rocky And Otther Big Hits,22,_movie And Tv,Theme From Rocky And Otther Big Hits,27,22,0,1,1.0,0.227,PARTIAL
_movie And Tv,Various Artists - Star Trek - The Search For Spock,1,_movie And Tv,Various Artists - Star Trek - The Search For Spock,2,1,0,1,1.0,1.0,PARTIAL
_movie And Tv,Various Artists - Star Trek - The Wrath Of Khan,1,_movie And Tv,Various Artists - Star Trek - The Wrath Of Khan,2,1,0,1,1.0,1.0,PARTIAL
_movie And Tv,Various Artists - TV Detective - Themes For Solo Piano,28,_movie And Tv,Various Artists - Tv Detective - Themes For Solo Piano,32,28,0,2,1.0,0.143,PARTIAL
