local_artist,local_book,local_count,s3_artist,s3_book,s3_count,common_songs,local_only,s3_only,match_pct,count_diff_pct,quality
Ben Folds,Ben Folds Five - Rockin The Suburbs,12,Billy Joel,Billy Joel Greatest Hits Vols 1 And 2,12,0,12,11,0.0,0.0,POOR
Doors,Doors - Anthology,12,Bob Dylan,Bob Dylan - Songbook,12,0,12,12,0.0,0.0,POOR
Elton John,Elton John - The Elton John Collection _Piano Solos_,22,Fleetwood Mac,Fleetwood Mac - Anthology,22,0,22,22,0.0,0.0,POOR
John Denver,John Denver - Best Of _Easy Piano_,18,Various Artists,Best Rock Songs 2000-2005,18,1,17,17,0.056,0.0,POOR
Kelly Clarkson,Kelly Clarkson - Breakaway _Book_,5,_broadway Shows,Various Artists - Rocky Horror Show,5,0,5,4,0.0,0.0,POOR
Lynyrd Skynyrd,Lynyrd Skynyrd - The New Best Of _Guitar Tab_,10,_movie And Tv,Various Artists - Star Trek (piano Solo),10,0,10,8,0.0,0.0,POOR
The Band,Band - Stage Fright _PVG_,9,Bob Dylan,Bob Dylan - Finger Picking,9,0,9,9,0.0,0.0,POOR
Various Artists,Various Artists - 70s Collection - _57pp_,18,_broadway Shows,Various Artists - Legally Blonde - Score,18,0,18,15,0.0,0.0,POOR
Various Artists,Various Artists - Best Of 80s Rock _PVG_,33,Various Artists,Various Artists - 50 Platinum Country Hits,33,0,33,33,0.0,0.0,POOR
Various Artists,Various Artists - Best Rock Songs 2000-2005,36,Yes,Yes - Complete Deluxe Edition,36,0,35,36,0.0,0.0,POOR
Various Artists,Various Artists - Chart Hits 01-02,25,_broadway Shows,Various Artists - Wizard Of Oz - Piano Conductor,25,0,25,23,0.0,0.0,POOR
Various Artists,Various Artists - Chart Hits 04-05,19,Elton John,Elton John - The Ultimate Collection Vol. 1,19,1,18,18,0.053,0.0,POOR
Various Artists,Various Artists - History Of Rock - Late 80s,44,_broadway Shows,Various Artists - Seussical [pv Score],44,0,44,41,0.0,0.0,POOR
Various Artists,Various Artists - More Songs Of The Eighties _PVG_,42,_movie And Tv,Disney Collection (songs Out Of Order),42,0,42,42,0.0,0.0,POOR
Various Artists,Various Artists - Oldies But Goodies,40,_movie And Tv,Various Artists - Movie Songs Of The 90s Vol 2,40,0,40,34,0.0,0.0,POOR
Various Artists,Various Artists - Ultimate 100 Pop Hits Of The 90s,101,_movie And Tv,Various Artists - 100 Of The Best Movie Songs Ever,101,4,95,97,0.04,0.0,POOR
Who,Who - Quadrophenia _PVG_,9,Buddy Holly,Buddy Holly - Golden Anniversary Songbook,9,0,9,9,0.0,0.0,POOR
Wings,Wings - London Town _PVG Book_,8,Ben Folds,Ben Folds Five - Rockin' The Suburbs,8,0,8,8,0.0,0.0,POOR
_broadway Shows,Lerner And Loewe - Camelot,16,_broadway Shows,Various Artists - Seussical [piano-conductor],16,0,16,13,0.0,0.0,POOR
_broadway Shows,Rogers And Hammerstein - South Pacific,7,_broadway Shows,Various Artists - Phantom Of The Opera [score],7,0,5,5,0.0,0.0,POOR
_broadway Shows,Various Artists - Annie - Full Score,29,Burt Bacharach,Burt Bacharach - 40 Golden Songs Of,29,0,29,29,0.0,0.0,POOR
