Artist,Book,SongCount,SampleSong
Abba,Great Bands Of The 70s,1,"Abba - Knowing Me, Knowing You.pdf"
Acdc,Acdc - Anthology,3,Acdc - For Those About To Rock (we Salute You).pdf
Acdc,Anthology,3,Acdc - For Those About To Rock (we Salute You).pdf
Adele,19 [pvg Book],12,Adele - Best For Last.pdf
Adele,Adele - 19 [pvg Book],5,Adele - Best For Last.pdf
Aerosmith,Aerosmith - Greatest Hits (songbook),7,Aerosmith - Back In The Saddle.pdf
Aerosmith,Greatest Hits (songbook),15,Aerosmith - Angel.pdf
Allman Brothers,Allman Brothers - Allman Brothers Band [pvg],3,Allman Brothers - Ain't Wastin' My Time No More.pdf
Allman Brothers,Allman Brothers - Band Best [score],3,Allman Brothers - Don't Keep Me Wonderin'.pdf
Allman Brothers,Allman Brothers - Best Of [pvg],25,Allman Brothers - Angeline.pdf
Allman Brothers,Allman Brothers Band [pvg],15,Allman Brothers - Ain't Wastin' My Time No More.pdf
Allman Brothers,Band Best [score],8,Allman Brothers - Don't Keep Me Wondering.pdf
Allman Brothers,Best Of [pvg],28,Allman Brothers - Ain't Wastin' Time No More.pdf
America,America - America [pvg Book],1,America - Everyone I Meet Is From California.pdf
America,America - Greatest Hits,7,America - A Horse With No Name.pdf
America,America - Greatest Hits [book],7,America - A Horse With No Name.pdf
America,America [pvg Book],13,America - Children.pdf
America,Greatest Hits,12,Dan Peek - Donkey Jaw.pdf
America,Greatest Hits [book],4,Dan Peek - Woman Tonight.pdf
Asia,Alpha [pvg Book],11,"Asia, Andy Mackay, Geoffrey Downes - Don't Cry.pdf"
Asia,Asia - Alpha [pvg Book],4,Asia - My Own Time (i'll Do What I Want).pdf
Avril Lavigne,Avril Lavigne - The Best Damn Thing [pvg Book],4,Avril Lavigne - I Can Do Better.pdf
Avril Lavigne,The Best Damn Thing [pvg Book],13,Avril Lavigne - The Best Damn Thing.pdf
Barry Manilow,Anthology,53,Barry Manilow - All The Time.pdf
Barry Manilow,Barry Manilow - Anthology,25,Barry Manilow - 'tryin' To Get The Feeling Again.pdf
Barry Manilow,Barry Manilow - Barry Manilow [pvg Book],7,Barry Manilow - Anyone Can Do The Heartbreak.pdf
Barry Manilow,Barry Manilow [pvg Book],13,Amanda Mcbroom - Anyone Can Do The Heartbreak.pdf
Beatles,100 Hits For All Keyboards,48,(words & Music By John Lennon & Paul Mccartney) - Baby's In Black.pdf
Beatles,Abbey Road,17,George Harrison - Here Comes The Sun.pdf
Beatles,Abbey Road Guitar Recorded Version,18,George Harrison - Here Comes The Sun.pdf
Beatles,Abbey Road [scores],17,George Harrison - Here Comes The Sun.pdf
Beatles,All Songs 1962-1974,199,"Arranged John Lennon, Paul Mccartney, George Harrison And Richard Starkey - Maggie Mae.pdf"
Beatles,Anthology,199,"Arranged John Lennon, Paul Mccartney, George Harrison And Richard Starkey - Maggie Mae.pdf"
Beatles,Anthology 1,18,George Harrison & John Lennon - Cry For A Shadow.pdf
Beatles,Anthology 1 (113 Pages),26,"Beatles Version By Paul Mccartney, George Harrison And Ringo Starr - Free As A Bird.pdf"
Beatles,Anthology 2 (page 01 - 40),9,"Based On The Information Provided, There Is No Clear Artist Name Listed, But The Song Title -it's Only Love- Is Prominently Displayed At The Top Of The Sheet Music - It's Only Love.pdf"
Beatles,Anthology 2 (page 41 -72),1,John Lennon And Paul Mccartney - Norwegian Wood (this Bird Has Flown).pdf
Beatles,Anthology 2 (page 73 -112),1,John Lennon And Paul Mccartney - A Day In The Life.pdf
Beatles,Anthology 3 (page 01 - 36),8,John Lennon And Paul Mccartney - Blackbird.pdf
Beatles,Anthology 3 (page 37 - 79,1,George Harrison - While My Guitar Gently Weeps.pdf
Beatles,Anthology 3 (page 80 - 111),1,John Lennon And Paul Mccartney - Oh! Darling.pdf
Beatles,Beatlemania 1963-1966,33,John Lennon And Paul Mccartney - A Hard Day's Night.pdf
Beatles,Beatles - 100 Hits For All Keyboards,34,Beatles - A Day In The Life.pdf
Beatles,Beatles - Abbey Road,7,Beatles - Come Together.pdf
Beatles,Beatles - Abbey Road Guitar Recorded Version,6,Beatles - Come Together.pdf
Beatles,Beatles - Abbey Road [scores],6,Beatles - Come Together.pdf
Beatles,Beatles - All Songs 1962-1974,83,Beatles - All I've Got To Do.pdf
Beatles,Beatles - Anthology,73,Beatles - All My Loving.pdf
Beatles,Beatles - Anthology 1,10,Beatles - A Hard Day's Night.pdf
Beatles,Beatles - Anthology 1 (113 Pages),20,Beatles - A Hard Day's Night.pdf
Beatles,Beatles - Anthology 2 (page 01 - 40),4,Beatles - I Feel Fine.pdf
Beatles,Beatles - Anthology 2 (page 41 -72),1,Beatles - Norwegian Wood (this Bird Has Flown).pdf
Beatles,Beatles - Anthology 3 (page 01 - 36),4,Beatles - Blackbird.pdf
Beatles,Beatles - Anthology 3 (page 37 - 79,1,Beatles - While My Guitar Gently Weeps.pdf
Beatles,Beatles - Beatlemania 1963-1966,10,Beatles - A Hard Day's Night.pdf
Beatles,Beatles - Complete Scores,167,Beatles - A Day In The Life.pdf
Beatles,Beatles - Complete Scores (2),160,Beatles - A Hard Day's Night.pdf
Beatles,Beatles - Essential Songs,44,Beatles - All My Loving.pdf
Beatles,Beatles - Fake Songbook (guitar),121,Beatles - A Day In The Life.pdf
Beatles,Beatles - Joy Of Beatles,1,Beatles - A Hard Day's Night.pdf
Beatles,Beatles - Live At The Hollywood Bowl,5,Beatles - All My Loving.pdf
Beatles,Beatles - Live At The Hollywood Bowl (2),2,Beatles - Dizzy Miss Lizzie.pdf
Beatles,Beatles - Revolver,10,Beatles - And Your Bird Can Sing.pdf
Beatles,Beatles - Revolver (2),7,Beatles - Eleanor Rigby.pdf
Beatles,Beatles - Rubber Soul,1,Beatles - Run For Your Life.pdf
Beatles,Beatles - Sergeant Pepper's Lonely Hearts Club Band,1,Beatles - Sgt. Pepper's Lonely Hearts Club Band.pdf
Beatles,Beatles - Singles Collection [pvg],19,George Harrison - Something.pdf
Beatles,Beatles - Songbook,83,Beatles - All My Loving.pdf
Beatles,Beatles - White Album 1 (guitar Recorded Version),5,Beatles - Blackbird.pdf
Beatles,Complete Scores,210,"Arranged By John Lennon, Paul Mccartney, George Harrison & Richard Starkey - Maggie Mae.pdf"
Beatles,Complete Scores (2),210,"(words & Music By Ringo Starr Is Listed, Indicating Ringo Starr As The Artist) - Don't Pass Me By.pdf"
Beatles,Essential Songs,96,Bert Russell And Phil Medley - Twist And Shout.pdf
Beatles,Fake Songbook (guitar),250,(beatles) - If I Fell.pdf
Beatles,Joy Of Beatles,1,Words & Music By John Lennon & Paul Mccartney - A Hard Day's Night.pdf
Beatles,Live At The Hollywood Bowl,12,"The Image Does Not Explicitly State The Artist Name, But Based On The Famous Song Title -a Hard Day's Night-, This Appears To Be Sheet Music From The Beatles - A Hard Day's Night.pdf"
Beatles,Live At The Hollywood Bowl (2),12,"The Image Does Not Explicitly State The Artist Name, But Based On The Famous Song Title -a Hard Day's Night-, This Appears To Be Sheet Music From The Beatles - A Hard Day's Night.pdf"
Beatles,Revolver,14,George Harrison - I Want To Tell You.pdf
Beatles,Revolver (2),14,George Harrison - Love You To.pdf
Beatles,Rubber Soul,14,John Lennon & Paul Mccartney - Drive My Car.pdf
Beatles,Sergeant Pepper's Lonely Hearts Club Band,1,Unknown Artist - Sgt. Pepper's Lonely Hearts Club Band.pdf
Beatles,Singles Collection [pvg],26,George Harrison - Something.pdf
