"Artist","BookName","SourcePath","ProcessedFolder","PDFCount","Status"
"ACDC","ACDC - Anthology","C:\Work\AWSMusic\SheetMusic\ACDC\Books\ACDC - Anthology.pdf","ProcessedSongs\Acdc\Anthology","3","EXPANDED"
"Adele","Adele - 19 [PVG Book]","C:\Work\AWSMusic\SheetMusic\Adele\Books\Adele - 19 [PVG Book].pdf","ProcessedSongs\Adele\19 [pvg Book]","12","EXPANDED"
"Aerosmith","Aerosmith - Greatest Hits (Songbook)","C:\Work\AWSMusic\SheetMusic\Aerosmith\Books\Aerosmith - Greatest Hits (Songbook).pdf","ProcessedSongs\Aerosmith\Greatest Hits (songbook)","15","EXPANDED"
"Allman Brothers","Allman Brothers - Allman Brothers Band [PVG]","C:\Work\AWSMusic\SheetMusic\Allman Brothers\Books\Allman Brothers - Allman Brothers Band [PVG].pdf","ProcessedSongs\Allman Brothers\Allman Brothers Band [pvg]","15","EXPANDED"
"Allman Brothers","Allman Brothers - Band Best [Score]","C:\Work\AWSMusic\SheetMusic\Allman Brothers\Books\Allman Brothers - Band Best [Score].pdf","ProcessedSongs\Allman Brothers\Band Best [score]","8","EXPANDED"
"Allman Brothers","Allman Brothers - Best Of [PVG]","C:\Work\AWSMusic\SheetMusic\Allman Brothers\Books\Allman Brothers - Best Of [PVG].pdf","ProcessedSongs\Allman Brothers\Best Of [pvg]","28","EXPANDED"
"America","America - America [PVG Book]","C:\Work\AWSMusic\SheetMusic\America\Books\America - America [PVG Book].pdf","ProcessedSongs\America\America [pvg Book]","12","EXPANDED"
"America","America - Greatest Hits [Book]","C:\Work\AWSMusic\SheetMusic\America\Books\America - Greatest Hits [Book] .pdf","ProcessedSongs\America\America - Greatest Hits [Book]","4","EXPANDED"
"America","America - Greatest Hits","C:\Work\AWSMusic\SheetMusic\America\Books\America - Greatest Hits.pdf","ProcessedSongs\America\Greatest Hits","12","EXPANDED"
"Asia","Asia - Alpha [PVG Book]","C:\Work\AWSMusic\SheetMusic\Asia\Books\Asia - Alpha [PVG Book].pdf","ProcessedSongs\Asia\Alpha [pvg Book]","11","EXPANDED"
