artist,original_book_name,original_book_path,has_converted_songs,song_count,converted_folder
_Broadway Shows,A Treasury of Gilbert & Sullivan Part 1,Books\A Treasury of Gilbert & Sullivan Part 1.pdf,Yes,50,_broadway Shows\A Treasury Of Gilbert & Sullivan Part 1
_Broadway Shows,A Treasury of Gilbert & Sullivan Part 2,Books\A Treasury of Gilbert & Sullivan Part 2.pdf,Yes,47,_broadway Shows\A Treasury Of Gilbert & Sullivan Part 2
_Broadway Shows,Lambert and Morrison - The Drowsy Chaperone (Version 1),Books\Lambert and Morrison - The Drowsy Chaperone (Version 1).pdf,Yes,1,_broadway Shows\Lambert And Morrison - The Drowsy Chaperone (version 1)
_Broadway Shows,Lambert and Morrison - The Drowsy Chaperone (Version 2),Books\Lambert and Morrison - The Drowsy Chaperone (Version 2).pdf,Yes,2,_broadway Shows\Lambert And Morrison - The Drowsy Chaperone (version 2)
_Broadway Shows,Lerner and Loewe - Camelot,Books\Lerner and Loewe - Camelot.pdf,Yes,16,_broadway Shows\Lerner And Loewe - Camelot
_Broadway Shows,Mamma Mia,Books\Mamma Mia.pdf,Yes,15,_broadway Shows\Mamma Mia
_Broadway Shows,Rogers and Hammerstein - South Pacific,Books\Rogers and Hammerstein - South Pacific.pdf,Yes,7,_broadway Shows\Rogers And Hammerstein - South Pacific
_Broadway Shows,The Wedding Singer,Books\The Wedding Singer.pdf,Yes,72,_broadway Shows\The Wedding Singer
_Broadway Shows,Various Artists - 25th Annual Putnam County Spelling Bee,Books\Various Artists - 25th Annual Putnam County Spelling Bee.pdf,No,0,
_Broadway Shows,Various Artists - Aida,Books\Various Artists - Aida.pdf,Yes,1,_broadway Shows\Various Artists - Aida
_Broadway Shows,Various Artists - Aladdin (book),Books\Various Artists - Aladdin (book).pdf,Yes,8,_broadway Shows\Various Artists - Aladdin (book)
_Broadway Shows,Various Artists - Aladdin Jr,Books\Various Artists - Aladdin Jr.pdf,Yes,34,_broadway Shows\Various Artists - Aladdin Jr
_Broadway Shows,Various Artists - Annie - Full Score,Books\Various Artists - Annie - Full Score.pdf,Yes,29,_broadway Shows\Various Artists - Annie - Full Score
