"Artist","BookName","SourcePath","HasProcessed","ProcessedFolder","SongCount"
"ACDC","ACDC - Anthology","C:\Work\AWSMusic\SheetMusic\ACDC\books\ACDC - Anthology.pdf","True","Anthology","3"
"Adele","Adele - 19 [PVG Book]","C:\Work\AWSMusic\SheetMusic\Adele\books\Adele - 19 [PVG Book].pdf","True","19 [pvg Book]","0"
"Aerosmith","Aerosmith - Greatest Hits (Songbook)","C:\Work\AWSMusic\SheetMusic\Aerosmith\books\Aerosmith - Greatest Hits (Songbook).pdf","True","Greatest Hits (songbook)","15"
"Allman Brothers","Allman Brothers - Allman Brothers Band [PVG]","C:\Work\AWSMusic\SheetMusic\Allman Brothers\books\Allman Brothers - Allman Brothers Band [PVG].pdf","True","Allman Brothers Band [pvg]","0"
"Allman Brothers","Allman Brothers - Band Best [Score]","C:\Work\AWSMusic\SheetMusic\Allman Brothers\books\Allman Brothers - Band Best [Score].pdf","True","Band Best [score]","0"
"Allman Brothers","Allman Brothers - Best Of [PVG]","C:\Work\AWSMusic\SheetMusic\Allman Brothers\books\Allman Brothers - Best Of [PVG].pdf","True","Best Of [pvg]","0"
"America","America - America [PVG Book]","C:\Work\AWSMusic\SheetMusic\America\books\America - America [PVG Book].pdf","True","America [pvg Book]","0"
"America","America - Greatest Hits [Book] ","C:\Work\AWSMusic\SheetMusic\America\books\America - Greatest Hits [Book] .pdf","True","Greatest Hits [book]","0"
"America","America - Greatest Hits","C:\Work\AWSMusic\SheetMusic\America\books\America - Greatest Hits.pdf","True","Greatest Hits","12"
"Asia","Asia - Alpha [PVG Book]","C:\Work\AWSMusic\SheetMusic\Asia\books\Asia - Alpha [PVG Book].pdf","True","Alpha [pvg Book]","0"
"Avril Lavigne","Avril Lavigne - The Best Damn Thing [PVG Book]","C:\Work\AWSMusic\SheetMusic\Avril Lavigne\books\Avril Lavigne - The Best Damn Thing [PVG Book].pdf","True","The Best Damn Thing [pvg Book]","0"
"Barry Manilow","Barry Manilow - Anthology","C:\Work\AWSMusic\SheetMusic\Barry Manilow\books\Barry Manilow - Anthology.pdf","True","Anthology","52"
"Barry Manilow","Barry Manilow - Barry Manilow [PVG Book]","C:\Work\AWSMusic\SheetMusic\Barry Manilow\books\Barry Manilow - Barry Manilow [PVG Book].pdf","True","Barry Manilow [pvg Book]","0"
"Beatles","Beatles - 100 Hits for All Keyboards","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - 100 Hits for All Keyboards.pdf","True","100 Hits For All Keyboards","48"
"Beatles","Beatles - Abbey Road Guitar Recorded Version","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Abbey Road Guitar Recorded Version.pdf","True","Abbey Road Guitar Recorded Version","18"
"Beatles","Beatles - Abbey Road [Scores]","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Abbey Road [Scores].pdf","True","Abbey Road [scores]","0"
"Beatles","Beatles - Abbey Road","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Abbey Road.pdf","True","Abbey Road","19"
"Beatles","Beatles - All Songs 1962-1974","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - All Songs 1962-1974.pdf","True","All Songs 1962-1974","199"
"Beatles","Beatles - Anthology 1 (113 pages)","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Anthology 1 (113 pages).pdf","True","Anthology 1 (113 Pages)","26"
"Beatles","Beatles - Anthology 1","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Anthology 1.pdf","True","Anthology 1","18"
"Beatles","Beatles - Anthology 2 (page 01 - 40)","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Anthology 2 (page 01 - 40).pdf","True","Anthology 2 (page 01 - 40)","9"
"Beatles","Beatles - Anthology 2 (page 41 -72)","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Anthology 2 (page 41 -72).pdf","True","Anthology 2 (page 41 -72)","1"
"Beatles","Beatles - Anthology 2 (page 73 -112)","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Anthology 2 (page 73 -112).pdf","True","Anthology 2 (page 73 -112)","1"
"Beatles","Beatles - Anthology 3 (page 01 - 36)","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Anthology 3 (page 01 - 36).pdf","True","Anthology 3 (page 01 - 36)","8"
"Beatles","Beatles - Anthology 3 (page 37 - 79","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Anthology 3 (page 37 - 79.pdf","True","Anthology 3 (page 37 - 79","1"
"Beatles","Beatles - Anthology 3 (page 80 - 111)","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Anthology 3 (page 80 - 111).pdf","True","Anthology 3 (page 80 - 111)","1"
"Beatles","Beatles - Anthology","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Anthology.pdf","True","Anthology","199"
"Beatles","Beatles - Beatlemania 1963-1966","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Beatlemania 1963-1966.pdf","True","Beatlemania 1963-1966","34"
"Beatles","Beatles - Complete Scores (2)","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Complete Scores (2).pdf","True","Complete Scores (2)","210"
