"BookName","Artist","ExecutionArn","BookId"
"Various Artists - 25th Annual Putnam County Spelling Bee","_Broadway Shows","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:various-artists---25th-annual-putnam-county-spelling-bee-retry-20260129-210039","various-artists---25th-annual-putnam-county-spelling-bee"
"Various Artists - Little Shop Of Horrors Script","_Broadway Shows","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:various-artists---little-shop-of-horrors-script-retry-20260129-210113","various-artists---little-shop-of-horrors-script"
"The Wizard Of Oz Script","_Movie and TV","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:the-wizard-of-oz-script-retry-20260129-210145","the-wizard-of-oz-script"
"Various Artists - Complete TV And Film","_Movie and TV","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:various-artists---complete-tv-and-film-retry-20260129-210218","various-artists---complete-tv-and-film"
"Crosby Stills Nash And Young - The Guitar Collection","Crosby Stills and Nash","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:crosby-stills-nash-and-young---the-guitar-collection-retry-20260129-210254","crosby-stills-nash-and-young---the-guitar-collection"
"Dire Straits - Mark Knopfler Guitar Styles Vol 1 _Guitar Book_","Dire Straits","","dire-straits---mark-knopfler-guitar-styles-vol-1--guitar-book-"
"Elvis Presley - The Compleat _PVG Book_","Elvis Presley","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:elvis-presley---the-compleat--pvg-book--retry-20260129-210400","elvis-presley---the-compleat--pvg-book-"
"Eric Clapton - The Cream Of Clapton","Eric Clapton","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:eric-clapton---the-cream-of-clapton-retry-20260129-210435","eric-clapton---the-cream-of-clapton"
"John Denver - Back Home Again","John Denver","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:john-denver---back-home-again-retry-20260129-210508","john-denver---back-home-again"
"Mamas And The Papas - Songbook _PVG_","Mamas and the Papas","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:mamas-and-the-papas---songbook--pvg--retry-20260129-210544","mamas-and-the-papas---songbook--pvg-"
"Night Ranger - Seven Wishes _Jap Score_","Night Ranger","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:night-ranger---seven-wishes--jap-score--retry-20260129-210617","night-ranger---seven-wishes--jap-score-"
"Robbie Robertson - Songbook _Guitar Tab_","Robbie Robertson","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:robbie-robertson---songbook--guitar-tab--retry-20260129-210650","robbie-robertson---songbook--guitar-tab-"
