"Artist","BookName","ExecutionArn","ExecutionName","S3Key","BookId"
"Billy Joel","Billy Joel - Turnstiles","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-billy-joel---turnstiles-20260128-000137-405","corrected-billy-joel---turnstiles-20260128-000137-405","books/Billy Joel/Billy Joel - Turnstiles.pdf","aae6179b36726557"
"Bob Dylan","Bob Dylan - Nashville Skyline","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-bob-dylan---nashville-skyline-20260128-000143-133","corrected-bob-dylan---nashville-skyline-20260128-000143-133","books/Bob Dylan/Bob Dylan - Nashville Skyline.pdf","97b7053529ea2b59"
"Eric Clapton","Eric Clapton - The Cream of Clapton","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-eric-clapton---the-cream-of-clapton-20260128-000153-761","corrected-eric-clapton---the-cream-of-clapton-20260128-000153-761","books/Eric Clapton/Eric Clapton - The Cream of Clapton.pdf","f6ddaca658d973ce"
"Frank Zappa","Frank Zappa - Hot Rats","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-frank-zappa---hot-rats-20260128-000158-050","corrected-frank-zappa---hot-rats-20260128-000158-050","books/Frank Zappa/Frank Zappa - Hot Rats.pdf","3cf725e77bf69c31"
"John Denver","John Denver - Back Home Again","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-john-denver---back-home-again-20260128-000200-815","corrected-john-denver---back-home-again-20260128-000200-815","books/John Denver/John Denver - Back Home Again.pdf","788ec5ec99485d65"
"REO Speedwagon","REO Speedwagon - Life As We Know It","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-reo-speedwagon---life-as-we-know-it-20260128-000204-979","corrected-reo-speedwagon---life-as-we-know-it-20260128-000204-979","books/REO Speedwagon/REO Speedwagon - Life As We Know It.pdf","31703f87c24a9ac1"
"Steely Dan","Steely Dan - The Best","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-steely-dan---the-best-20260128-000209-575","corrected-steely-dan---the-best-20260128-000209-575","books/Steely Dan/Steely Dan - The Best.pdf","139fe6c40cccc521"
"Tom Lehrer","Tom Lehrer - Book Covers","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-tom-lehrer---book-covers-20260128-000212-731","corrected-tom-lehrer---book-covers-20260128-000212-731","books/Tom Lehrer/Tom Lehrer - Book Covers.pdf","8b25c0f90d998c4c"
"Tom Waits","Tom Waits - Tom Waits Anthology","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-tom-waits---tom-waits-anthology-20260128-000215-904","corrected-tom-waits---tom-waits-anthology-20260128-000215-904","books/Tom Waits/Tom Waits - Tom Waits Anthology.pdf","2049e850c13b80ae"
"Various Artists","Various Artists - Ultimate 80s Songs","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-various-artists---ultimate-80s-songs-20260128-000219-073","corrected-various-artists---ultimate-80s-songs-20260128-000219-073","books/Various Artists/Various Artists - Ultimate 80s Songs.pdf","f3a7c996e0d883e9"
"Who","Who - Quadrophenia (PVG)","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-who---quadrophenia--pvg--20260128-000224-668","corrected-who---quadrophenia--pvg--20260128-000224-668","books/Who/Who - Quadrophenia (PVG).pdf","70cfe4a99b84bd42"
"Wings","Wings - Greatest Hits","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-wings---greatest-hits-20260128-000227-831","corrected-wings---greatest-hits-20260128-000227-831","books/Wings/Wings - Greatest Hits.pdf","1d5660dd1abb6f5a"
"Wings","Wings - London Town (PVG Book)","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-wings---london-town--pvg-book--20260128-000231-228","corrected-wings---london-town--pvg-book--20260128-000231-228","books/Wings/Wings - London Town (PVG Book).pdf","d17c6753233523bc"
"_Broadway Shows","Various Artists - Little Shop of Horrors Script","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-various-artists---little-shop-of-horrors-script-20260128-000244-374","corrected-various-artists---little-shop-of-horrors-script-20260128-000244-374","books/_Broadway Shows/Various Artists - Little Shop of Horrors Script.pdf","9921bd62fa862fe5"
"_Broadway Shows","Various Artists - Shrek The Musical","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-various-artists---shrek-the-musical-20260128-000247-908","corrected-various-artists---shrek-the-musical-20260128-000247-908","books/_Broadway Shows/Various Artists - Shrek The Musical.pdf","d7a049efedeeaa1b"
"_Broadway Shows","Wicked Workshop","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-wicked-workshop-20260128-000257-386","corrected-wicked-workshop-20260128-000257-386","books/_Broadway Shows/Wicked Workshop.pdf","77a14f6004f123ec"
"_Movie and TV","The Wizard of Oz Script","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-the-wizard-of-oz-script-20260128-000300-765","corrected-the-wizard-of-oz-script-20260128-000300-765","books/_Movie and TV/The Wizard of Oz Script.pdf","9197eb3ef2def7a7"
"_Movie and TV","Various Artists - Complete TV and Film","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:corrected-various-artists---complete-tv-and-film-20260128-000303-831","corrected-various-artists---complete-tv-and-film-20260128-000303-831","books/_Movie and TV/Various Artists - Complete TV and Film.pdf","e4efc2ff934927bd"
