Status,Match_Score,PDF_Artist,PDF_Book,PDF_Path,Folder_Artist,Folder_Book,Folder_Path
MATCHED,100.00%,_Broadway Shows,A Treasury of Gilbert & Sullivan Part 1,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\A Treasury of Gilbert & Sullivan Part 1.pdf,_broadway Shows,A Treasury Of Gilbert & Sullivan Part 1,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\A Treasury Of Gilbert & Sullivan Part 1
MATCHED,100.00%,_Broadway Shows,A Treasury of Gilbert & Sullivan Part 2,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\A Treasury of Gilbert & Sullivan Part 2.pdf,_broadway Shows,A Treasury Of Gilbert & Sullivan Part 2,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\A Treasury Of Gilbert & Sullivan Part 2
MATCHED,100.00%,_Broadway Shows,Lambert and Morrison - The Drowsy Chaperone (Version 1),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Lambert and Morrison - The Drowsy Chaperone (Version 1).pdf,_broadway Shows,Lambert And Morrison - The Drowsy Chaperone (version 1),c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Lambert And Morrison - The Drowsy Chaperone (version 1)
MATCHED,100.00%,_Broadway Shows,Lambert and Morrison - The Drowsy Chaperone (Version 2),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Lambert and Morrison - The Drowsy Chaperone (Version 2).pdf,_broadway Shows,Lambert And Morrison - The Drowsy Chaperone (version 2),c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Lambert And Morrison - The Drowsy Chaperone (version 2)
MATCHED,100.00%,_Broadway Shows,Lerner and Loewe - Camelot,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Lerner and Loewe - Camelot.pdf,_broadway Shows,Lerner And Loewe - Camelot,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Lerner And Loewe - Camelot
MATCHED,100.00%,_Broadway Shows,Mamma Mia,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Mamma Mia.pdf,_broadway Shows,Mamma Mia,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Mamma Mia
MATCHED,100.00%,_Broadway Shows,Rogers and Hammerstein - South Pacific,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Rogers and Hammerstein - South Pacific.pdf,_broadway Shows,Rogers And Hammerstein - South Pacific,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Rogers And Hammerstein - South Pacific
MATCHED,100.00%,_Broadway Shows,The Wedding Singer,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\The Wedding Singer.pdf,_broadway Shows,The Wedding Singer,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\The Wedding Singer
UNMATCHED_PDF,76.28%,_Broadway Shows,Various Artists - 25th Annual Putnam County Spelling Bee,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - 25th Annual Putnam County Spelling Bee.pdf,_broadway Shows,Various Artists - Phantom Of Opera [satb],
UNMATCHED_PDF,100.00%,_Broadway Shows,Various Artists - Aida,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Aida.pdf,_broadway Shows,Various Artists - Aida,
UNMATCHED_PDF,100.00%,_Broadway Shows,Various Artists - Aladdin (book),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Aladdin (book).pdf,_broadway Shows,Various Artists - Aladdin (book),
UNMATCHED_PDF,100.00%,_Broadway Shows,Various Artists - Aladdin Jr,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Aladdin Jr.pdf,_broadway Shows,Various Artists - Aladdin Jr,
UNMATCHED_PDF,100.00%,_Broadway Shows,Various Artists - Annie - Full Score,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Annie - Full Score.pdf,_broadway Shows,Various Artists - Annie - Full Score,
UNMATCHED_PDF,100.00%,_Broadway Shows,Various Artists - Avenue Q - Full Score,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Avenue Q - Full Score.pdf,_broadway Shows,Various Artists - Avenue Q - Full Score,
UNMATCHED_PDF,100.00%,_Broadway Shows,Various Artists - Avenue X - Vocal Chorus Book,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Avenue X - Vocal Chorus Book.pdf,_broadway Shows,Various Artists - Avenue X - Vocal Chorus Book,
UNMATCHED_PDF,100.00%,_Broadway Shows,"Various Artists - Beauty and the Beast (1994 MTI PC Score, complete)","c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Beauty and the Beast (1994 MTI PC Score, complete).pdf",_broadway Shows,"Various Artists - Beauty And The Beast (1994 Mti Pc Score, Complete)",
UNMATCHED_PDF,100.00%,_Broadway Shows,Various Artists - Beauty and the Beast [Score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Beauty and the Beast [Score].pdf,_broadway Shows,Various Artists - Beauty And The Beast [score],
UNMATCHED_PDF,100.00%,_Broadway Shows,Various Artists - Best in Broadway Deluxe Edition,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Best in Broadway Deluxe Edition.pdf,_broadway Shows,Various Artists - Best In Broadway Deluxe Edition,
UNMATCHED_PDF,100.00%,_Broadway Shows,Various Artists - Cabaret (1998 version),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Cabaret (1998 version).pdf,_broadway Shows,Various Artists - Cabaret (1998 Version),
UNMATCHED_PDF,100.00%,_Broadway Shows,Various Artists - Cabaret (Original),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Cabaret (Original).pdf,_broadway Shows,Various Artists - Cabaret (original),
UNMATCHED_PDF,100.00%,_Broadway Shows,Various Artists - Cats - Conductor Score,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Cats - Conductor Score.pdf,_broadway Shows,Various Artists - Cats - Conductor Score,
UNMATCHED_PDF,100.00%,_Broadway Shows,Various Artists - Chicago (1975),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Chicago (1975).pdf,_broadway Shows,Various Artists - Chicago (1975),
UNMATCHED_PDF,100.00%,_Broadway Shows,Various Artists - Dear Evan Hansen (PVG),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Dear Evan Hansen (PVG).pdf,_broadway Shows,Various Artists - Dear Evan Hansen (pvg),
UNMATCHED_PDF,100.00%,_Broadway Shows,Various Artists - Dirty Rotten Scoundrels (Piano-Vocal),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Dirty Rotten Scoundrels (Piano-Vocal).pdf,_broadway Shows,Various Artists - Dirty Rotten Scoundrels (piano-vocal),
UNMATCHED_PDF,100.00%,_Broadway Shows,Various Artists - Evita  [Conductor Score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Evita  [Conductor Score].pdf,_broadway Shows,Various Artists - Evita [conductor Score],
UNMATCHED_PDF,100.00%,_Broadway Shows,Various Artists - Evita [Score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Evita [Score].pdf,_broadway Shows,Various Artists - Evita [score],
UNMATCHED_PDF,100.00%,_Broadway Shows,Various Artists - Footloose [Score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Footloose [Score].pdf,_broadway Shows,Various Artists - Footloose [score],
UNMATCHED_PDF,100.00%,_Broadway Shows,Various Artists - Grease [1994 Score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Grease [1994 Score].pdf,_broadway Shows,Various Artists - Grease [1994 Score],
UNMATCHED_PDF,100.00%,_Broadway Shows,Various Artists - Grease [2003 Score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Grease [2003 Score].pdf,_broadway Shows,Various Artists - Grease [2003 Score],
UNMATCHED_PDF,100.00%,_Broadway Shows,Various Artists - Hair (rev 1995) - Piano Conductor Score,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Hair (rev 1995) - Piano Conductor Score.pdf,_broadway Shows,Various Artists - Hair (rev 1995) - Piano Conductor Score,
UNMATCHED_PDF,86.00%,_Broadway Shows,Various Artists - High School Musical [score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - High School Musical [score].pdf,_broadway Shows,Various Artists - Seussical [piano-conductor],
UNMATCHED_PDF,98.33%,_Broadway Shows,Various Artists - High School Musical 1 [Libretto],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - High School Musical 1 [Libretto].pdf,_broadway Shows,Various Artists - High School Musical [score],
MATCHED,100.00%,_Broadway Shows,Various Artists - Jesus Christ Superstar,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Jesus Christ Superstar.pdf,_broadway Shows,Various Artists - Jesus Christ Superstar,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Jesus Christ Superstar
MATCHED,100.00%,_Broadway Shows,Various Artists - Legally Blonde - score,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Legally Blonde - score.pdf,_broadway Shows,Various Artists - Legally Blonde - Score,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Legally Blonde - Score
