Type,Input Path,Output Path,Similarity
Exact Match,_Broadway Shows\A Treasury Of Gilbert And Sullivan Part 1.pdf,_broadway Shows/A Treasury Of Gilbert And Sullivan Part 1,100%
Exact Match,_Broadway Shows\A Treasury Of Gilbert And Sullivan Part 2.pdf,_broadway Shows/A Treasury Of Gilbert And Sullivan Part 2,100%
Exact Match,_Broadway Shows\Lambert And Morrison - The Drowsy Chaperone _Version 1_.pdf,_broadway Shows/Lambert And Morrison - The Drowsy Chaperone _Version 1_,100%
Exact Match,_Broadway Shows\Lambert And Morrison - The Drowsy Chaperone _Version 2_.pdf,_broadway Shows/Lambert And Morrison - The Drowsy Chaperone _Version 2_,100%
Exact Match,_Broadway Shows\Lerner And Loewe - Camelot.pdf,_broadway Shows/Lerner And Loewe - Camelot,100%
Exact Match,_Broadway Shows\Mamma Mia.pdf,_broadway Shows/Mamma Mia,100%
Exact Match,_Broadway Shows\Rogers And Hammerstein - South Pacific.pdf,_broadway Shows/Rogers And Hammerstein - South Pacific,100%
Exact Match,_Broadway Shows\Steven Sondheim - All Sondheim Volume 2 BOOK.pdf,_broadway Shows/Steven Sondheim - All Sondheim Volume 2 BOOK,100%
Exact Match,_Broadway Shows\The Wedding Singer.pdf,_broadway Shows/The Wedding Singer,100%
Exact Match,_Broadway Shows\Various Artists - Aida.pdf,_broadway Shows/Various Artists - Aida,100%
Exact Match,_Broadway Shows\Various Artists - Aladdin _book_.pdf,_broadway Shows/Various Artists - Aladdin _book_,100%
Exact Match,_Broadway Shows\Various Artists - Aladdin Jr.pdf,_broadway Shows/Various Artists - Aladdin Jr,100%
Exact Match,_Broadway Shows\Various Artists - Annie - Full Score.pdf,_broadway Shows/Various Artists - Annie - Full Score,100%
Exact Match,_Broadway Shows\Various Artists - Avenue Q - Full Score.pdf,_broadway Shows/Various Artists - Avenue Q - Full Score,100%
Exact Match,_Broadway Shows\Various Artists - Avenue X - Vocal Chorus Book.pdf,_broadway Shows/Various Artists - Avenue X - Vocal Chorus Book,100%
Exact Match,_Broadway Shows\Various Artists - Beauty And The Beast _1994 MTI PC Score complete_.pdf,_broadway Shows/Various Artists - Beauty And The Beast _1994 MTI PC Score complete_,100%
Exact Match,_Broadway Shows\Various Artists - Beauty And The Beast _Score_.pdf,_broadway Shows/Various Artists - Beauty And The Beast _Score_,100%
Exact Match,_Broadway Shows\Various Artists - Best In Broadway Deluxe Edition.pdf,_broadway Shows/Various Artists - Best In Broadway Deluxe Edition,100%
Exact Match,_Broadway Shows\Various Artists - Cabaret _1998 version_.pdf,_broadway Shows/Various Artists - Cabaret _1998 version_,100%
Exact Match,_Broadway Shows\Various Artists - Cabaret _Original_.pdf,_broadway Shows/Various Artists - Cabaret _Original_,100%
