"OriginalArtist","OriginalFolder","OriginalPath","DuplicateArtist","DuplicateFolder","DuplicatePath","FileCount"
"Bonnie Raitt","Bonnie Raitt - Nick Of Time [pvg Book]","C:\Work\AWSMusic\ProcessedSongs\Bonnie Raitt\Bonnie Raitt - Nick Of Time [pvg Book]","Bonnie Raitt","Nick Of Time [pvg Book]","C:\Work\AWSMusic\ProcessedSongs\Bonnie Raitt\Nick Of Time [pvg Book]","1"
"Cheap Trick","Cheap Trick - Greatest Hits [score]","C:\Work\AWSMusic\ProcessedSongs\Cheap Trick\Cheap Trick - Greatest Hits [score]","Cheap Trick","Greatest Hits [score]","C:\Work\AWSMusic\ProcessedSongs\Cheap Trick\Greatest Hits [score]","1"
"David Crosby","David Crosby - Songbook [lead Sheets]","C:\Work\AWSMusic\ProcessedSongs\David Crosby\David Crosby - Songbook [lead Sheets]","David Crosby","Songbook [lead Sheets]","C:\Work\AWSMusic\ProcessedSongs\David Crosby\Songbook [lead Sheets]","1"
"Dire Straits","Dire Straits - Money For Nothing [guitar Book]","C:\Work\AWSMusic\ProcessedSongs\Dire Straits\Dire Straits - Money For Nothing [guitar Book]","Dire Straits","Money For Nothing [guitar Book]","C:\Work\AWSMusic\ProcessedSongs\Dire Straits\Money For Nothing [guitar Book]","1"
"Doobie Brothers","Best Of [band Score Jap]","C:\Work\AWSMusic\ProcessedSongs\Doobie Brothers\Best Of [band Score Jap]","Doobie Brothers","Doobie Brothers - Best Of [band Score Jap]","C:\Work\AWSMusic\ProcessedSongs\Doobie Brothers\Doobie Brothers - Best Of [band Score Jap]","1"
"Elo","Elo - Out Of The Blue [book]","C:\Work\AWSMusic\ProcessedSongs\Elo\Elo - Out Of The Blue [book]","Elo","Out Of The Blue [book]","C:\Work\AWSMusic\ProcessedSongs\Elo\Out Of The Blue [book]","1"
"Garth Brooks","Garth Brooks - The Hits [guitar Tab]","C:\Work\AWSMusic\ProcessedSongs\Garth Brooks\Garth Brooks - The Hits [guitar Tab]","Garth Brooks","The Hits [guitar Tab]","C:\Work\AWSMusic\ProcessedSongs\Garth Brooks\The Hits [guitar Tab]","1"
"James Blunt","Back To Bedlam [book]","C:\Work\AWSMusic\ProcessedSongs\James Blunt\Back To Bedlam [book]","James Blunt","James Blunt - Back To Bedlam [book]","C:\Work\AWSMusic\ProcessedSongs\James Blunt\James Blunt - Back To Bedlam [book]","1"
"Journey","Frontiers [jap Band Score]","C:\Work\AWSMusic\ProcessedSongs\Journey\Frontiers [jap Band Score]","Journey","Journey - Superbest [jap Band Score]","C:\Work\AWSMusic\ProcessedSongs\Journey\Journey - Superbest [jap Band Score]","1"
"Kinks","Best Of The Kinks [score]","C:\Work\AWSMusic\ProcessedSongs\Kinks\Best Of The Kinks [score]","Kinks","Best Of [score]","C:\Work\AWSMusic\ProcessedSongs\Kinks\Best Of [score]","12"
"Kinks","Guitar Legends [guitar]","C:\Work\AWSMusic\ProcessedSongs\Kinks\Guitar Legends [guitar]","Kinks","Guitar Legends [tab]","C:\Work\AWSMusic\ProcessedSongs\Kinks\Guitar Legends [tab]","9"
