action,book_id,old_source_uri,new_source_uri,old_artist,new_artist,old_book_name,new_book_name,old_status,new_status,match_score,uri_changed,artist_changed,book_name_changed,status_changed
update,48a0aa4baf216184,s3://jsmith-input/SheetMusic/ACDC/books/ACDC - Anthology.pdf,s3://jsmith-input/SheetMusic/ACDC/ACDC - Anthology.pdf,ACDC,ACDC,ACDC - Anthology,ACDC - Anthology,success,success,0.979,YES,NO,NO,NO
update,8e5ac0bec0eeed0f,s3://jsmith-input/SheetMusic/Adele/books/Adele - 19 [PVG Book].pdf,s3://jsmith-input/SheetMusic/Adele/Adele - 19 _PVG Book_.pdf,Adele,Adele,Adele - 19 [PVG Book],Adele - 19 _PVG Book_,success,success,0.982,YES,NO,YES,NO
update,c810224de5a2d7a8,s3://jsmith-input/SheetMusic/Aerosmith/books/Aerosmith - Greatest Hits (Songbook).pdf,s3://jsmith-input/SheetMusic/Aerosmith/Aerosmith - Greatest Hits _Songbook_.pdf,Aerosmith,Aerosmith,Aerosmith - Greatest Hits (Songbook),Aerosmith - Greatest Hits _Songbook_,success,success,0.989,YES,NO,YES,NO
update,368b45497457f313,s3://jsmith-input/SheetMusic/Allman Brothers/books/Allman Brothers - Allman Brothers Band [PVG].pdf,s3://jsmith-input/SheetMusic/Allman Brothers/Allman Brothers - Allman Brothers Band _PVG_.pdf,Allman Brothers,Allman Brothers,Allman Brothers - Allman Brothers Band [PVG],Allman Brothers - Allman Brothers Band _PVG_,success,success,0.992,YES,NO,YES,NO
update,778921a3abc5138d,s3://jsmith-input/SheetMusic/Allman Brothers/books/Allman Brothers - Band Best [Score].pdf,s3://jsmith-input/SheetMusic/Allman Brothers/Allman Brothers - Band Best _Score_.pdf,Allman Brothers,Allman Brothers,Allman Brothers - Band Best [Score],Allman Brothers - Band Best _Score_,success,success,0.990,YES,NO,YES,NO
update,7adfbfc224bdc7d5,s3://jsmith-input/SheetMusic/Allman Brothers/books/Allman Brothers - Best Of [PVG].pdf,s3://jsmith-input/SheetMusic/Allman Brothers/Allman Brothers - Best Of _PVG_.pdf,Allman Brothers,Allman Brothers,Allman Brothers - Best Of [PVG],Allman Brothers - Best Of _PVG_,success,success,0.989,YES,NO,YES,NO
update,fea6b139addc36f3,s3://jsmith-input/SheetMusic/America/books/America - America [PVG Book].pdf,s3://jsmith-input/SheetMusic/America/America - America _PVG Book_.pdf,America,America,America - America [PVG Book],America - America _PVG Book_,success,success,0.986,YES,NO,YES,NO
update,d9601ec0a0e26b8d,s3://jsmith-input/SheetMusic/America/books/America - Greatest Hits.pdf,s3://jsmith-input/SheetMusic/America/America - Greatest Hits.pdf,America,America,America - Greatest Hits,America - Greatest Hits,success,success,0.985,YES,NO,NO,NO
update,2dbdadbcc4ac8c07,s3://jsmith-input/SheetMusic/America/books/America - Greatest Hits [Book] .pdf,s3://jsmith-input/SheetMusic/America/America - Greatest Hits _Book_.pdf,America,America,America - Greatest Hits [Book] ,America - Greatest Hits _Book_,success,success,0.985,YES,NO,YES,NO
update,2804e588b487fea6,s3://jsmith-input/SheetMusic/Asia/books/Asia - Alpha [PVG Book].pdf,s3://jsmith-input/SheetMusic/Asia/Asia - Alpha _PVG Book_.pdf,Asia,Asia,Asia - Alpha [PVG Book],Asia - Alpha _PVG Book_,success,success,0.982,YES,NO,YES,NO
update,761c8d1a9461f10f,s3://jsmith-input/SheetMusic/Avril Lavigne/books/Avril Lavigne - The Best Damn Thing [PVG Book].pdf,s3://jsmith-input/SheetMusic/Avril Lavigne/Avril Lavigne - The Best Damn Thing _PVG Book_.pdf,Avril Lavigne,Avril Lavigne,Avril Lavigne - The Best Damn Thing [PVG Book],Avril Lavigne - The Best Damn Thing _PVG Book_,success,success,0.992,YES,NO,YES,NO
update,253e6bf7dcdb539e,s3://jsmith-input/SheetMusic/Barry Manilow/books/Barry Manilow - Anthology.pdf,s3://jsmith-input/SheetMusic/Barry Manilow/Barry Manilow - Anthology.pdf,Barry Manilow,Barry Manilow,Barry Manilow - Anthology,Barry Manilow - Anthology,success,success,0.988,YES,NO,NO,NO
update,1f5da1ef3b2f1bb9,s3://jsmith-input/SheetMusic/Barry Manilow/books/Barry Manilow - Barry Manilow [PVG Book].pdf,s3://jsmith-input/SheetMusic/Barry Manilow/Barry Manilow - Barry Manilow _PVG Book_.pdf,Barry Manilow,Barry Manilow,Barry Manilow - Barry Manilow [PVG Book],Barry Manilow - Barry Manilow _PVG Book_,success,success,0.991,YES,NO,YES,NO
update,2b0bbd39dcf820b1,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - 100 Hits for All Keyboards.pdf,s3://jsmith-input/SheetMusic/Beatles/Beatles - 100 Hits For All Keyboards.pdf,Beatles,Beatles,Beatles - 100 Hits for All Keyboards,Beatles - 100 Hits For All Keyboards,success,success,0.989,YES,NO,YES,NO
update,3f44528586c6b01e,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Abbey Road.pdf,s3://jsmith-input/SheetMusic/Beatles/Beatles - Abbey Road.pdf,Beatles,Beatles,Beatles - Abbey Road,Beatles - Abbey Road,success,success,0.984,YES,NO,NO,NO
update,c76c9443cb7abe86,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Abbey Road Guitar Recorded Version.pdf,s3://jsmith-input/SheetMusic/Beatles/Beatles - Abbey Road Guitar Recorded Version.pdf,Beatles,Beatles,Beatles - Abbey Road Guitar Recorded Version,Beatles - Abbey Road Guitar Recorded Version,success,success,0.991,YES,NO,NO,NO
update,7aad8a983d4d9f22,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - All Songs 1962-1974.pdf,s3://jsmith-input/SheetMusic/Beatles/Beatles - All Songs 1962-1974.pdf,Beatles,Beatles,Beatles - All Songs 1962-1974,Beatles - All Songs 1962-1974,success,success,0.987,YES,NO,NO,NO
update,8bd7553c3ccea906,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Anthology.pdf,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology.pdf,Beatles,Beatles,Beatles - Anthology,Beatles - Anthology,success,success,0.983,YES,NO,NO,NO
update,c2cb10aa834472a6,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Anthology 1.pdf,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology 1.pdf,Beatles,Beatles,Beatles - Anthology 1,Beatles - Anthology 1,success,success,0.984,YES,NO,NO,NO
update,95202e805d4d534b,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Anthology 1 (113 pages).pdf,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology 1 _113 pages_.pdf,Beatles,Beatles,Beatles - Anthology 1 (113 pages),Beatles - Anthology 1 _113 pages_,success,success,0.988,YES,NO,YES,NO
update,0488ac528243689d,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Anthology 2 (page 01 - 40).pdf,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology 2 page_01_-_40.pdf,Beatles,Beatles,Beatles - Anthology 2 (page 01 - 40),Beatles - Anthology 2 page_01_-_40,success,success,0.966,YES,NO,YES,NO
update,ef297196796237fb,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Anthology 2 (page 41 -72).pdf,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology 2 page_41_-72.pdf,Beatles,Beatles,Beatles - Anthology 2 (page 41 -72),Beatles - Anthology 2 page_41_-72,success,success,0.966,YES,NO,YES,NO
update,d73af0e246878f64,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Anthology 2 (page 73 -112).pdf,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology 2 page_73_-112.pdf,Beatles,Beatles,Beatles - Anthology 2 (page 73 -112),Beatles - Anthology 2 page_73_-112,success,success,0.967,YES,NO,YES,NO
