match_type,action,csv_book_id,csv_artist,csv_book_name,csv_source_uri,db_book_id,db_artist,db_book_name,db_source_uri,db_status,songs_extracted,needs_update,reason
name_match,update,7d85382a8e61e22d,ACDC,ACDC - Anthology,s3://jsmith-input/SheetMusic/ACDC/ACDC - Anthology.pdf,48a0aa4baf216184,ACDC,ACDC - Anthology,s3://jsmith-input/SheetMusic/ACDC/books/ACDC - Anthology.pdf,success,3,True,book_id changed (path changed)
no_match,create,0d2f25b5cba1b821,Adele,Adele - 19 _PVG Book_,s3://jsmith-input/SheetMusic/Adele/Adele - 19 _PVG Book_.pdf,,,,,,12,True,not in DynamoDB
no_match,create,436ee7999d61f574,Aerosmith,Aerosmith - Greatest Hits _Songbook_,s3://jsmith-input/SheetMusic/Aerosmith/Aerosmith - Greatest Hits _Songbook_.pdf,,,,,,15,True,not in DynamoDB
no_match,create,6003c56deca6637f,Allman Brothers,Allman Brothers - Allman Brothers Band _PVG_,s3://jsmith-input/SheetMusic/Allman Brothers/Allman Brothers - Allman Brothers Band _PVG_.pdf,,,,,,15,True,not in DynamoDB
no_match,create,21604f62e1418e85,Allman Brothers,Allman Brothers - Band Best _Score_,s3://jsmith-input/SheetMusic/Allman Brothers/Allman Brothers - Band Best _Score_.pdf,,,,,,8,True,not in DynamoDB
no_match,create,8940b02f676a5423,Allman Brothers,Allman Brothers - Best Of _PVG_,s3://jsmith-input/SheetMusic/Allman Brothers/Allman Brothers - Best Of _PVG_.pdf,,,,,,28,True,not in DynamoDB
no_match,create,b6f23f2cf1615e98,America,America - America _PVG Book_,s3://jsmith-input/SheetMusic/America/America - America _PVG Book_.pdf,,,,,,12,True,not in DynamoDB
name_match,update,5c1b6f9903c25b9d,America,America - Greatest Hits,s3://jsmith-input/SheetMusic/America/America - Greatest Hits.pdf,d9601ec0a0e26b8d,America,America - Greatest Hits,s3://jsmith-input/SheetMusic/America/books/America - Greatest Hits.pdf,success,12,True,book_id changed (path changed)
no_match,create,4903350bb193935f,America,America - Greatest Hits _Book_,s3://jsmith-input/SheetMusic/America/America - Greatest Hits _Book_.pdf,,,,,,4,True,not in DynamoDB
no_match,create,6388db4b6b2d9735,Asia,Asia - Alpha _PVG Book_,s3://jsmith-input/SheetMusic/Asia/Asia - Alpha _PVG Book_.pdf,,,,,,11,True,not in DynamoDB
no_match,create,c009d2486529aa5c,Avril Lavigne,Avril Lavigne - The Best Damn Thing _PVG Book_,s3://jsmith-input/SheetMusic/Avril Lavigne/Avril Lavigne - The Best Damn Thing _PVG Book_.pdf,,,,,,12,True,not in DynamoDB
name_match,update,cb4688574b14e59b,Barry Manilow,Barry Manilow - Anthology,s3://jsmith-input/SheetMusic/Barry Manilow/Barry Manilow - Anthology.pdf,253e6bf7dcdb539e,Barry Manilow,Barry Manilow - Anthology,s3://jsmith-input/SheetMusic/Barry Manilow/books/Barry Manilow - Anthology.pdf,success,52,True,book_id changed (path changed)
no_match,create,fc243958753e7a7b,Barry Manilow,Barry Manilow - Barry Manilow _PVG Book_,s3://jsmith-input/SheetMusic/Barry Manilow/Barry Manilow - Barry Manilow _PVG Book_.pdf,,,,,,13,True,not in DynamoDB
no_match,create,603bf54c82c2cbe7,Beatles,Beatles - 100 Hits For All Keyboards,s3://jsmith-input/SheetMusic/Beatles/Beatles - 100 Hits For All Keyboards.pdf,,,,,,48,True,not in DynamoDB
name_match,update,dd525838ae688c23,Beatles,Beatles - Abbey Road,s3://jsmith-input/SheetMusic/Beatles/Beatles - Abbey Road.pdf,3f44528586c6b01e,Beatles,Beatles - Abbey Road,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Abbey Road.pdf,success,19,True,book_id changed (path changed)
name_match,update,5eae18f5cc0efb37,Beatles,Beatles - Abbey Road Guitar Recorded Version,s3://jsmith-input/SheetMusic/Beatles/Beatles - Abbey Road Guitar Recorded Version.pdf,c76c9443cb7abe86,Beatles,Beatles - Abbey Road Guitar Recorded Version,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Abbey Road Guitar Recorded Version.pdf,success,18,True,book_id changed (path changed)
name_match,update,2a6c7b90e9e41d72,Beatles,Beatles - All Songs 1962-1974,s3://jsmith-input/SheetMusic/Beatles/Beatles - All Songs 1962-1974.pdf,7aad8a983d4d9f22,Beatles,Beatles - All Songs 1962-1974,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - All Songs 1962-1974.pdf,success,199,True,book_id changed (path changed)
name_match,update,82f0f881fa26256d,Beatles,Beatles - Anthology,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology.pdf,8bd7553c3ccea906,Beatles,Beatles - Anthology,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Anthology.pdf,success,199,True,book_id changed (path changed)
name_match,update,5f35894724ca4309,Beatles,Beatles - Anthology 1,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology 1.pdf,c2cb10aa834472a6,Beatles,Beatles - Anthology 1,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Anthology 1.pdf,success,18,True,book_id changed (path changed)
no_match,create,a68733db081a5f29,Beatles,Beatles - Anthology 1 _113 pages_,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology 1 _113 pages_.pdf,,,,,,26,True,not in DynamoDB
