Artist,OldFolderName,NewFolderName,OldPath,NewPath,FileCount
ACDC,Anthology,ACDC - Anthology,ProcessedSongs\Acdc\Anthology,ProcessedSongs\Acdc\ACDC - Anthology,3
Adele,19 _pvg Book_,Adele - 19 _PVG Book_,ProcessedSongs\Adele\19 _pvg Book_,ProcessedSongs\Adele\Adele - 19 _PVG Book_,12
Aerosmith,Greatest Hits _songbook_,Aerosmith - Greatest Hits _Songbook_,ProcessedSongs\Aerosmith\Greatest Hits _songbook_,ProcessedSongs\Aerosmith\Aerosmith - Greatest Hits _Songbook_,15
Allman Brothers,Allman Brothers Band _pvg_,Allman Brothers - Allman Brothers Band _PVG_,ProcessedSongs\Allman Brothers\Allman Brothers Band _pvg_,ProcessedSongs\Allman Brothers\Allman Brothers - Allman Brothers Band _PVG_,15
Allman Brothers,Band Best _score_,Allman Brothers - Band Best _Score_,ProcessedSongs\Allman Brothers\Band Best _score_,ProcessedSongs\Allman Brothers\Allman Brothers - Band Best _Score_,8
Allman Brothers,Best Of _pvg_,Allman Brothers - Best Of _PVG_,ProcessedSongs\Allman Brothers\Best Of _pvg_,ProcessedSongs\Allman Brothers\Allman Brothers - Best Of _PVG_,28
America,America _pvg Book_,America - America _PVG Book_,ProcessedSongs\America\America _pvg Book_,ProcessedSongs\America\America - America _PVG Book_,12
America,Greatest Hits,America - Greatest Hits,ProcessedSongs\America\Greatest Hits,ProcessedSongs\America\America - Greatest Hits,12
Asia,Alpha _pvg Book_,Asia - Alpha _PVG Book_,ProcessedSongs\Asia\Alpha _pvg Book_,ProcessedSongs\Asia\Asia - Alpha _PVG Book_,11
Avril Lavigne,The Best Damn Thing _pvg Book_,Avril Lavigne - The Best Damn Thing _PVG Book_,ProcessedSongs\Avril Lavigne\The Best Damn Thing _pvg Book_,ProcessedSongs\Avril Lavigne\Avril Lavigne - The Best Damn Thing _PVG Book_,12
Barry Manilow,Anthology,Barry Manilow - Anthology,ProcessedSongs\Barry Manilow\Anthology,ProcessedSongs\Barry Manilow\Barry Manilow - Anthology,52
Barry Manilow,Barry Manilow _pvg Book_,Barry Manilow - Barry Manilow _PVG Book_,ProcessedSongs\Barry Manilow\Barry Manilow _pvg Book_,ProcessedSongs\Barry Manilow\Barry Manilow - Barry Manilow _PVG Book_,13
Beatles,100 Hits For All Keyboards,Beatles - 100 Hits For All Keyboards,ProcessedSongs\Beatles\100 Hits For All Keyboards,ProcessedSongs\Beatles\Beatles - 100 Hits For All Keyboards,48
Beatles,Abbey Road Guitar Recorded Version,Beatles - Abbey Road Guitar Recorded Version,ProcessedSongs\Beatles\Abbey Road Guitar Recorded Version,ProcessedSongs\Beatles\Beatles - Abbey Road Guitar Recorded Version,18
Beatles,Abbey Road,Beatles - Abbey Road,ProcessedSongs\Beatles\Abbey Road,ProcessedSongs\Beatles\Beatles - Abbey Road,19
Beatles,All Songs 1962-1974,Beatles - All Songs 1962-1974,ProcessedSongs\Beatles\All Songs 1962-1974,ProcessedSongs\Beatles\Beatles - All Songs 1962-1974,199
Beatles,Anthology 1 _113 Pages_,Beatles - Anthology 1 _113 pages_,ProcessedSongs\Beatles\Anthology 1 _113 Pages_,ProcessedSongs\Beatles\Beatles - Anthology 1 _113 pages_,26
Beatles,Anthology 1,Beatles - Anthology 1,ProcessedSongs\Beatles\Anthology 1,ProcessedSongs\Beatles\Beatles - Anthology 1,18
Beatles,Anthology 2 page_01_-_40,Beatles - Anthology 2 page_01_-_40,ProcessedSongs\Beatles\Anthology 2 page_01_-_40,ProcessedSongs\Beatles\Beatles - Anthology 2 page_01_-_40,9
Beatles,Anthology 2 page_41_-72,Beatles - Anthology 2 page_41_-72,ProcessedSongs\Beatles\Anthology 2 page_41_-72,ProcessedSongs\Beatles\Beatles - Anthology 2 page_41_-72,1
Beatles,Anthology 2 page_73_-112,Beatles - Anthology 2 page_73_-112,ProcessedSongs\Beatles\Anthology 2 page_73_-112,ProcessedSongs\Beatles\Beatles - Anthology 2 page_73_-112,1
Beatles,Anthology 3 page_01_-_36,Beatles - Anthology 3 page_01_-_36,ProcessedSongs\Beatles\Anthology 3 page_01_-_36,ProcessedSongs\Beatles\Beatles - Anthology 3 page_01_-_36,8
Beatles,Anthology 3 page_80_-_111,Beatles - Anthology 3 page_80_-_111,ProcessedSongs\Beatles\Anthology 3 page_80_-_111,ProcessedSongs\Beatles\Beatles - Anthology 3 page_80_-_111,1
Beatles,Anthology 3 _page 37 - 79,Beatles - Anthology 3 _page 37 - 79,ProcessedSongs\Beatles\Anthology 3 _page 37 - 79,ProcessedSongs\Beatles\Beatles - Anthology 3 _page 37 - 79,1
Beatles,Anthology,Beatles - Anthology,ProcessedSongs\Beatles\Anthology,ProcessedSongs\Beatles\Beatles - Anthology,199
Beatles,Beatlemania 1963-1966,Beatles - Beatlemania 1963-1966,ProcessedSongs\Beatles\Beatlemania 1963-1966,ProcessedSongs\Beatles\Beatles - Beatlemania 1963-1966,34
Beatles,Complete Scores _2_,Beatles - Complete Scores _2_,ProcessedSongs\Beatles\Complete Scores _2_,ProcessedSongs\Beatles\Beatles - Complete Scores _2_,210
