"Artist","BookName","ExecutionArn","ExecutionName","S3Key","BookId"
"America","America - Greatest Hits [Book]","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:found-america---greatest-hits--book--20260128-000545-883","found-america---greatest-hits--book--20260128-000545-883","books/America/America - Greatest Hits [Book] .pdf","b2bc539514495a56"
"Ben Folds","Ben Folds - Rockin' The Suburbs [Book]","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:found-ben-folds---rockin--the-suburbs--book--20260128-000548-898","found-ben-folds---rockin--the-suburbs--book--20260128-000548-898","books/Ben Folds/Ben Folds - Rockin' The Suburbs [Book].pdf","51925656876096b3"
"Crosby Stills and Nash","Crosby, Stills, Nash & Young - The Guitar Collection","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:found-crosby--stills--nash---young---the-guitar-collection-20260128-000554-711","found-crosby--stills--nash---young---the-guitar-collection-20260128-000554-711","books/Crosby Stills and Nash/Crosby, Stills, Nash & Young - The Guitar Collection.pdf","d1f7252c1d40b1af"
"ELO","Elton John - The Elton John Collection [Piano Solos]","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:found-elton-john---the-elton-john-collection--piano-solos--20260128-000600-988","found-elton-john---the-elton-john-collection--piano-solos--20260128-000600-988","books/ELO/Elton John - The Elton John Collection [Piano Solos].pdf","4f5f119d3e3726c1"
"Elvis Presley","Elvis Presley - The Compleat [PVG Book]","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:found-elvis-presley---the-compleat--pvg-book--20260128-000604-423","found-elvis-presley---the-compleat--pvg-book--20260128-000604-423","books/Elvis Presley/Elvis Presley - The Compleat [PVG Book].pdf","a47e4116fae24879"
"Kinks","Kinks - Guitar Legends [Tab]","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:found-kinks---guitar-legends--tab--20260128-000607-876","found-kinks---guitar-legends--tab--20260128-000607-876","books/Kinks/Kinks - Guitar Legends [Tab].pdf","23cb3e42f789eeda"
"Mamas and the Papas","Mamas and The Papas - Songbook [PVG]","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:found-mamas-and-the-papas---songbook--pvg--20260128-000613-052","found-mamas-and-the-papas---songbook--pvg--20260128-000613-052","books/Mamas and the Papas/Mamas and The Papas - Songbook [PVG].pdf","1bf2d99ebebd80f6"
"Night Ranger","Night Ranger - Best Of 2 [Jap Score]","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:found-night-ranger---best-of-2--jap-score--20260128-000616-232","found-night-ranger---best-of-2--jap-score--20260128-000616-232","books/Night Ranger/Night Ranger - Best Of 2 [Jap Score].pdf","9a2c8f69b1a86219"
"Robbie Robertson","Robbie Robertson - Songbook [Guitar Tab]","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:found-robbie-robertson---songbook--guitar-tab--20260128-000619-492","found-robbie-robertson---songbook--guitar-tab--20260128-000619-492","books/Robbie Robertson/Robbie Robertson - Songbook [Guitar Tab].pdf","0e82bc0315de2397"
"Tom Lehrer","Tom Lehrer - Too Many Songs [PVC Book]","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:found-tom-lehrer---too-many-songs--pvc-book--20260128-000624-207","found-tom-lehrer---too-many-songs--pvc-book--20260128-000624-207","books/Tom Lehrer/Tom Lehrer - Too Many Songs [PVC Book].pdf","0822357bdd3a1f8d"
"Wings","Wings - Over America [PVG]","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:found-wings---over-america--pvg--20260128-000630-858","found-wings---over-america--pvg--20260128-000630-858","books/Wings/Wings - Over America [PVG].pdf","9a9a267c40434856"
"_Broadway Shows","Various Artists - High School Musical 1 [Libretto]","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:found-various-artists---high-school-musical-1--libretto--20260128-000639-868","found-various-artists---high-school-musical-1--libretto--20260128-000639-868","books/_Broadway Shows/Various Artists - High School Musical 1 [Libretto].pdf","b171cad063a39758"
"_Broadway Shows","Various Artists - Little Shop Of Horrors (Broadway)","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:found-various-artists---little-shop-of-horrors--broadway--20260128-000643-993","found-various-artists---little-shop-of-horrors--broadway--20260128-000643-993","books/_Broadway Shows/Various Artists - Little Shop Of Horrors (Broadway).pdf","d9d27279b3f1683c"
