"Artist","BookName","ActualPath","ActualName"
"Ben Folds","Ben Folds - Rockin' The Suburbs [Book]","C:\Work\AWSMusic\SheetMusic\Ben Folds\Books\Ben Folds - Rockin' The Suburbs [Book].pdf","Ben Folds - Rockin' The Suburbs [Book].pdf"
"Crosby Stills and Nash","Crosby, Stills, Nash & Young - The Guitar Collection","C:\Work\AWSMusic\SheetMusic\Crosby Stills and Nash\Books\Crosby, Stills, Nash & Young - The Guitar Collection.pdf","Crosby, Stills, Nash & Young - The Guitar Collection.pdf"
"Dire Straits","Dire Straits - Mark Knopfler Guitar Styles Vol 1 [Guitar Book]","C:\Work\AWSMusic\SheetMusic\Dire Straits\Books\Dire Straits - Mark Knopfler Guitar Styles Vol 1 [Guitar Book].pdf","Dire Straits - Mark Knopfler Guitar Styles Vol 1 [Guitar Book].pdf"
"ELO","Elton John - The Elton John Collection [Piano Solos]","C:\Work\AWSMusic\SheetMusic\ELO\Books\Elton John - The Elton John Collection [Piano Solos].pdf","Elton John - The Elton John Collection [Piano Solos].pdf"
"Elvis Presley","Elvis Presley - The Compleat [PVG Book]","C:\Work\AWSMusic\SheetMusic\Elvis Presley\Books\Elvis Presley - The Compleat [PVG Book].pdf","Elvis Presley - The Compleat [PVG Book].pdf"
"Kinks","Kinks - Guitar Legends [Tab]","C:\Work\AWSMusic\SheetMusic\Kinks\Books\Kinks - Guitar Legends [Tab].pdf","Kinks - Guitar Legends [Tab].pdf"
"Mamas and the Papas","Mamas and The Papas - Songbook [PVG]","C:\Work\AWSMusic\SheetMusic\Mamas and the Papas\Books\Mamas and The Papas - Songbook [PVG].pdf","Mamas and The Papas - Songbook [PVG].pdf"
"Night Ranger","Night Ranger - Best Of 2 [Jap Score]","C:\Work\AWSMusic\SheetMusic\Night Ranger\Books\Night Ranger - Best Of 2 [Jap Score].pdf","Night Ranger - Best Of 2 [Jap Score].pdf"
"Robbie Robertson","Robbie Robertson - Songbook [Guitar Tab]","C:\Work\AWSMusic\SheetMusic\Robbie Robertson\Books\Robbie Robertson - Songbook [Guitar Tab].pdf","Robbie Robertson - Songbook [Guitar Tab].pdf"
"Tom Lehrer","Tom Lehrer - Too Many Songs [PVC Book]","C:\Work\AWSMusic\SheetMusic\Tom Lehrer\Books\Tom Lehrer - Too Many Songs [PVC Book].pdf","Tom Lehrer - Too Many Songs [PVC Book].pdf"
"Wings","Wings - Over America [PVG]","C:\Work\AWSMusic\SheetMusic\Wings\Books\Wings - Over America [PVG].pdf","Wings - Over America [PVG].pdf"
"_Broadway Shows","Various Artists - 25th Annual Putnam County Spelling Bee","C:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - 25th Annual Putnam County Spelling Bee.pdf","Various Artists - 25th Annual Putnam County Spelling Bee.pdf"
"_Broadway Shows","Various Artists - High School Musical 1 [Libretto]","C:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - High School Musical 1 [Libretto].pdf","Various Artists - High School Musical 1 [Libretto].pdf"
"_Broadway Shows","Various Artists - Little Shop Of Horrors (Broadway)","C:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Little Shop Of Horrors (Broadway).pdf","Various Artists - Little Shop Of Horrors (Broadway).pdf"
"_Broadway Shows","Various Artists - You're A Good Man Charlie Brown (Score)","C:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - You're A Good Man Charlie Brown (Score).pdf","Various Artists - You're A Good Man Charlie Brown (Score).pdf"
