local_artist,local_book,local_song_count,s3_artist,s3_book,s3_song_count,match_pct,match_quality
Acdc,ACDC - Anthology,3,Acdc,Anthology,3,1.0,PERFECT
Adele,Adele - 19 _PVG Book_,12,Adele,19 [pvg Book],12,1.0,PERFECT
Aerosmith,Aerosmith - Greatest Hits _Songbook_,15,Aerosmith,Greatest Hits (songbook),15,1.0,PERFECT
Allman Brothers,Allman Brothers - Allman Brothers Band _PVG_,15,Allman Brothers,Allman Brothers Band [pvg],15,1.0,PERFECT
Allman Brothers,Allman Brothers - Band Best _Score_,8,Allman Brothers,Band Best [score],8,1.0,PERFECT
Allman Brothers,Allman Brothers - Best Of _PVG_,28,Allman Brothers,Best Of [pvg],28,1.0,PERFECT
America,America - Greatest Hits [Book],4,America,America - Greatest Hits [book],7,1.0,PERFECT
America,America - Greatest Hits _Book_,4,America,America - Greatest Hits [book],7,1.0,PERFECT
Barry Manilow,Barry Manilow - Anthology,52,Barry Manilow,Anthology,53,1.0,PERFECT
Beatles,Beatles - Anthology 2 page_41_-72,1,Beatles,Beatles - Anthology 2 (page 41 -72),1,1.0,PERFECT
Beatles,Beatles - Anthology 2 page_73_-112,1,Beatles,Beatles - 100 Hits For All Keyboards,34,1.0,PERFECT
Beatles,Beatles - Anthology 3 _page 37 - 79,1,Beatles,Beatles - Anthology 3 (page 37 - 79,1,1.0,PERFECT
Beatles,Beatles - Anthology 3 page_80_-_111,1,Beatles,Beatles - Abbey Road,7,1.0,PERFECT
Beatles,Beatles - Joy Of Beatles,1,Beatles,Beatles - Anthology 1 (113 Pages),20,1.0,PERFECT
Beatles,Beatles - Sergeant Peppers Lonely Hearts Club Band,1,Beatles,Beatles - Complete Scores (2),160,1.0,PERFECT
Beatles,Beatles - White Album 1 _Guitar Recorded Version_,1,Beatles,Beatles - 100 Hits For All Keyboards,34,1.0,PERFECT
Bee Gees,Bee Gees - Anthology,1,Bee Gees,Bee Gees - Anthology,1,1.0,PERFECT
Ben Folds,Ben Folds - Rockin The Suburbs _Book_,1,Ben Folds,Ben Folds - Rockin' The Suburbs [book],1,1.0,PERFECT
Ben Folds,Ben Folds - Rockin' The Suburbs [Book],1,Ben Folds,Ben Folds - Rockin' The Suburbs [book],1,1.0,PERFECT
Billy Joel,Billy Joel - 52nd Street,9,Billy Joel,52nd Street,9,1.0,PERFECT
Billy Joel,Billy Joel - Anthology,29,Billy Joel,Billy Joel - Anthology,29,1.0,PERFECT
Billy Joel,Billy Joel - Best Of Piano Solos,13,Billy Joel,Best Of Piano Solos,13,1.0,PERFECT
Billy Joel,Billy Joel - Fantasies And Delusions,11,Billy Joel,Billy Joel - Fantasies & Delusions,11,1.0,PERFECT
Billy Joel,Billy Joel - For Advanced Piano,11,Billy Joel,For Advanced Piano,11,1.0,PERFECT
Billy Joel,Billy Joel - Glass Houses,10,Billy Joel,Billy Joel - Glass Houses,10,1.0,PERFECT
Billy Joel,Billy Joel - Greatest Hits,21,Billy Joel,Billy Joel - Greatest Hits,21,1.0,PERFECT
Billy Joel,Billy Joel - Greatest Hits Vol I And II,21,Billy Joel,Billy Joel - Greatest Hits,21,1.0,PERFECT
Billy Joel,Billy Joel - Greatest Hits Vol III,1,Billy Joel,Greatest Hits Vol Iii,1,1.0,PERFECT
Billy Joel,Billy Joel - Keyboard Book,15,Billy Joel,Billy Joel - Keyboard Book,15,1.0,PERFECT
Billy Joel,Billy Joel - Rock Score,8,Billy Joel,Rock Score,8,1.0,PERFECT
Billy Joel,Billy Joel - Songs In The Attic,11,Billy Joel,Songs In The Attic,11,1.0,PERFECT
Billy Joel,Billy Joel - Turnstiles,8,Billy Joel,Billy Joel - Turnstiles,8,1.0,PERFECT
Billy Joel,Billy Joel Greatest Hits Vols 1 And 2,11,Billy Joel,Billy Joel Greatest Hits Vols 1 And 2,12,1.0,PERFECT
Bob Dylan,Bob Dylan - Highway 61 Revisited,10,Bob Dylan,Highway 61 Revisited,10,1.0,PERFECT
Bob Dylan,Bob Dylan - Nashville Skyline,1,Bob Dylan,Bob Dylan - Nashville Skyline,1,1.0,PERFECT
Bob Dylan,Bob Dylan - Rock Score,6,Bob Dylan,Rock Score,6,1.0,PERFECT
Bob Dylan,Bob Dylan - The Harp Styles Of Bob Dylan _Harmonica_,12,Bob Dylan,The Harp Styles Of Bob Dylan [harmonica],12,1.0,PERFECT
Bonnie Raitt,Bonnie Raitt - Nick Of Time _PVG Book_,1,Bonnie Raitt,Bonnie Raitt - Nick Of Time [pvg Book],1,1.0,PERFECT
Bruce Springsteen,Bruce Springsteen - Born In The USA,13,Bruce Springsteen,Born In The Usa,13,1.0,PERFECT
Bruce Springsteen,Bruce Springsteen - Lucky Town,9,Bruce Springsteen,Lucky Town,9,1.0,PERFECT
Cheap Trick,Cheap Trick - Greatest Hits _Score_,1,Cheap Trick,Cheap Trick - Greatest Hits [score],1,1.0,PERFECT
Creedence Clearwater Revival,Creedence Clearwater Revival - Guitar Tab Book,7,Creedence Clearwater Revival,Creedence Clearwater Revival - Guitar Tab Book,7,1.0,PERFECT
David Crosby,David Crosby - Songbook _Lead Sheets_,1,David Crosby,David Crosby - Songbook [lead Sheets],1,1.0,PERFECT
Dire Straits,Dire Straits - Brothers In Arms,9,Dire Straits,Dire Straits - Brothers In Arms,9,1.0,PERFECT
Dire Straits,Dire Straits - Money For Nothing _Guitar Book_,1,Dire Straits,Dire Straits - Jam With Dire Straits [guitar Book],5,1.0,PERFECT
Don Henley,Don Henley - Actual Miles _Greatest Hits_,3,Don Henley,Don Henley - Actual Miles (greatest Hits),3,1.0,PERFECT
Doobie Brothers,Doobie Brothers - Best Of _Band Score Jap_,1,Doobie Brothers,Doobie Brothers - Best Of [band Score Jap],1,1.0,PERFECT
Eagles,Eagles - Hotel California _Guitar Songbook_,1,Eagles,Eagles - Hotel California (guitar Songbook),1,1.0,PERFECT
Elo,ELO - Greatest Hits,2,Elo,Elo - Greatest Hits,2,1.0,PERFECT
Elo,Elo - Anthology _PVG_,32,Elo,Anthology [pvg],32,1.0,PERFECT
Elo,Elo - Discovery _PVG Book_,1,Elo,Elo - Discovery [pvg Book],7,1.0,PERFECT
Elo,Elo - Face The Music _PVG Bok_,2,Elo,Elo - Face The Music [pvg Bok],2,1.0,PERFECT
Elo,Elo - Out Of The Blue _Book_,1,Elo,Anthology [pvg],32,1.0,PERFECT
Elo,Elton John - The Elton John Collection [Piano Solos],29,Elo,Elton John - The Elton John Collection [piano Solos],29,1.0,PERFECT
Elton John,Elton John - Goodbye Yellow Brick Road,2,Elton John,Elton John - Goodbye Yellow Brick Road,2,1.0,PERFECT
Elton John,Elton John - Sleeping With The Past,1,Elton John,Elton John - Sleeping With The Past,1,1.0,PERFECT
Elton John,Elton John - The One,5,Elton John,Elton John - The One,5,1.0,PERFECT
Elton John,Elton John - The Very Best Of,1,Elton John,Elton John - Greatest Hits 1970-2002,19,1.0,PERFECT
Elton John,Elton John - Too Low For Zero _Book_,10,Elton John,Too Low For Zero [book],10,1.0,PERFECT
Elvis Costello,Elvis Costello - The Very Best Of,42,Elvis Costello,The Very Best Of,42,1.0,PERFECT
Emerson Lake And Palmer,Emerson Lake And Palmer - Black Book,2,Emerson Lake And Palmer,Black Book,2,1.0,PERFECT
Emerson Lake And Palmer,Emerson Lake And Palmer - Greatest Hits,10,Emerson Lake And Palmer,Greatest Hits,10,1.0,PERFECT
Emerson Lake And Palmer,Emerson Lake And Palmer - Tarkus _Book_,13,Emerson Lake And Palmer,Tarkus [book],13,1.0,PERFECT
Emerson Lake And Palmer,Emerson Lake And Palmer - Trilogy _Book_,7,Emerson Lake And Palmer,Trilogy [book],7,1.0,PERFECT
Eric Clapton,Eric Clapton - Derek And The Dominos _Book_,14,Eric Clapton,Derek And The Dominos [book],14,1.0,PERFECT
Eric Clapton,Eric Clapton - The Best Of Book,10,Eric Clapton,The Best Of Book,10,1.0,PERFECT
Eric Clapton,Eric Clapton - Unplugged _Book_,14,Eric Clapton,Unplugged [book],14,1.0,PERFECT
Fleetwood Mac,Fleetwood Mac - Anthology,27,Fleetwood Mac,Anthology,27,1.0,PERFECT
Fleetwood Mac,Fleetwood Mac - Deluxe Anthology,42,Fleetwood Mac,Deluxe Anthology,42,1.0,PERFECT
Fleetwood Mac,Fleetwood Mac - Fleetwood Mac Heroes Are Hard To Find,15,Fleetwood Mac,Fleetwood Mac + Heroes Are Hard To Find,15,1.0,PERFECT
Fleetwood Mac,Fleetwood Mac - Mirage,12,Fleetwood Mac,Mirage,12,1.0,PERFECT
Fleetwood Mac,Fleetwood Mac - Rumours,11,Fleetwood Mac,Deluxe Anthology,42,1.0,PERFECT
Fleetwood Mac,Fleetwood Mac - Tango In The Night,12,Fleetwood Mac,Tango In The Night,12,1.0,PERFECT
Fleetwood Mac,Fleetwood Mac - The Dance,13,Fleetwood Mac,The Dance,13,1.0,PERFECT
Frank Zappa,Frank Zappa - Hot Rats,2,Frank Zappa,Frank Zappa - Hot Rats,2,1.0,PERFECT
Frank Zappa,Frank Zappa - Songbook Vol 1,17,Frank Zappa,Songbook Vol 1,17,1.0,PERFECT
Frank Zappa,Frank Zappa - The Frank Zappa Guitar Book _transcriptions By Steve Vai_,12,Frank Zappa,The Frank Zappa Guitar Book (transcriptions By Steve Vai),12,1.0,PERFECT
Garth Brooks,Garth Brooks - No Fences _Guitar Tab_,7,Garth Brooks,No Fences [guitar Tab],7,1.0,PERFECT
Garth Brooks,Garth Brooks - The Hits _Guitar Tab_,1,Garth Brooks,Garth Brooks - The Hits [guitar Tab],1,1.0,PERFECT
Garth Brooks,Garth Brooks - The Limited Series,21,Garth Brooks,The Limited Series,21,1.0,PERFECT
Genesis,Genesis - A Trick Of The Tail _Book_,8,Genesis,A Trick Of The Tail [book],8,1.0,PERFECT
Genesis,Genesis - Anthology,44,Genesis,Anthology,44,1.0,PERFECT
Genesis,Genesis - Best Of Vol 1,10,Genesis,Best Of Vol 1,10,1.0,PERFECT
Genesis,Genesis - Invisible Touch _Book_,8,Genesis,Invisible Touch [book],8,1.0,PERFECT
Genesis,Genesis - Rock Score,4,Genesis,Anthology,44,1.0,PERFECT
Genesis,Genesis - Seconds Out,8,Genesis,Seconds Out,8,1.0,PERFECT
Genesis,Genesis - Selling England By The Pound,7,Genesis,Selling England By The Pound,7,1.0,PERFECT
George Michael,George Michael - Greatest Hits,29,George Michael,Greatest Hits,29,1.0,PERFECT
George Michael,George Michael - Older _Book_,11,George Michael,Older [book],11,1.0,PERFECT
Grand Funk Railroad,Grand Funk - Closer To Home _PVG Book_,5,Grand Funk Railroad,Grand Funk - Closer To Home [pvg Book],5,1.0,PERFECT
Grand Funk Railroad,Grand Funk - Were An American Band _PVG Book_,8,Grand Funk Railroad,Grand Funk - We're An American Band [pvg Book],8,1.0,PERFECT
Grand Funk Railroad,Grand Funk Railroad - Born To Die _PVG Book_,10,Grand Funk Railroad,Born To Die [pvg Book],10,1.0,PERFECT
Grand Funk Railroad,Grand Funk Railroad - Hits From Were An American Band Shinin On Phoenix _PVG_,23,Grand Funk Railroad,"Hits From We're An American Band, Shinin' On, Phoenix [pvg]",23,1.0,PERFECT
Harry Chapin,Harry Chapin - The Authentic Guitar Style Of _Guitar Tab_,9,Harry Chapin,The Authentic Guitar Style Of [guitar Tab],9,1.0,PERFECT
Henri Mancini,Henry Mancini - A Merry Mancini Christmas,13,Henri Mancini,Henry Mancini - A Merry Mancini Christmas,13,1.0,PERFECT
Jackson Browne,Jackson Browne - Deluxe Anthology,39,Jackson Browne,Deluxe Anthology,39,1.0,PERFECT
James Blunt,James Blunt - All The Lost Souls _Book_,10,James Blunt,All The Lost Souls [book],10,1.0,PERFECT
James Blunt,James Blunt - Back To Bedlam _Book_,1,James Blunt,Back To Bedlam [book],1,1.0,PERFECT
James Taylor,James Taylor - Classic _Guitar_,15,James Taylor,Classic [guitar],15,1.0,PERFECT
James Taylor,James Taylor - Classics _guitar tab_,15,James Taylor,Classic [guitar],15,1.0,PERFECT
James Taylor,James Taylor - Guitar Songbook,24,James Taylor,Guitar Songbook,24,1.0,PERFECT
James Taylor,James Taylor - James Taylor Songbook,24,James Taylor,Guitar Songbook,24,1.0,PERFECT
James Taylor,James Taylor - James Taylor _PVG Book_,21,James Taylor,James Taylor [pvg Book],21,1.0,PERFECT
James Taylor,James Taylor - Thats Why Im Here _PVG Book_,10,James Taylor,That's Why I'm Here [pvg Book],10,1.0,PERFECT
Jim Croce,Jim Croce - Acoustic Fingerstyle Video Guitar Lessons,1,Jim Croce,Acoustic Fingerstyle Video Guitar Lessons,1,1.0,PERFECT
Jimmy Buffet,Jimmy Buffett - Barometer Soup _PVG Book_,9,Jimmy Buffet,Jimmy Buffett - Barometer Soup [pvg Book],9,1.0,PERFECT
Jimmy Buffet,Jimmy Buffett - Fruitcakes _PVG Book_,9,Jimmy Buffet,Jimmy Buffett - Fruitcakes [pvg Book],9,1.0,PERFECT
Joe Cocker,Joe Cocker - Best Of,16,Joe Cocker,Best Of,16,1.0,PERFECT
Joe Cocker,Joe Cocker - Mad Dogs And Englishmen _Book_,16,Joe Cocker,Mad Dogs And Englishmen [book],16,1.0,PERFECT
Joe Cocker,Joe Cocker - Songbook,1,Joe Cocker,Songbook,1,1.0,PERFECT
John Denver,John Denver - Anthology,53,John Denver,Anthology,53,1.0,PERFECT
John Denver,John Denver - Anthology _PVG_,53,John Denver,Anthology [pvg],53,1.0,PERFECT
John Denver,John Denver - Back Home Again,18,John Denver,Best Of [easy Piano],18,1.0,PERFECT
John Denver,John Denver - Best Of _Easy Piano_,18,John Denver,Best Of [easy Piano],18,1.0,PERFECT
John Denver,John Denver - I Want To Live _PVG Book_,11,John Denver,I Want To Live [pvg Book],11,1.0,PERFECT
John Denver,John Denver - The Authentic Guitar Style Of,12,John Denver,The Authentic Guitar Style Of,12,1.0,PERFECT
John Lennon,John Lennon - Greatest Hits,15,John Lennon,Greatest Hits,15,1.0,PERFECT
Joni Mitchell,Joni Mitchell - The Best Of _PVG_,10,Joni Mitchell,The Best Of [pvg],10,1.0,PERFECT
Joni Mitchell,Joni Mitchell Songbook Complete Vol1 1966-1970,28,Joni Mitchell,Joni Mitchell Songbook Complete Vol1 1966-1970,28,1.0,PERFECT
Journey,Journey - Complete,68,Journey,Complete Songbook,68,1.0,PERFECT
Journey,Journey - Complete Songbook,68,Journey,Complete Songbook,68,1.0,PERFECT
Journey,Journey - Frontiers _Jap Band Score_,1,Journey,Frontiers [jap Band Score],1,1.0,PERFECT
Journey,Journey - Greatest Hits,6,Journey,Greatest Hits,6,1.0,PERFECT
Journey,Journey - Greatest Hits _Book_,5,Journey,Complete Songbook,68,1.0,PERFECT
Journey,Journey - Superbest _Jap Band Score_,15,Journey,Superbest [jap Band Score],15,1.0,PERFECT
Judy Garland,Judy Garland - Songbook,13,Judy Garland,Songbook,13,1.0,PERFECT
Katy Perry,Katy Perry - One Of The Boys _PVG Book_,12,Katy Perry,One Of The Boys [pvg Book],12,1.0,PERFECT
Kenny Rogers,Kenny Rogers - Love Or Something Like It _Book_,10,Kenny Rogers,Love Or Something Like It [book],10,1.0,PERFECT
Kinks,Kinks - Best Of The Kinks _Score_,12,Kinks,Best Of The Kinks [score],12,1.0,PERFECT
Kinks,Kinks - Best Of _Score_,9,Kinks,Best Of The Kinks [score],12,1.0,PERFECT
Kinks,Kinks - Great Songs Of Kinks,8,Kinks,Great Songs Of Kinks,8,1.0,PERFECT
Kinks,Kinks - Guitar Legends [Tab],9,Kinks,Guitar Legends [guitar],9,1.0,PERFECT
Kinks,Kinks - Guitar Legends _Guitar_,9,Kinks,Guitar Legends [guitar],9,1.0,PERFECT
Kinks,Kinks - Guitar Legends _Tab_,9,Kinks,Guitar Legends [guitar],9,1.0,PERFECT
Kinks,Kinks - Jam With The Kinks _Tab_,8,Kinks,Jam With The Kinks [tab],8,1.0,PERFECT
Led Zepplin,Led Zeppelin - Led Zeppelin II,1,Led Zepplin,Led Zeppelin - Led Zeppelin Ii,1,1.0,PERFECT
Led Zepplin,Led Zeppelin - Over The Hills And Far Away _PVG_,1,Led Zepplin,Led Zeppelin - Over The Hills And Far Away [pvg],1,1.0,PERFECT
Melissa Etheridge,Melissa Etheridge - Songbook,10,Melissa Etheridge,Songbook,10,1.0,PERFECT
Michael Jackson,Michael Jackson - Great Songs Of _PVG_,10,Michael Jackson,Great Songs Of [pvg],10,1.0,PERFECT
Michael Jackson,Michael Jackson - Number Ones,18,Michael Jackson,Number Ones [book],18,1.0,PERFECT
Michael Jackson,Michael Jackson - Number Ones _Book_,18,Michael Jackson,Number Ones [book],18,1.0,PERFECT
Michael Jackson,Michael Jackson - The Great Songs Of,10,Michael Jackson,The Great Songs Of,10,1.0,PERFECT
Michael Jackson,Michael Jackson - Thriller _The Complete Song Book_,10,Michael Jackson,Thriller (the Complete Song Book),10,1.0,PERFECT
Monkees,Monkees - Greatest Hits,11,Monkees,Greatest Hits,11,1.0,PERFECT
Moody Blues,Moody Blues - Greatest Hits _PVG_,11,Moody Blues,Greatest Hits [pvg],11,1.0,PERFECT
Moody Blues,Moody Blues - Keys Of Kingdom _Band Score_,12,Moody Blues,Keys Of Kingdom [band Score],12,1.0,PERFECT
Neil Diamond,Neil Diamond - The Essential Neil Diamond,40,Neil Diamond,The Essential Neil Diamond,40,1.0,PERFECT
Neil Young,Neil Young - After The Goldrush _PVG Book_,10,Neil Young,After The Goldrush [pvg Book],10,1.0,PERFECT
Neil Young,Neil Young - Decade,22,Neil Young,Decade [pvg Book],22,1.0,PERFECT
Neil Young,Neil Young - Decade _PVG Book_,22,Neil Young,Decade [pvg Book],22,1.0,PERFECT
Neil Young,Neil Young - Greatest Hits _Guitar Tab_,15,Neil Young,Greatest Hits [guitar Tab],15,1.0,PERFECT
Neil Young,Neil Young - Harvest Moon _Guitar Tab_,10,Neil Young,Harvest Moon [guitar Tab],10,1.0,PERFECT
Neil Young,Neil Young - Harvest _Score_,10,Neil Young,Harvest [score],10,1.0,PERFECT
Neil Young,Neil Young - The Best Of Neil Young _PVG Book_,9,Neil Young,The Best Of Neil Young [pvg Book],9,1.0,PERFECT
Night Ranger,Seven Wishes _jap Score_,10,Night Ranger,Night Ranger - Seven Wishes _jap Score_,10,1.0,PERFECT
Paul Mccartney,Paul McCartney - All The Best,22,Paul Mccartney,All The Best,22,1.0,PERFECT
Paul Mccartney,Paul McCartney - Flowers In The Dirt,14,Paul Mccartney,Flowers In The Dirt,14,1.0,PERFECT
Paul Mccartney,Paul McCartney - Press To Play,14,Paul Mccartney,Press To Play,14,1.0,PERFECT
Paul Mccartney,Paul McCartney - Ram,10,Paul Mccartney,Ram,10,1.0,PERFECT
Paul Mccartney,Paul Mccartney - Chaos And Creation In The Backyard _PVG Book_,13,Paul Mccartney,Chaos And Creation In The Backyard [pvg Book],13,1.0,PERFECT
Paul Mccartney,Paul Mccartney - Tripping The Live Fantastic _PVG Book_,38,Paul Mccartney,Tripping The Live Fantastic [pvg Book],38,1.0,PERFECT
Paul Mccartney,Paul Mccartney - Tug Of War _PVG Book_,11,Paul Mccartney,Tug Of War [pvg Book],11,1.0,PERFECT
Paul Simon,Paul Simon - Anthology,49,Paul Simon,Anthology,49,1.0,PERFECT
Paul Simon,Simon And Garfunkels Greatest Hits,14,Paul Simon,Simon & Garfunkel's Greatest Hits,14,1.0,PERFECT
Peter Frampton,Peter Frampton - The Best Of _Guitar Tab_,11,Peter Frampton,The Best Of [guitar Tab],11,1.0,PERFECT
Pink,Pink - Funhouse _PVG_,1,Pink,Funhouse [pvg],1,1.0,PERFECT
Pink,Pink - Im Not Dead _PVG Book_,10,Pink,I'm Not Dead [pvg Book],10,1.0,PERFECT
Pink,Pink - Missundaztood _PVG Book_,1,Pink,Missundaztood [pvg Book],1,1.0,PERFECT
Pink Floyd,Pink Floyd - Anthology - p110-175,1,Pink Floyd,Anthology (book),38,1.0,PERFECT
Pink Floyd,Pink Floyd - Anthology - p58-109,1,Pink Floyd,Anthology (book),38,1.0,PERFECT
Pink Floyd,Pink Floyd - Anthology _PVG_,38,Pink Floyd,Anthology (book),38,1.0,PERFECT
Pink Floyd,Pink Floyd - Anthology _book_,38,Pink Floyd,Anthology (book),38,1.0,PERFECT
Pink Floyd,Pink Floyd - Dark Side Of The Moon,1,Pink Floyd,Dark Side Of The Moon (2),1,1.0,PERFECT
Pink Floyd,Pink Floyd - Dark Side Of The Moon _2_,1,Pink Floyd,Dark Side Of The Moon (2),1,1.0,PERFECT
Pink Floyd,Pink Floyd - Dark Side Of The Moon _PVG_,1,Pink Floyd,Dark Side Of The Moon (2),1,1.0,PERFECT
Pink Floyd,Pink Floyd - Pink Floyd Songbook,10,Pink Floyd,Pink Floyd - Pink Floyd Songbook,10,1.0,PERFECT
Pink Floyd,Pink Floyd - The Wall _PVG_,23,Pink Floyd,The Wall [pvg],23,1.0,PERFECT
Pink Floyd,Pink Floyd - Wish You Were Here,11,Pink Floyd,Wish You Were Here [pvg],12,1.0,PERFECT
Pink Floyd,Pink Floyd - Wish You Were Here _PVG_,12,Pink Floyd,Wish You Were Here [pvg],12,1.0,PERFECT
Police,Police - The Great Songs Of The Police,12,Police,The Great Songs Of The Police,12,1.0,PERFECT
Pretenders,Pretenders - Best Of Pretenders,16,Pretenders,Best Of Pretenders,16,1.0,PERFECT
Prince,Prince - Purple Rain _Score_,1,Prince,Purple Rain [score],1,1.0,PERFECT
Queen,Queen - Deluxe Anthology _PVG_,1,Queen,Deluxe Anthology [pvg],1,1.0,PERFECT
Queen,Queen - Greatest Hits,1,Queen,Deluxe Anthology [pvg],1,1.0,PERFECT
Queen,Queen - Greatest Hits 1 _Score_,16,Queen,Greatest Hits 1 [score],16,1.0,PERFECT
Queen,Queen - Greatest Hits II _PVG_,17,Queen,Greatest Hits Ii [pvg],17,1.0,PERFECT
Queen,Queen - Hit Songs,22,Queen,Hit Songs,22,1.0,PERFECT
Randy Newman,Randy Newman - Collection,1,Randy Newman,Collection,1,1.0,PERFECT
Reo Speedwagon,REO Speedwagon - Good Trouble,1,Reo Speedwagon,Good Trouble,1,1.0,PERFECT
Reo Speedwagon,REO Speedwagon - Hi Infidelity,1,Reo Speedwagon,Hi Infidelity,1,1.0,PERFECT
Reo Speedwagon,REO Speedwagon - Life As We Know It,4,Reo Speedwagon,Reo Speedwagon - Life As We Know It,4,1.0,PERFECT
Reo Speedwagon,REO Speedwagon - The Hits,12,Reo Speedwagon,The Hits,12,1.0,PERFECT
Rod Stewart,Rod Stewart - The Great American Songbook,16,Rod Stewart,The Great American Songbook,16,1.0,PERFECT
Rolling Stones,Rolling Stones - Best Of Rolling Stones 1963-1973 Piano Songbook,20,Rolling Stones,Best Of Rolling Stones 1963-1973 Piano Songbook,20,1.0,PERFECT
Rolling Stones,Rolling Stones - Let It Bleed _Guitar Tab_,9,Rolling Stones,Let It Bleed [guitar Tab],9,1.0,PERFECT
Rolling Stones,Rolling Stones - Sticky Fingers _Score_,10,Rolling Stones,Sticky Fingers [score],10,1.0,PERFECT
Roy Orbison,Roy Orbison - Greatest Hits,19,Roy Orbison,Greatest Hits,19,1.0,PERFECT
Santana,Santana - Off The Record,8,Santana,Off The Record,8,1.0,PERFECT
Scott Joplin,Scott Joplin - The Best Of,17,Scott Joplin,The Best Of,17,1.0,PERFECT
Shania Twain,Shania Twain - Greatest Hits,21,Shania Twain,Greatest Hits,21,1.0,PERFECT
Shania Twain,Shania Twain - Up _PVG Book_,20,Shania Twain,Up! [pvg Book],20,1.0,PERFECT
Sheryl Crow,Sheryl Crow - Tuesday Night Music Club _PVG Book_,11,Sheryl Crow,Tuesday Night Music Club [pvg Book],11,1.0,PERFECT
Sheryl Crow,Sheryl Crow - Very Best,17,Sheryl Crow,Very Best,17,1.0,PERFECT
Spice Girls,Spice Girls - Greatest Hits,11,Spice Girls,Greatest Hits,11,1.0,PERFECT
Steely Dan,Steely Dan - The Best,23,Steely Dan,Steely Dan - The Best,23,1.0,PERFECT
Steve Miller Band,Steve Miller Band - 13 Biggest Hits,13,Steve Miller Band,13 Biggest Hits,13,1.0,PERFECT
Steve Miller Band,Steve Miller Band - Rock Best Hits _Jap Score_,8,Steve Miller Band,Rock Best Hits [jap Score],8,1.0,PERFECT
Steve Winwood,Steve Winwood - Arc Of A Diver _PVG Book_,7,Steve Winwood,Arc Of A Diver [pvg Book],7,1.0,PERFECT
Steve Winwood,Steve Winwood - The Great Songs Of,8,Steve Winwood,The Great Songs Of,8,1.0,PERFECT
Supertramp,Supertramp - Anthology,2,Supertramp,Anthology,2,1.0,PERFECT
Supertramp,Supertramp - Breakfast In America _PVG Book_,10,Supertramp,Breakfast In America [pvg Book],10,1.0,PERFECT
Supertramp,Supertramp - Crime Of The Century _Book_,8,Supertramp,Crime Of The Century [book],8,1.0,PERFECT
Survivor,Survivor - Greatest Hits,10,Survivor,Greatest Hits,10,1.0,PERFECT
Taylor Swift,Taylor Swift - Best Of _Easy Piano_,12,Taylor Swift,Best Of [easy Piano],12,1.0,PERFECT
Taylor Swift,Taylor Swift - Fearless _PVG Book_,16,Taylor Swift,Fearless [pvg Book],16,1.0,PERFECT
Taylor Swift,Taylor Swift - Speak Now _PVG Book_,14,Taylor Swift,Speak Now [pvg Book],14,1.0,PERFECT
Taylor Swift,Taylor Swift - Taylor Swift,11,Taylor Swift,Taylor Swift [guitar Compilation],11,1.0,PERFECT
Taylor Swift,Taylor Swift - Taylor Swift _Guitar Compilation_,11,Taylor Swift,Taylor Swift [guitar Compilation],11,1.0,PERFECT
The Band,Band - Northern Lights Southern Cross _PVG_,8,The Band,Band - Northern Lights Southern Cross [pvg],8,1.0,PERFECT
The Band,Band - Stage Fright _PVG_,9,The Band,Band - Stage Fright [pvg],11,1.0,PERFECT
The Band,The Band - Rock Of Ages _PVG Book_,8,The Band,Rock Of Ages [pvg Book],8,1.0,PERFECT
The Band,The Band - The Band And Music From Big Pink,21,The Band,The Band And Music From Big Pink,21,1.0,PERFECT
Tom Lehrer,Tom Lehrer - Book Covers,1,Tom Lehrer,Tom Lehrer - Book Covers,1,1.0,PERFECT
Tom Lehrer,Tom Lehrer - Too Many Songs _PVC Book_,32,Tom Lehrer,Tom Lehrer - Too Many Songs [pvc Book],32,1.0,PERFECT
Tom Waits,Anthology,29,Tom Waits,Anthology,29,1.0,PERFECT
Tom Waits,Tom Waits - Anthology,24,Tom Waits,Anthology,29,1.0,PERFECT
Tom Waits,Tom Waits - Tom Waits Anthology,7,Tom Waits,Tom Waits - Tom Waits Anthology,7,1.0,PERFECT
Tori Amos,Tori Amos - _Book_ Anthology,25,Tori Amos,[book] Anthology,25,1.0,PERFECT
Toto,Toto - Best of,5,Toto,Best Of,5,1.0,PERFECT
