"Artist","Book","Filename","S3Path","Size","LastModified"
"Abba","Great Bands Of The 70s","Abba - Knowing Me, Knowing You.pdf","Abba/Great Bands Of The 70s/Songs/Abba - Knowing Me, Knowing You.pdf","780002","2026-01-26 01:48:17"
"Acdc","Acdc - Anthology","Acdc - For Those About To Rock (we Salute You).pdf","Acdc/Acdc - Anthology/Songs/Acdc - For Those About To Rock (we Salute You).pdf","2084894","2026-01-26 23:25:29"
"Acdc","Acdc - Anthology","Acdc - Let Me Put My Love Into You.pdf","Acdc/Acdc - Anthology/Songs/Acdc - Let Me Put My Love Into You.pdf","9854094","2026-01-26 23:25:29"
"Acdc","Acdc - Anthology","Acdc - You Shook Me All Night Long.pdf","Acdc/Acdc - Anthology/Songs/Acdc - You Shook Me All Night Long.pdf","868617","2026-01-26 23:25:29"
"Aerosmith","Aerosmith - Greatest Hits (songbook)","Aerosmith - Back In The Saddle.pdf","Aerosmith/Aerosmith - Greatest Hits (songbook)/Songs/Aerosmith - Back In The Saddle.pdf","1262493","2026-01-26 23:25:13"
"Aerosmith","Aerosmith - Greatest Hits (songbook)","Aerosmith - Come Together.pdf","Aerosmith/Aerosmith - Greatest Hits (songbook)/Songs/Aerosmith - Come Together.pdf","2021671","2026-01-26 23:25:13"
"Aerosmith","Aerosmith - Greatest Hits (songbook)","Aerosmith - Draw The Line.pdf","Aerosmith/Aerosmith - Greatest Hits (songbook)/Songs/Aerosmith - Draw The Line.pdf","6491377","2026-01-26 23:25:13"
"Aerosmith","Aerosmith - Greatest Hits (songbook)","Aerosmith - Let The Music Do The Talking.pdf","Aerosmith/Aerosmith - Greatest Hits (songbook)/Songs/Aerosmith - Let The Music Do The Talking.pdf","636226","2026-01-26 23:25:13"
"Aerosmith","Aerosmith - Greatest Hits (songbook)","Aerosmith - Lightning Strikes.pdf","Aerosmith/Aerosmith - Greatest Hits (songbook)/Songs/Aerosmith - Lightning Strikes.pdf","628236","2026-01-26 23:25:13"
"Aerosmith","Aerosmith - Greatest Hits (songbook)","Aerosmith - Same Old Song & Dance.pdf","Aerosmith/Aerosmith - Greatest Hits (songbook)/Songs/Aerosmith - Same Old Song & Dance.pdf","990476","2026-01-26 23:25:13"
