"Artist","Book","OriginalFilename","ExpectedFilename","S3Key","ExpectedLocalPath","Size","LastModified"
"Beatles","Beatles - Complete Scores (2)","Beatles - All My Loving.pdf","Beatles - All My Loving.pdf","Beatles/Beatles - Complete Scores (2)/Songs/Beatles - All My Loving.pdf",".\ProcessedSongs_Reorganized\Beatles\Beatles - Complete Scores (2)\Beatles - All My Loving.pdf","1308912","2026-01-27T04:45:40+00:00"
"Beatles","Beatles - Complete Scores","Beatles - Octopus's Garden.pdf","Beatles - Octopus's Garden.pdf","Beatles/Beatles - Complete Scores/Songs/Beatles - Octopus's Garden.pdf",".\ProcessedSongs_Reorganized\Beatles\Beatles - Complete Scores\Beatles - Octopus's Garden.pdf","1259962","2026-01-27T04:45:55+00:00"
"Don Henley","Don Henley - The End Of The Innocence [pvg Book]","Don Henley - New York Minute.pdf","Don Henley - New York Minute.pdf","Don Henley/Don Henley - The End Of The Innocence [pvg Book]/Songs/Don Henley - New York Minute.pdf",".\ProcessedSongs_Reorganized\Don Henley\Don Henley - The End Of The Innocence [pvg Book]\Don Henley - New York Minute.pdf","17591253","2026-01-27T04:04:21+00:00"
"_broadway Shows","Various Artists - Rent [score]","Unknown Artist - Voice Mail #3.pdf","Unknown Artist - Voice Mail #3.pdf","_broadway Shows/Various Artists - Rent [score]/Songs/Unknown Artist - Voice Mail #3.pdf",".\ProcessedSongs_Reorganized\_broadway Shows\Various Artists - Rent [score]\Unknown Artist - Voice Mail #3.pdf","76392","2026-01-26T22:21:57+00:00"
"Burl Ives","Burl Ives - Song Book","Burl Ives - Away, Rio.pdf","Burl Ives - Away, Rio.pdf","Burl Ives/Burl Ives - Song Book/Songs/Burl Ives - Away, Rio.pdf",".\ProcessedSongs_Reorganized\Burl Ives\Burl Ives - Song Book\Burl Ives - Away, Rio.pdf","451182","2026-01-27T04:41:44+00:00"
"James Blunt","All The Lost Souls [book]","James Blunt - Carry You Home.pdf","James Blunt - Carry You Home.pdf","James Blunt/All The Lost Souls [book]/Songs/James Blunt - Carry You Home.pdf",".\ProcessedSongs_Reorganized\James Blunt\All The Lost Souls [book]\James Blunt - Carry You Home.pdf","1820212","2026-01-26T19:54:32+00:00"
"Carole King","Carole King - Classics (3)","Carole King - I Can't Stop Talkin' About You.pdf","Carole King - I Can't Stop Talkin' About You.pdf","Carole King/Carole King - Classics (3)/Songs/Carole King - I Can't Stop Talkin' About You.pdf",".\ProcessedSongs_Reorganized\Carole King\Carole King - Classics (3)\Carole King - I Can't Stop Talkin' About You.pdf","122953","2026-01-27T04:38:31+00:00"
"Beatles","Beatles - Fake Songbook (guitar)","Beatles - Run For Your Life.pdf","Beatles - Run For Your Life.pdf","Beatles/Beatles - Fake Songbook (guitar)/Songs/Beatles - Run For Your Life.pdf",".\ProcessedSongs_Reorganized\Beatles\Beatles - Fake Songbook (guitar)\Beatles - Run For Your Life.pdf","13257","2026-01-27T04:41:50+00:00"
"Journey","Journey - Complete Songbook","Journey - Any Way You Want It.pdf","Journey - Any Way You Want It.pdf","Journey/Journey - Complete Songbook/Songs/Journey - Any Way You Want It.pdf",".\ProcessedSongs_Reorganized\Journey\Journey - Complete Songbook\Journey - Any Way You Want It.pdf","244262","2026-01-27T04:18:44+00:00"
"Beatles","Beatles - Songbook","Beatles - Good Night.pdf","Beatles - Good Night.pdf","Beatles/Beatles - Songbook/Songs/Beatles - Good Night.pdf",".\ProcessedSongs_Reorganized\Beatles\Beatles - Songbook\Beatles - Good Night.pdf","93519","2026-01-27T04:19:51+00:00"
"Beatles","Beatles - Complete Scores (2)","Beatles - You're Going To Lose That Girl.pdf","Beatles - You're Going To Lose That Girl.pdf","Beatles/Beatles - Complete Scores (2)/Songs/Beatles - You're Going To Lose That Girl.pdf",".\ProcessedSongs_Reorganized\Beatles\Beatles - Complete Scores (2)\Beatles - You're Going To Lose That Girl.pdf","336788","2026-01-27T04:45:51+00:00"
"Beatles","Beatles - All Songs 1962-1974","Beatles - All My Loving.pdf","Beatles - All My Loving.pdf","Beatles/Beatles - All Songs 1962-1974/Songs/Beatles - All My Loving.pdf",".\ProcessedSongs_Reorganized\Beatles\Beatles - All Songs 1962-1974\Beatles - All My Loving.pdf","39675","2026-01-27T04:13:53+00:00"
"Fleetwood Mac","Fleetwood Mac - Anthology","Fleetwood Mac - Gold Dust Woman.pdf","Fleetwood Mac - Gold Dust Woman.pdf","Fleetwood Mac/Fleetwood Mac - Anthology/Songs/Fleetwood Mac - Gold Dust Woman.pdf",".\ProcessedSongs_Reorganized\Fleetwood Mac\Fleetwood Mac - Anthology\Fleetwood Mac - Gold Dust Woman.pdf","1183719","2026-01-27T04:32:53+00:00"
"Beatles","Beatles - Complete Scores","Beatles - The Night Before.pdf","Beatles - The Night Before.pdf","Beatles/Beatles - Complete Scores/Songs/Beatles - The Night Before.pdf",".\ProcessedSongs_Reorganized\Beatles\Beatles - Complete Scores\Beatles - The Night Before.pdf","1495554","2026-01-27T04:45:55+00:00"
"Moody Blues","Keys Of Kingdom [band Score]","Moody Blues - Is This Heaven-.pdf","Moody Blues - Is This Heaven-.pdf","Moody Blues/Keys Of Kingdom [band Score]/Songs/Moody Blues - Is This Heaven-.pdf",".\ProcessedSongs_Reorganized\Moody Blues\Keys Of Kingdom [band Score]\Moody Blues - Is This Heaven-.pdf","246199","2026-01-26T20:18:39+00:00"
"Journey","Journey - Complete Songbook","Journey - Lovin' You Is Easy.pdf","Journey - Lovin' You Is Easy.pdf","Journey/Journey - Complete Songbook/Songs/Journey - Lovin' You Is Easy.pdf",".\ProcessedSongs_Reorganized\Journey\Journey - Complete Songbook\Journey - Lovin' You Is Easy.pdf","186779","2026-01-27T04:18:44+00:00"
"Taylor Swift","Taylor Swift [guitar Compilation]","Taylor Swift - Teardrops On My Guitar.pdf","Taylor Swift - Teardrops On My Guitar.pdf","Taylor Swift/Taylor Swift [guitar Compilation]/Songs/Taylor Swift - Teardrops On My Guitar.pdf",".\ProcessedSongs_Reorganized\Taylor Swift\Taylor Swift [guitar Compilation]\Taylor Swift - Teardrops On My Guitar.pdf","114068","2026-01-26T20:51:34+00:00"
"Elton John","Elton John - The Ultimate Collection Vol. 1","Elton John And Bernie Taupin - Bad Side Of The Moon.pdf","Elton John - Bad Side Of The Moon.pdf","Elton John/Elton John - The Ultimate Collection Vol. 1/Songs/Elton John And Bernie Taupin - Bad Side Of The Moon.pdf",".\ProcessedSongs_Reorganized\Elton John\Elton John - The Ultimate Collection Vol. 1\Elton John - Bad Side Of The Moon.pdf","1227446","2026-01-27T04:13:25+00:00"
"Sheryl Crow","Tuesday Night Music Club [pvg Book]","Sheryl Crow - No One Said It Would Be Easy.pdf","Sheryl Crow - No One Said It Would Be Easy.pdf","Sheryl Crow/Tuesday Night Music Club [pvg Book]/Songs/Sheryl Crow - No One Said It Would Be Easy.pdf",".\ProcessedSongs_Reorganized\Sheryl Crow\Tuesday Night Music Club [pvg Book]\Sheryl Crow - No One Said It Would Be Easy.pdf","195591","2026-01-26T20:47:23+00:00"
"Burl Ives","Burl Ives - Song Book","Burl Ives - What A Court Hath Old England.pdf","Burl Ives - What A Court Hath Old England.pdf","Burl Ives/Burl Ives - Song Book/Songs/Burl Ives - What A Court Hath Old England.pdf",".\ProcessedSongs_Reorganized\Burl Ives\Burl Ives - Song Book\Burl Ives - What A Court Hath Old England.pdf","452524","2026-01-27T04:41:43+00:00"
"Beatles","Beatles - Anthology","Beatles - I Want You.pdf","Beatles - I Want You.pdf","Beatles/Beatles - Anthology/Songs/Beatles - I Want You.pdf",".\ProcessedSongs_Reorganized\Beatles\Beatles - Anthology\Beatles - I Want You.pdf","219158","2026-01-27T04:15:07+00:00"
"Beatles","Beatles - Abbey Road Guitar Recorded Version","Beatles - The End.pdf","Beatles - The End.pdf","Beatles/Beatles - Abbey Road Guitar Recorded Version/Songs/Beatles - The End.pdf",".\ProcessedSongs_Reorganized\Beatles\Beatles - Abbey Road Guitar Recorded Version\Beatles - The End.pdf","7483925","2026-01-27T03:58:55+00:00"
"Beatles","Beatles - Complete Scores","Beatles - Julia.pdf","Beatles - Julia.pdf","Beatles/Beatles - Complete Scores/Songs/Beatles - Julia.pdf",".\ProcessedSongs_Reorganized\Beatles\Beatles - Complete Scores\Beatles - Julia.pdf","758681","2026-01-27T04:45:53+00:00"
"Beatles","Beatles - Complete Scores (2)","Beatles - From Me To You.pdf","Beatles - From Me To You.pdf","Beatles/Beatles - Complete Scores (2)/Songs/Beatles - From Me To You.pdf",".\ProcessedSongs_Reorganized\Beatles\Beatles - Complete Scores (2)\Beatles - From Me To You.pdf","245981","2026-01-27T04:45:42+00:00"
"_broadway Shows","Various Artists - You're A Good Man Charlie Brown [revival] [score]","(lucy) - -schrwdler-.pdf","(lucy) - -schrwdler-.pdf","_broadway Shows/Various Artists - You're A Good Man Charlie Brown [revival] [score]/Songs/(lucy) - -schrwdler-.pdf",".\ProcessedSongs_Reorganized\_broadway Shows\Various Artists - You're A Good Man Charlie Brown [revival] [score]\(lucy) - -schrwdler-.pdf","282087","2026-01-26T22:44:17+00:00"
"Beatles","Beatles - Complete Scores (2)","Beatles - Mean Mr. Mustard.pdf","Beatles - Mean Mr. Mustard.pdf","Beatles/Beatles - Complete Scores (2)/Songs/Beatles - Mean Mr. Mustard.pdf",".\ProcessedSongs_Reorganized\Beatles\Beatles - Complete Scores (2)\Beatles - Mean Mr. Mustard.pdf","187183","2026-01-27T04:45:46+00:00"
"Dire Straits","Best Of Dire Straits [guitar Tab]","Mark Knopfler - Telegraph Road.pdf","Dire Straits - Telegraph Road.pdf","Dire Straits/Best Of Dire Straits [guitar Tab]/Songs/Mark Knopfler - Telegraph Road.pdf",".\ProcessedSongs_Reorganized\Dire Straits\Best Of Dire Straits [guitar Tab]\Dire Straits - Telegraph Road.pdf","4444465","2026-01-26T14:31:10+00:00"
"Beatles","Beatles - Complete Scores (2)","Beatles - I've Just Seen A Face.pdf","Beatles - I've Just Seen A Face.pdf","Beatles/Beatles - Complete Scores (2)/Songs/Beatles - I've Just Seen A Face.pdf",".\ProcessedSongs_Reorganized\Beatles\Beatles - Complete Scores (2)\Beatles - I've Just Seen A Face.pdf","370170","2026-01-27T04:45:45+00:00"
"Beatles","Abbey Road","The Image Does Not Explicitly State The Artist Name, But Based On The Copyright Information At The Top Mentioning -words & Music By John Lennon & Paul Mccartney-, This Appears To Be Sheet Music Fo.pdf","The Image Does Not Explicitly State The Artist Name, But Based On The Copyright Information At The Top Mentioning -words & Music By John Lennon & Paul Mccartney-, This Appears To Be Sheet Music Fo.pdf","Beatles/Abbey Road/Songs/The Image Does Not Explicitly State The Artist Name, But Based On The Copyright Information At The Top Mentioning -words & Music By John Lennon & Paul Mccartney-, This Appears To Be Sheet Music Fo.pdf",".\ProcessedSongs_Reorganized\Beatles\Abbey Road\The Image Does Not Explicitly State The Artist Name, But Based On The Copyright Information At The Top Mentioning -words & Music By John Lennon & Paul Mccartney-, This Appears To Be Sheet Music Fo.pdf","757247","2026-01-26T08:36:12+00:00"
"Beatles","Beatles - Songbook","Beatles - She Came In Through The Bathroom Window.pdf","Beatles - She Came In Through The Bathroom Window.pdf","Beatles/Beatles - Songbook/Songs/Beatles - She Came In Through The Bathroom Window.pdf",".\ProcessedSongs_Reorganized\Beatles\Beatles - Songbook\Beatles - She Came In Through The Bathroom Window.pdf","56667","2026-01-27T04:19:52+00:00"
"Various Artists","Great Bands Of The 70s [pvg Book]","Stealers Wheel - Stuck In The Middle With You.pdf","Stealers Wheel - Stuck In The Middle With You.pdf","Various Artists/Great Bands Of The 70s [pvg Book]/Songs/Stealers Wheel - Stuck In The Middle With You.pdf",".\ProcessedSongs_Reorganized\Various Artists\Great Bands Of The 70s [pvg Book]\Stealers Wheel - Stuck In The Middle With You.pdf","562666","2026-01-26T21:15:30+00:00"
"Frank Zappa","Frank Zappa - Songbook Vol 1","Frank Zappa - Oh No.pdf","Frank Zappa - Oh No.pdf","Frank Zappa/Frank Zappa - Songbook Vol 1/Songs/Frank Zappa - Oh No.pdf",".\ProcessedSongs_Reorganized\Frank Zappa\Frank Zappa - Songbook Vol 1\Frank Zappa - Oh No.pdf","1552825","2026-01-27T03:56:17+00:00"
"Bob Dylan","Bob Dylan - Collection","Bob Dylan - Rainy Day Women #12 & 35.pdf","Bob Dylan - Rainy Day Women #12 & 35.pdf","Bob Dylan/Bob Dylan - Collection/Songs/Bob Dylan - Rainy Day Women #12 & 35.pdf",".\ProcessedSongs_Reorganized\Bob Dylan\Bob Dylan - Collection\Bob Dylan - Rainy Day Women #12 & 35.pdf","521190","2026-01-27T04:05:12+00:00"
"Don Henley","The End Of The Innocence [pvg Book]","Don Henley, Danny Kortchmar And Steve Jordan - Shangri-la.pdf","Don Henley - Shangri-la.pdf","Don Henley/The End Of The Innocence [pvg Book]/Songs/Don Henley, Danny Kortchmar And Steve Jordan - Shangri-la.pdf",".\ProcessedSongs_Reorganized\Don Henley\The End Of The Innocence [pvg Book]\Don Henley - Shangri-la.pdf","2716149","2026-01-26T14:48:18+00:00"
"Queen","Greatest Hits Ii [pvg]","Queen - Hammer To Fall.pdf","Queen - Hammer To Fall.pdf","Queen/Greatest Hits Ii [pvg]/Songs/Queen - Hammer To Fall.pdf",".\ProcessedSongs_Reorganized\Queen\Greatest Hits Ii [pvg]\Queen - Hammer To Fall.pdf","4269331","2026-01-26T20:39:36+00:00"
"Bob Dylan","Bob Dylan - Anthology 2","Bob Dylan - I Believe In You.pdf","Bob Dylan - I Believe In You.pdf","Bob Dylan/Bob Dylan - Anthology 2/Songs/Bob Dylan - I Believe In You.pdf",".\ProcessedSongs_Reorganized\Bob Dylan\Bob Dylan - Anthology 2\Bob Dylan - I Believe In You.pdf","244513","2026-01-27T04:39:40+00:00"
"_broadway Shows","Various Artists - Les Miserables - Piano-conductor","Les Mis?rables - 2.i Dreamed A Dream(e).pdf","Les Mis?rables - 2.i Dreamed A Dream(e).pdf","_broadway Shows/Various Artists - Les Miserables - Piano-conductor/Songs/Les Mis?rables - 2.i Dreamed A Dream(e).pdf",".\ProcessedSongs_Reorganized\_broadway Shows\Various Artists - Les Miserables - Piano-conductor\Les Mis?rables - 2.i Dreamed A Dream(e).pdf","217094","2026-01-26T22:09:42+00:00"
"_broadway Shows","Various Artists - Seussical [pv Score]","Lyrics By Lynn Ahrens, Music By Stephen Flaherty - Alone In The Universe (reprise).pdf","Lyrics By Lynn Ahrens, Music By Stephen Flaherty - Alone In The Universe (reprise).pdf","_broadway Shows/Various Artists - Seussical [pv Score]/Songs/Lyrics By Lynn Ahrens, Music By Stephen Flaherty - Alone In The Universe (reprise).pdf",".\ProcessedSongs_Reorganized\_broadway Shows\Various Artists - Seussical [pv Score]\Lyrics By Lynn Ahrens, Music By Stephen Flaherty - Alone In The Universe (reprise).pdf","326034","2026-01-26T22:27:56+00:00"
"Beatles","Beatles - Complete Scores","Beatles - You've Got To Hide Your Love Away.pdf","Beatles - You've Got To Hide Your Love Away.pdf","Beatles/Beatles - Complete Scores/Songs/Beatles - You've Got To Hide Your Love Away.pdf",".\ProcessedSongs_Reorganized\Beatles\Beatles - Complete Scores\Beatles - You've Got To Hide Your Love Away.pdf","717306","2026-01-27T04:46:03+00:00"
