local_artist,local_book,local_count,current_match,current_quality,candidate_1,score_1,count_1,candidate_2,score_2,count_2,candidate_3,score_3,count_3,selected_match,notes
America,America - America _PVG Book_,12,America/America - Greatest Hits,PARTIAL,America/America - Greatest Hits,0.52,7,America/America - Greatest Hits [book],0.45,7,America/America - America [pvg Book],0.38,1,,
America,America - Greatest Hits,12,America/America - Greatest Hits,PARTIAL,America/America - Greatest Hits,0.87,7,America/America - Greatest Hits [book],0.73,7,America/Greatest Hits,0.65,12,,
Asia,Asia - Alpha _PVG Book_,11,Asia/Asia - Alpha [pvg Book],POOR,Asia/Asia - Alpha [pvg Book],0.53,4,,,,,,,,
Avril Lavigne,Avril Lavigne - The Best Damn Thing _PVG Book_,12,Avril Lavigne/Avril Lavigne - The Best Damn Thing [pvg Book],POOR,Avril Lavigne/Avril Lavigne - The Best Damn Thing [pvg Book],0.64,4,Avril Lavigne/The Best Damn Thing [pvg Book],0.59,13,,,,,
Barry Manilow,Barry Manilow - Barry Manilow _PVG Book_,13,Barry Manilow/Barry Manilow - Barry Manilow [pvg Book],PARTIAL,Barry Manilow/Barry Manilow - Barry Manilow [pvg Book],0.58,7,Barry Manilow/Barry Manilow [pvg Book],0.58,13,Barry Manilow/Barry Manilow - Anthology,0.44,25,,
Beatles,Beatles - 100 Hits For All Keyboards,48,Beatles/Beatles - Complete Scores,PARTIAL,Beatles/Beatles - 100 Hits For All Keyboards,0.91,34,Beatles/100 Hits For All Keyboards,0.80,48,Beatles/Beatles - Essential Songs,0.47,44,,
Beatles,Beatles - Abbey Road,19,Beatles/Beatles - Complete Scores,PARTIAL,Beatles/Beatles - Abbey Road,0.81,7,Beatles/Beatles - Abbey Road [scores],0.65,6,Beatles/Abbey Road,0.62,17,,
Beatles,Beatles - All Songs 1962-1974,199,Beatles/Beatles - Complete Scores,PARTIAL,Beatles/Beatles - All Songs 1962-1974,0.83,83,Beatles/All Songs 1962-1974,0.72,199,Beatles/Beatles - Complete Scores,0.53,167,,
Beatles,Beatles - Anthology,199,Beatles/Beatles - Complete Scores,PARTIAL,Beatles/Beatles - Anthology,0.81,73,Beatles/Beatles - Complete Scores,0.60,167,Beatles/Beatles - Songbook,0.59,83,,
Beatles,Beatles - Anthology 1,18,Beatles/Beatles - Anthology 1,PARTIAL,Beatles/Beatles - Anthology 1,0.87,10,Beatles/Beatles - Anthology 1 (113 Pages),0.73,20,Beatles/Anthology 1,0.65,18,,
