Type,Needs_Rename,Artist,Old_Name,New_Name,Old_Path,New_Path,Status
PDF,YES,_Broadway Shows,A Treasury of Gilbert & Sullivan Part 1,A Treasury Of Gilbert And Sullivan Part 1,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\A Treasury of Gilbert & Sullivan Part 1.pdf,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\A Treasury Of Gilbert And Sullivan Part 1.pdf,MATCHED
FOLDER,YES,_broadway Shows,A Treasury Of Gilbert & Sullivan Part 1,A Treasury Of Gilbert And Sullivan Part 1,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\A Treasury Of Gilbert & Sullivan Part 1,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\A Treasury Of Gilbert And Sullivan Part 1,MATCHED
PDF,YES,_Broadway Shows,A Treasury of Gilbert & Sullivan Part 2,A Treasury Of Gilbert And Sullivan Part 2,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\A Treasury of Gilbert & Sullivan Part 2.pdf,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\A Treasury Of Gilbert And Sullivan Part 2.pdf,MATCHED
FOLDER,YES,_broadway Shows,A Treasury Of Gilbert & Sullivan Part 2,A Treasury Of Gilbert And Sullivan Part 2,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\A Treasury Of Gilbert & Sullivan Part 2,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\A Treasury Of Gilbert And Sullivan Part 2,MATCHED
PDF,YES,_Broadway Shows,Lambert and Morrison - The Drowsy Chaperone (Version 1),Lambert And Morrison - The Drowsy Chaperone _Version 1_,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Lambert and Morrison - The Drowsy Chaperone (Version 1).pdf,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Lambert And Morrison - The Drowsy Chaperone _Version 1_.pdf,MATCHED
FOLDER,YES,_broadway Shows,Lambert And Morrison - The Drowsy Chaperone (version 1),Lambert And Morrison - The Drowsy Chaperone _version 1_,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Lambert And Morrison - The Drowsy Chaperone (version 1),c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Lambert And Morrison - The Drowsy Chaperone _version 1_,MATCHED
PDF,YES,_Broadway Shows,Lambert and Morrison - The Drowsy Chaperone (Version 2),Lambert And Morrison - The Drowsy Chaperone _Version 2_,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Lambert and Morrison - The Drowsy Chaperone (Version 2).pdf,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Lambert And Morrison - The Drowsy Chaperone _Version 2_.pdf,MATCHED
FOLDER,YES,_broadway Shows,Lambert And Morrison - The Drowsy Chaperone (version 2),Lambert And Morrison - The Drowsy Chaperone _version 2_,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Lambert And Morrison - The Drowsy Chaperone (version 2),c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Lambert And Morrison - The Drowsy Chaperone _version 2_,MATCHED
PDF,YES,_Broadway Shows,Lerner and Loewe - Camelot,Lerner And Loewe - Camelot,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Lerner and Loewe - Camelot.pdf,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Lerner And Loewe - Camelot.pdf,MATCHED
PDF,YES,_Broadway Shows,Rogers and Hammerstein - South Pacific,Rogers And Hammerstein - South Pacific,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Rogers and Hammerstein - South Pacific.pdf,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Rogers And Hammerstein - South Pacific.pdf,MATCHED
PDF,YES,_Broadway Shows,Various Artists - Aladdin (book),Various Artists - Aladdin _book_,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Aladdin (book).pdf,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Aladdin _book_.pdf,MATCHED
FOLDER,YES,_broadway Shows,Various Artists - Aladdin (book),Various Artists - Aladdin _book_,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Aladdin (book),c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Aladdin _book_,MATCHED
PDF,YES,_Broadway Shows,"Various Artists - Beauty and the Beast (1994 MTI PC Score, complete)",Various Artists - Beauty And The Beast _1994 MTI PC Score complete_,"c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Beauty and the Beast (1994 MTI PC Score, complete).pdf",c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Beauty And The Beast _1994 MTI PC Score complete_.pdf,MATCHED
FOLDER,YES,_broadway Shows,"Various Artists - Beauty And The Beast (1994 Mti Pc Score, Complete)",Various Artists - Beauty And The Beast _1994 MTI PC Score Complete_,"c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Beauty And The Beast (1994 Mti Pc Score, Complete)",c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Beauty And The Beast _1994 MTI PC Score Complete_,MATCHED
PDF,YES,_Broadway Shows,Various Artists - Beauty and the Beast [Score],Various Artists - Beauty And The Beast _Score_,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Beauty and the Beast [Score].pdf,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Beauty And The Beast _Score_.pdf,MATCHED
