"Artist","SourceBook","Folder1","Folder1Songs","Folder2","Folder2Songs"
"Acdc","ACDC - Anthology","Acdc - Anthology","0","Anthology","3"
"Aerosmith","Aerosmith - Greatest Hits (Songbook)","Aerosmith - Greatest Hits (songbook)","0","Greatest Hits (songbook)","15"
"Allman Brothers","Allman Brothers - Allman Brothers Band [PVG]","Allman Brothers - Allman Brothers Band [pvg]","0","Allman Brothers Band [pvg]","15"
"Allman Brothers","Allman Brothers - Best Of [PVG]","Allman Brothers - Best Of [pvg]","0","Best Of [pvg]","28"
"Asia","Asia - Alpha [PVG Book]","Alpha [pvg Book]","11","Asia - Alpha [pvg Book]","4"
"Avril Lavigne","Avril Lavigne - The Best Damn Thing [PVG Book]","Avril Lavigne - The Best Damn Thing [pvg Book]","4","The Best Damn Thing [pvg Book]","12"
"Barry Manilow","Barry Manilow - Anthology","Anthology","52","Barry Manilow - Anthology","25"
"Barry Manilow","Barry Manilow - Barry Manilow [PVG Book]","Barry Manilow - Barry Manilow [pvg Book]","7","Barry Manilow [pvg Book]","13"
"Beatles","Beatles - Abbey Road","Abbey Road","19","Beatles - Abbey Road","7"
"Beatles","Beatles - Abbey Road Guitar Recorded Version","Abbey Road Guitar Recorded Version","18","Beatles - Abbey Road Guitar Recorded Version","6"
"Beatles","Beatles - Abbey Road [Scores]","Abbey Road [scores]","19","Beatles - Abbey Road [scores]","6"
"Beatles","Beatles - All Songs 1962-1974","All Songs 1962-1974","199","Beatles - All Songs 1962-1974","83"
"Beatles","Beatles - Anthology","Anthology","199","Beatles - Anthology","73"
"Beatles","Beatles - Anthology 1","Anthology 1","18","Beatles - Anthology 1","10"
"Beatles","Beatles - Anthology 1 (113 pages)","Anthology 1 (113 Pages)","26","Beatles - Anthology 1 (113 Pages)","20"
"Beatles","Beatles - Anthology 2 (page 01 - 40)","Anthology 2 (page 01 - 40)","9","Beatles - Anthology 2 (page 01 - 40)","4"
"Beatles","Beatles - Anthology 2 (page 41 -72)","Anthology 2 (page 41 -72)","1","Beatles - Anthology 2 (page 41 -72)","1"
"Beatles","Beatles - Anthology 3 (page 01 - 36)","Anthology 3 (page 01 - 36)","8","Beatles - Anthology 3 (page 01 - 36)","4"
"Beatles","Beatles - Anthology 3 (page 37 - 79","Anthology 3 (page 37 - 79","1","Beatles - Anthology 3 (page 37 - 79","1"
"Beatles","Beatles - Beatlemania 1963-1966","Beatlemania 1963-1966","34","Beatles - Beatlemania 1963-1966","10"
"Beatles","Beatles - Complete Scores","Beatles - Complete Scores","167","Complete Scores","210"
"Beatles","Beatles - Complete Scores (2)","Beatles - Complete Scores (2)","160","Complete Scores (2)","210"
"Beatles","Beatles - Essential Songs","Beatles - Essential Songs","44","Essential Songs","96"
"Beatles","Beatles - Fake Songbook (Guitar)","Beatles - Fake Songbook (guitar)","121","Fake Songbook (guitar)","178"
"Beatles","Beatles - Joy Of Beatles","Beatles - Joy Of Beatles","1","Joy Of Beatles","1"
"Beatles","Beatles - Live at the Hollywood Bowl","Beatles - Live At The Hollywood Bowl","5","Live At The Hollywood Bowl","12"
"Beatles","Beatles - Live At the Hollywood Bowl (2)","Beatles - Live At The Hollywood Bowl (2)","2","Live At The Hollywood Bowl (2)","12"
"Beatles","Beatles - Revolver","Beatles - Revolver","10","Revolver","14"
"Beatles","Beatles - Revolver (2)","Beatles - Revolver (2)","7","Revolver (2)","14"
"Beatles","Beatles - Rubber Soul","Beatles - Rubber Soul","1","Rubber Soul","13"
"Beatles","Beatles - Sergeant Pepper's Lonely Hearts Club Band","Beatles - Sergeant Pepper's Lonely Hearts Club Band","1","Sergeant Pepper's Lonely Hearts Club Band","1"
"Beatles","Beatles - Singles Collection [PVG]","Beatles - Singles Collection [pvg]","19","Singles Collection [pvg]","26"
"Beatles","Beatles - Songbook","Beatles - Songbook","83","Songbook","194"
"Beatles","Beatles - White Album 1  (Guitar Recorded Version)","Beatles - White Album 1 (guitar Recorded Version)","5","White Album 1 (guitar Recorded Version)","1"
"Bee Gees","Bee Gees - Anthology","Anthology","1","Bee Gees - Anthology","1"
"Belinda Carlisle","Belinda Carlisle - 5 Of The Best [PVG]","5 Of The Best [pvg]","5","Belinda Carlisle - 5 Of The Best [pvg]","3"
"Ben Folds","Ben Folds - Songs for Silverman","Ben Folds - Songs For Silverman","6","Songs For Silverman","13"
"Ben Folds","Ben Folds - Songs For The Silverman","Ben Folds - Songs For The Silverman","6","Songs For The Silverman","13"
"Billy Ocean","Billy Ocean - The Best Of","Billy Ocean - The Best Of","5","The Best Of","10"
"Black Eyed Peas","Black Eyed Peas - Elephunk [PVG Book]","Black Eyed Peas - Elephunk [pvg Book]","8","Elephunk [pvg Book]","11"
"Blues Brothers","Blues Brothers - Complete","Blues Brothers - Complete","6","Complete","12"
"Bob Dylan","Bob Dylan - Anthology","Anthology","46","Bob Dylan - Anthology","43"
"Bob Dylan","Bob Dylan - Anthology 1","Anthology 1","46","Bob Dylan - Anthology 1","41"
"Bob Dylan","Bob Dylan - Anthology 2","Anthology 2","51","Bob Dylan - Anthology 2","49"
"Bob Dylan","Bob Dylan - Basement Tapes [PVG]","Basement Tapes [pvg]","24","Bob Dylan - Basement Tapes [pvg]","5"
"Bob Dylan","Bob Dylan - Blonde On Blonde","Blonde On Blonde","13","Bob Dylan - Blonde On Blonde","6"
"Bob Dylan","Bob Dylan - Collection","Bob Dylan - Collection","24","Collection","47"
"Bob Dylan","Bob Dylan - Desire","Bob Dylan - Desire","2","Desire","9"
"Bob Dylan","Bob Dylan - Finger Picking","Bob Dylan - Finger Picking","9","Finger Picking","14"
"Bob Dylan","Bob Dylan - Highway 61 Revisited","Bob Dylan - Highway 61 Revisited","1","Highway 61 Revisited","10"
"Bob Dylan","Bob Dylan - Rock Score","Bob Dylan - Rock Score","3","Rock Score","6"
"Bob Dylan","Bob Dylan - Songbook","Bob Dylan - Songbook","11","Songbook","47"
"Bob Dylan","Bob Dylan - The Harp Styles of Bob Dylan [Harmonica]","Bob Dylan - The Harp Styles Of Bob Dylan [harmonica]","3","The Harp Styles Of Bob Dylan [harmonica]","12"
"Bob Seger","Bob Seger - Greatest Hits","Bob Seger - Greatest Hits","4","Greatest Hits","14"
"Bon Jovi","Bon Jovi - Best of Bon Jovi","Best Of Bon Jovi","19","Bon Jovi - Best Of Bon Jovi","18"
"Bonnie Raitt","Bonnie Raitt - Road Tested [PVG Book]","Bonnie Raitt - Road Tested [pvg Book]","7","Road Tested [pvg Book]","22"
"Bonnie Tyler","Bonnie Tyler - Hot Songs","Bonnie Tyler - Hot Songs","3","Hot Songs","7"
"Bread","Bread - Best of Bread","Best Of Bread","4","Bread - Best Of Bread","3"
"Bruce Springsteen","Bruce Springsteen - Born In The USA","Born In The Usa","13","Bruce Springsteen - Born In The Usa","5"
"Bruce Springsteen","Bruce Springsteen - Born To Run","Born To Run","8","Bruce Springsteen - Born To Run","7"
"Bruce Springsteen","Bruce Springsteen - Lucky Town","Bruce Springsteen - Lucky Town","2","Lucky Town","9"
