"Artist","BookName","FolderPath","PDFCount"
"Acdc","Anthology","C:\Work\AWSMusic\ProcessedSongs\Acdc\Anthology","3"
"Aerosmith","Greatest Hits (songbook)","C:\Work\AWSMusic\ProcessedSongs\Aerosmith\Greatest Hits (songbook)","15"
"America","Greatest Hits","C:\Work\AWSMusic\ProcessedSongs\America\Greatest Hits","12"
"Barry Manilow","Anthology","C:\Work\AWSMusic\ProcessedSongs\Barry Manilow\Anthology","52"
"Beatles","100 Hits For All Keyboards","C:\Work\AWSMusic\ProcessedSongs\Beatles\100 Hits For All Keyboards","48"
"Beatles","Abbey Road","C:\Work\AWSMusic\ProcessedSongs\Beatles\Abbey Road","19"
"Beatles","Abbey Road Guitar Recorded Version","C:\Work\AWSMusic\ProcessedSongs\Beatles\Abbey Road Guitar Recorded Version","18"
"Beatles","All Songs 1962-1974","C:\Work\AWSMusic\ProcessedSongs\Beatles\All Songs 1962-1974","199"
"Beatles","Anthology","C:\Work\AWSMusic\ProcessedSongs\Beatles\Anthology","199"
"Beatles","Anthology 1","C:\Work\AWSMusic\ProcessedSongs\Beatles\Anthology 1","18"
"Beatles","Anthology 1 (113 Pages)","C:\Work\AWSMusic\ProcessedSongs\Beatles\Anthology 1 (113 Pages)","26"
"Beatles","Anthology 2 (page 01 - 40)","C:\Work\AWSMusic\ProcessedSongs\Beatles\Anthology 2 (page 01 - 40)","9"
"Beatles","Anthology 2 (page 41 -72)","C:\Work\AWSMusic\ProcessedSongs\Beatles\Anthology 2 (page 41 -72)","1"
"Beatles","Anthology 2 (page 73 -112)","C:\Work\AWSMusic\ProcessedSongs\Beatles\Anthology 2 (page 73 -112)","1"
"Beatles","Anthology 3 (page 01 - 36)","C:\Work\AWSMusic\ProcessedSongs\Beatles\Anthology 3 (page 01 - 36)","8"
"Beatles","Anthology 3 (page 37 - 79","C:\Work\AWSMusic\ProcessedSongs\Beatles\Anthology 3 (page 37 - 79","1"
"Beatles","Anthology 3 (page 80 - 111)","C:\Work\AWSMusic\ProcessedSongs\Beatles\Anthology 3 (page 80 - 111)","1"
"Beatles","Beatlemania 1963-1966","C:\Work\AWSMusic\ProcessedSongs\Beatles\Beatlemania 1963-1966","34"
"Beatles","Complete Scores","C:\Work\AWSMusic\ProcessedSongs\Beatles\Complete Scores","210"
"Beatles","Complete Scores (2)","C:\Work\AWSMusic\ProcessedSongs\Beatles\Complete Scores (2)","210"
"Beatles","Essential Songs","C:\Work\AWSMusic\ProcessedSongs\Beatles\Essential Songs","96"
"Beatles","Fake Songbook (guitar)","C:\Work\AWSMusic\ProcessedSongs\Beatles\Fake Songbook (guitar)","178"
"Beatles","Joy Of Beatles","C:\Work\AWSMusic\ProcessedSongs\Beatles\Joy Of Beatles","1"
"Beatles","Live At The Hollywood Bowl","C:\Work\AWSMusic\ProcessedSongs\Beatles\Live At The Hollywood Bowl","12"
"Beatles","Live At The Hollywood Bowl (2)","C:\Work\AWSMusic\ProcessedSongs\Beatles\Live At The Hollywood Bowl (2)","12"
"Beatles","Revolver","C:\Work\AWSMusic\ProcessedSongs\Beatles\Revolver","14"
"Beatles","Revolver (2)","C:\Work\AWSMusic\ProcessedSongs\Beatles\Revolver (2)","14"
"Beatles","Rubber Soul","C:\Work\AWSMusic\ProcessedSongs\Beatles\Rubber Soul","13"
