"Artist","BookName","ExecutionArn","ExecutionName","S3Key"
"Billy Joel","Billy Joel - Turnstiles","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:remaining-billy-joel---turnstiles-20260127-235229-016","remaining-billy-joel---turnstiles-20260127-235229-016","books/Billy Joel/Billy Joel - Turnstiles.pdf"
"Bob Dylan","Bob Dylan - Nashville Skyline","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:remaining-bob-dylan---nashville-skyline-20260127-235234-143","remaining-bob-dylan---nashville-skyline-20260127-235234-143","books/Bob Dylan/Bob Dylan - Nashville Skyline.pdf"
"Eric Clapton","Eric Clapton - The Cream of Clapton","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:remaining-eric-clapton---the-cream-of-clapton-20260127-235244-805","remaining-eric-clapton---the-cream-of-clapton-20260127-235244-805","books/Eric Clapton/Eric Clapton - The Cream of Clapton.pdf"
"Frank Zappa","Frank Zappa - Hot Rats","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:remaining-frank-zappa---hot-rats-20260127-235249-402","remaining-frank-zappa---hot-rats-20260127-235249-402","books/Frank Zappa/Frank Zappa - Hot Rats.pdf"
"John Denver","John Denver - Back Home Again","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:remaining-john-denver---back-home-again-20260127-235252-159","remaining-john-denver---back-home-again-20260127-235252-159","books/John Denver/John Denver - Back Home Again.pdf"
"REO Speedwagon","REO Speedwagon - Life As We Know It","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:remaining-reo-speedwagon---life-as-we-know-it-20260127-235256-659","remaining-reo-speedwagon---life-as-we-know-it-20260127-235256-659","books/REO Speedwagon/REO Speedwagon - Life As We Know It.pdf"
"Steely Dan","Steely Dan - The Best","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:remaining-steely-dan---the-best-20260127-235300-835","remaining-steely-dan---the-best-20260127-235300-835","books/Steely Dan/Steely Dan - The Best.pdf"
"Tom Lehrer","Tom Lehrer - Book Covers","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:remaining-tom-lehrer---book-covers-20260127-235303-942","remaining-tom-lehrer---book-covers-20260127-235303-942","books/Tom Lehrer/Tom Lehrer - Book Covers.pdf"
"Tom Waits","Tom Waits - Tom Waits Anthology","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:remaining-tom-waits---tom-waits-anthology-20260127-235307-399","remaining-tom-waits---tom-waits-anthology-20260127-235307-399","books/Tom Waits/Tom Waits - Tom Waits Anthology.pdf"
"Various Artists","Various Artists - Ultimate 80s Songs","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:remaining-various-artists---ultimate-80s-songs-20260127-235310-822","remaining-various-artists---ultimate-80s-songs-20260127-235310-822","books/Various Artists/Various Artists - Ultimate 80s Songs.pdf"
