"Artist","BookName","ExecutionArn","ExecutionName","BookId"
"_Broadway Shows","Various Artists - 25th Annual Putnam County Spelling Bee",,"reprocess-fix-20260129-215848-463b029ac45046c8","463b029ac45046c8"
"_Broadway Shows","Various Artists - Little Shop Of Horrors Script",,"reprocess-fix-20260129-215848-2703c1ba82804b46","2703c1ba82804b46"
"_Movie and TV","The Wizard Of Oz Script",,"reprocess-fix-20260129-215848-ab95de3cb7a34791","ab95de3cb7a34791"
"_Movie and TV","Various Artists - Complete TV And Film",,"reprocess-fix-20260129-215848-095257651dd24f08","095257651dd24f08"
"Crosby Stills and Nash","Crosby Stills Nash And Young - The Guitar Collection",,"reprocess-fix-20260129-215848-b9a56af0dbad4b5d","b9a56af0dbad4b5d"
"Dire Straits","Dire Straits - Mark Knopfler Guitar Styles Vol 1 _Guitar Book_",,"reprocess-fix-20260129-215848-437adab489414fb3","437adab489414fb3"
"Elvis Presley","Elvis Presley - The Compleat _PVG Book_",,"reprocess-fix-20260129-215848-55590a3227ef423a","55590a3227ef423a"
"Eric Clapton","Eric Clapton - The Cream Of Clapton",,"reprocess-fix-20260129-215848-5d48834cb59d47dd","5d48834cb59d47dd"
"John Denver","John Denver - Back Home Again",,"reprocess-fix-20260129-215848-089c6e5eabdf4c87","089c6e5eabdf4c87"
"Mamas and the Papas","Mamas And The Papas - Songbook _PVG_",,"reprocess-fix-20260129-215848-510472cb14f241d2","510472cb14f241d2"
"Robbie Robertson","Robbie Robertson - Songbook _Guitar Tab_",,"reprocess-fix-20260129-215848-b75a8988b3894ea1","b75a8988b3894ea1"
"Tom Waits","Tom Waits - Tom Waits Anthology",,"reprocess-fix-20260129-215848-69318e3581184d37","69318e3581184d37"
"Various Artists","Various Artists - Ultimate 80s Songs",,"reprocess-fix-20260129-215848-935e3b936461432f","935e3b936461432f"
