"Artist","BookName","BookId","ExecutionArn","ExecutionName","StartTime"
"Crosby Stills and Nash","Crosby, Stills, Nash & Young - The Guitar Collection","1d278d16c41d35d0","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry5-Crosby-Stills-and-Nash-Crosby-Stills-Nash-Young-The-G-011650-15","retry5-Crosby-Stills-and-Nash-Crosby-Stills-Nash-Young-The-G-011650-15","2026-01-28T01:16:53.193000-05:00"
"Dire Straits","Dire Straits - Mark Knopfler Guitar Styles Vol 1 [Guitar Book]","9c9bdd716e16b099","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry5-Dire-Straits-Dire-Straits-Mark-Knopfler-Guitar-Styles-011651-67","retry5-Dire-Straits-Dire-Straits-Mark-Knopfler-Guitar-Styles-011651-67","2026-01-28T01:16:55.106000-05:00"
"ELO","Elton John - The Elton John Collection [Piano Solos]","887e2e45ab7b3b97","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry5-ELO-Elton-John-The-Elton-John-Collection-Piano-Solos-011653-75","retry5-ELO-Elton-John-The-Elton-John-Collection-Piano-Solos-011653-75","2026-01-28T01:16:56.380000-05:00"
"Elvis Presley","Elvis Presley - The Compleat [PVG Book]","c55d9ca3c778dd38","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry5-Elvis-Presley-Elvis-Presley-The-Compleat-PVG-Book-011654-32","retry5-Elvis-Presley-Elvis-Presley-The-Compleat-PVG-Book-011654-32","2026-01-28T01:16:57.595000-05:00"
"Eric Clapton","Eric Clapton - The Cream of Clapton","36aa31bfab289567","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry5-Eric-Clapton-Eric-Clapton-The-Cream-of-Clapton-011656-84","retry5-Eric-Clapton-Eric-Clapton-The-Cream-of-Clapton-011656-84","2026-01-28T01:16:58.725000-05:00"
"John Denver","John Denver - Back Home Again","9df2eb3af1b508ce","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry5-John-Denver-John-Denver-Back-Home-Again-011827-63","retry5-John-Denver-John-Denver-Back-Home-Again-011827-63","2026-01-28T01:18:30.425000-05:00"
"Mamas and the Papas","Mamas and The Papas - Songbook [PVG]","223a423e18bc1ec0","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry5-Mamas-and-the-Papas-Mamas-and-The-Papas-Songbook-PVG-011828-77","retry5-Mamas-and-the-Papas-Mamas-and-The-Papas-Songbook-PVG-011828-77","2026-01-28T01:18:32.133000-05:00"
"Night Ranger","Night Ranger - Best Of 2 [Jap Score]","a24b5be0f1142823","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry5-Night-Ranger-Night-Ranger-Best-Of-2-Jap-Score-011830-48","retry5-Night-Ranger-Night-Ranger-Best-Of-2-Jap-Score-011830-48","2026-01-28T01:18:34.020000-05:00"
"REO Speedwagon","REO Speedwagon - Life As We Know It","c379f5734621f8b5","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry5-REO-Speedwagon-REO-Speedwagon-Life-As-We-Know-It-011832-20","retry5-REO-Speedwagon-REO-Speedwagon-Life-As-We-Know-It-011832-20","2026-01-28T01:18:35.918000-05:00"
"Robbie Robertson","Robbie Robertson - Songbook [Guitar Tab]","08d92ded3eef6bb4","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry5-Robbie-Robertson-Robbie-Robertson-Songbook-Guitar-Tab-011834-67","retry5-Robbie-Robertson-Robbie-Robertson-Songbook-Guitar-Tab-011834-67","2026-01-28T01:18:37.712000-05:00"
