"Artist","ProcessedFolder","SongCount","HasSourceBook","SourceBookName","ProcessedPath"
"_broadway Shows","A Treasury Of Gilbert & Sullivan Part 1","50","True","A Treasury of Gilbert & Sullivan Part 1","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\A Treasury Of Gilbert & Sullivan Part 1"
"_broadway Shows","A Treasury Of Gilbert & Sullivan Part 2","47","True","A Treasury of Gilbert & Sullivan Part 2","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\A Treasury Of Gilbert & Sullivan Part 2"
"_broadway Shows","Lambert And Morrison - The Drowsy Chaperone (version 1)","1","True","Lambert and Morrison - The Drowsy Chaperone (Version 1)","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Lambert And Morrison - The Drowsy Chaperone (version 1)"
"_broadway Shows","Lambert And Morrison - The Drowsy Chaperone (version 2)","2","True","Lambert and Morrison - The Drowsy Chaperone (Version 2)","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Lambert And Morrison - The Drowsy Chaperone (version 2)"
"_broadway Shows","Lerner And Loewe - Camelot","16","True","Lerner and Loewe - Camelot","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Lerner And Loewe - Camelot"
"_broadway Shows","Mamma Mia","15","True","Mamma Mia","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Mamma Mia"
"_broadway Shows","Rogers And Hammerstein - South Pacific","7","True","Rogers and Hammerstein - South Pacific","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Rogers And Hammerstein - South Pacific"
"_broadway Shows","Steven Sondheim - All Sondheim Volume 2 Book","19","False","","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Steven Sondheim - All Sondheim Volume 2 Book"
"_broadway Shows","The Wedding Singer","72","True","The Wedding Singer","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\The Wedding Singer"
"_broadway Shows","Various Artists - Aida","1","True","Various Artists - Aida","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Aida"
"_broadway Shows","Various Artists - Aladdin (book)","8","True","Various Artists - Aladdin (book)","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Aladdin (book)"
"_broadway Shows","Various Artists - Aladdin Jr","34","True","Various Artists - Aladdin Jr","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Aladdin Jr"
"_broadway Shows","Various Artists - Annie - Full Score","29","True","Various Artists - Annie - Full Score","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Annie - Full Score"
"_broadway Shows","Various Artists - Avenue Q - Full Score","1","True","Various Artists - Avenue Q - Full Score","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Avenue Q - Full Score"
"_broadway Shows","Various Artists - Avenue X - Vocal Chorus Book","25","True","Various Artists - Avenue X - Vocal Chorus Book","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Avenue X - Vocal Chorus Book"
"_broadway Shows","Various Artists - Beauty And The Beast (1994 Mti Pc Score, Complete)","23","True","Various Artists - Beauty and the Beast (1994 MTI PC Score, complete)","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Beauty And The Beast (1994 Mti Pc Score, Complete)"
"_broadway Shows","Various Artists - Beauty And The Beast [score]","38","True","Various Artists - Beauty and the Beast [Score]","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Beauty And The Beast [score]"
"_broadway Shows","Various Artists - Best In Broadway Deluxe Edition","62","True","Various Artists - Best in Broadway Deluxe Edition","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Best In Broadway Deluxe Edition"
"_broadway Shows","Various Artists - Cabaret (1998 Version)","2","True","Various Artists - Cabaret (1998 version)","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Cabaret (1998 Version)"
"_broadway Shows","Various Artists - Cabaret (original)","3","True","Various Artists - Cabaret (Original)","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Cabaret (original)"
"_broadway Shows","Various Artists - Cats - Conductor Score","2","True","Various Artists - Cats - Conductor Score","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Cats - Conductor Score"
"_broadway Shows","Various Artists - Chicago (1975)","22","True","Various Artists - Chicago (1975)","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Chicago (1975)"
"_broadway Shows","Various Artists - Dear Evan Hansen (pvg)","15","True","Various Artists - Dear Evan Hansen (PVG)","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Dear Evan Hansen (pvg)"
"_broadway Shows","Various Artists - Dirty Rotten Scoundrels (piano-vocal)","1","True","Various Artists - Dirty Rotten Scoundrels (Piano-Vocal)","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Dirty Rotten Scoundrels (piano-vocal)"
"_broadway Shows","Various Artists - Evita [conductor Score]","10","True","Various Artists - Evita  [Conductor Score]","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Evita [conductor Score]"
"_broadway Shows","Various Artists - Evita [score]","11","True","Various Artists - Evita [Score]","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Evita [score]"
"_broadway Shows","Various Artists - Footloose [score]","15","True","Various Artists - Footloose [Score]","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Footloose [score]"
"_broadway Shows","Various Artists - Grease [1994 Score]","13","True","Various Artists - Grease [1994 Score]","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Grease [1994 Score]"
"_broadway Shows","Various Artists - Grease [2003 Score]","40","True","Various Artists - Grease [2003 Score]","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Grease [2003 Score]"
"_broadway Shows","Various Artists - Hair (rev 1995) - Piano Conductor Score","44","True","Various Artists - Hair (rev 1995) - Piano Conductor Score","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Hair (rev 1995) - Piano Conductor Score"
"_broadway Shows","Various Artists - High School Musical [score]","8","True","Various Artists - High School Musical [score]","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - High School Musical [score]"
"_broadway Shows","Various Artists - Jesus Christ Superstar","8","True","Various Artists - Jesus Christ Superstar","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Jesus Christ Superstar"
"_broadway Shows","Various Artists - Legally Blonde - Score","1","True","Various Artists - Legally Blonde - score","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Legally Blonde - Score"
"_broadway Shows","Various Artists - Les Miserables - Full Score","16","True","Various Artists - Les Miserables - Full Score","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Les Miserables - Full Score"
"_broadway Shows","Various Artists - Les Miserables - Piano-conductor","4","True","Various Artists - Les Miserables - Piano-Conductor","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Les Miserables - Piano-conductor"
"_broadway Shows","Various Artists - Les Miserables - Piano-conductor (complete)","5","True","Various Artists - Les Miserables - Piano-Conductor (complete)","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Les Miserables - Piano-conductor (complete)"
"_broadway Shows","Various Artists - Lion King [score]","57","True","Various Artists - Lion King [Score]","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Lion King [score]"
"_broadway Shows","Various Artists - Little Mermaid Workshop Score","1","True","Various Artists - Little Mermaid Workshop score","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Little Mermaid Workshop Score"
"_broadway Shows","Various Artists - Little Shop Of Horrors (original)","2","True","Various Artists - Little Shop of Horrors (original)","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Little Shop Of Horrors (original)"
"_broadway Shows","Various Artists - Mary Poppins","1","True","Various Artists - Mary Poppins","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Mary Poppins"
"_broadway Shows","Various Artists - Phantom Of Opera [satb]","5","True","Various Artists - Phantom of Opera [SATB]","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Phantom Of Opera [satb]"
"_broadway Shows","Various Artists - Phantom Of The Opera","1","True","Various Artists - Phantom of the Opera","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Phantom Of The Opera"
"_broadway Shows","Various Artists - Phantom Of The Opera [score]","7","True","Various Artists - Phantom of the Opera [Score]","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Phantom Of The Opera [score]"
"_broadway Shows","Various Artists - Rent [score]","46","True","Various Artists - Rent [Score]","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Rent [score]"
"_broadway Shows","Various Artists - Rocky Horror Show","1","True","Various Artists - Rocky Horror Show","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Rocky Horror Show"
"_broadway Shows","Various Artists - Rocky Horror Show Revised - Full Score","24","True","Various Artists - Rocky Horror Show Revised - Full Score","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Rocky Horror Show Revised - Full Score"
"_broadway Shows","Various Artists - Seussical - Tya","38","True","Various Artists - Seussical - TYA","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Seussical - Tya"
"_broadway Shows","Various Artists - Seussical [piano-conductor]","13","True","Various Artists - Seussical [Piano-Conductor]","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Seussical [piano-conductor]"
"_broadway Shows","Various Artists - Seussical [pv Score]","34","True","Various Artists - Seussical [PV Score]","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Seussical [pv Score]"
"_broadway Shows","Various Artists - Sound Of Music","16","True","Various Artists - Sound of Music","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Sound Of Music"
"_broadway Shows","Various Artists - Sound Of Music (vocal Selections)","7","True","Various Artists - Sound of Music (Vocal Selections)","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Sound Of Music (vocal Selections)"
"_broadway Shows","Various Artists - Spamalot","65","True","Various Artists - Spamalot","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Spamalot"
"_broadway Shows","Various Artists - Sweeney Todd Vocal Score","19","True","Various Artists - Sweeney Todd Vocal Score","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Sweeney Todd Vocal Score"
"_broadway Shows","Various Artists - The Hobbit Score","11","True","Various Artists - The Hobbit Score","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - The Hobbit Score"
"_broadway Shows","Various Artists - The Ultimate Broadway Fakebook","406","True","Various Artists - The Ultimate BROADWAY fakebook","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - The Ultimate Broadway Fakebook"
"_broadway Shows","Various Artists - Wicked [pvg]","13","True","Various Artists - Wicked [PVG]","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Wicked [pvg]"
"_broadway Shows","Various Artists - Wicked [score]","1","True","Various Artists - Wicked [Score]","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Wicked [score]"
"_broadway Shows","Various Artists - Wizard Of Oz - Piano Conductor","24","True","Various Artists - Wizard Of Oz - Piano Conductor","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Wizard Of Oz - Piano Conductor"
"_broadway Shows","Various Artists - Wizard Of Oz (rsc Piano-conductor)","20","True","Various Artists - Wizard Of Oz (RSC Piano-Conductor)","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Wizard Of Oz (rsc Piano-conductor)"
"_broadway Shows","Various Artists - You're A Good Man Charlie Brown [revival] [score]","38","True","Various Artists - You're A Good Man Charlie Brown [revival] [score]","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - You're A Good Man Charlie Brown [revival] [score]"
"_movie And Tv","Beauty And The Beast [pvg]","8","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Beauty And The Beast [pvg]"
"_movie And Tv","Brother Bear (disney)","8","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Brother Bear (disney)"
"_movie And Tv","Budget Books - Movie Songs","76","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Budget Books - Movie Songs"
"_movie And Tv","Disney Collection (songs Out Of Order)","42","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Disney Collection (songs Out Of Order)"
"_movie And Tv","High School Musical - Breaking Free - Piano Sheet Music","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\High School Musical - Breaking Free - Piano Sheet Music"
"_movie And Tv","John Williams - Greatest Hits","28","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\John Williams - Greatest Hits"
"_movie And Tv","John Williams - Star Wars Episode I - The Phantom Menace","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\John Williams - Star Wars Episode I - The Phantom Menace"
"_movie And Tv","John Williams - Star Wars Episode Ii - Attack Of The Clones (lite)","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\John Williams - Star Wars Episode Ii - Attack Of The Clones (lite)"
"_movie And Tv","John Williams - Star Wars Episode Iii - Revenge Of The Sith.(incomplete Grab)","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\John Williams - Star Wars Episode Iii - Revenge Of The Sith.(incomplete Grab)"
"_movie And Tv","John Williams - Star Wars Trilogy","14","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\John Williams - Star Wars Trilogy"
"_movie And Tv","Kasha & Hirschorn - Pete's Dragon","6","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Kasha & Hirschorn - Pete's Dragon"
"_movie And Tv","Mary Poppins","11","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Mary Poppins"
"_movie And Tv","Mulan","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Mulan"
"_movie And Tv","Pirates Of The Caribbean [book 1 - The Curse Of The Black Pearl]","7","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Pirates Of The Caribbean [book 1 - The Curse Of The Black Pearl]"
"_movie And Tv","Pirates Of The Caribbean [book 2 - Dead Man's Chest]","9","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Pirates Of The Caribbean [book 2 - Dead Man's Chest]"
"_movie And Tv","Randy Newman - Toy Story 2","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Randy Newman - Toy Story 2"
"_movie And Tv","Spirited Away (disney) (2001)","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Spirited Away (disney) (2001)"
"_movie And Tv","Star Wars Suite (john Williams - Full Score - Hal Leonard)","8","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Star Wars Suite (john Williams - Full Score - Hal Leonard)"
