artist,expected_book,expected_count,status,keep_folder,delete_folders,notes
ACDC,ACDC - Anthology,3,MISSING,,,No matching folder found in S3
Adele,Adele - 19 _PVG Book_,12,MISSING,,,No matching folder found in S3
Aerosmith,Aerosmith - Greatest Hits _Songbook_,15,MISSING,,,No matching folder found in S3
Allman Brothers,Allman Brothers - Allman Brothers Band _PVG_,15,MISSING,,,No matching folder found in S3
Allman Brothers,Allman Brothers - Band Best _Score_,8,MISSING,,,No matching folder found in S3
Allman Brothers,Allman Brothers - Best Of _PVG_,28,MISSING,,,No matching folder found in S3
America,America - America _PVG Book_,12,MISSING,,,No matching folder found in S3
America,America - Greatest Hits,12,DUPLICATE,Greatest Hits,America - Greatest Hits | America - Greatest Hits [book],"Keep 12 songs, delete 14 songs from 2 folders"
America,America - Greatest Hits _Book_,4,DUPLICATE,America - Greatest Hits,Greatest Hits,"Keep 7 songs, delete 12 songs from 1 folders"
Asia,Asia - Alpha _PVG Book_,11,MISSING,,,No matching folder found in S3
Avril Lavigne,Avril Lavigne - The Best Damn Thing _PVG Book_,12,MISSING,,,No matching folder found in S3
Barry Manilow,Barry Manilow - Anthology,52,DUPLICATE,Anthology,Barry Manilow - Anthology,"Keep 53 songs, delete 25 songs from 1 folders"
Barry Manilow,Barry Manilow - Barry Manilow _PVG Book_,13,MISSING,,,No matching folder found in S3
Beatles,Beatles - 100 Hits For All Keyboards,48,DUPLICATE,100 Hits For All Keyboards,Beatles - 100 Hits For All Keyboards,"Keep 48 songs, delete 34 songs from 1 folders"
Beatles,Beatles - Abbey Road,19,DUPLICATE,Abbey Road,Beatles - Abbey Road | Beatles - Abbey Road Guitar Recorded Version | Beatles - Abbey Road [scores],"Keep 17 songs, delete 19 songs from 3 folders"
Beatles,Beatles - Abbey Road Guitar Recorded Version,18,DUPLICATE,Abbey Road Guitar Recorded Version,Abbey Road | Beatles - Abbey Road | Beatles - Abbey Road Guitar Recorded Version,"Keep 18 songs, delete 30 songs from 3 folders"
Beatles,Beatles - All Songs 1962-1974,199,DUPLICATE,All Songs 1962-1974,Beatles - All Songs 1962-1974,"Keep 199 songs, delete 83 songs from 1 folders"
Beatles,Beatles - Anthology,199,DUPLICATE,Anthology,Beatles - Anthology | Beatles - Anthology 1 | Beatles - Anthology 1 (113 Pages) | Beatles - Anthology 2 (page 01 - 40) | Beatles - Anthology 2 (page 41 -72) | Beatles - Anthology 3 (page 01 - 36) | Beatles - Anthology 3 (page 37 - 79,"Keep 199 songs, delete 113 songs from 7 folders"
Beatles,Beatles - Anthology 1,18,DUPLICATE,Anthology 1,Anthology | Beatles - Anthology | Beatles - Anthology 1 | Beatles - Anthology 1 (113 Pages),"Keep 18 songs, delete 302 songs from 4 folders"
Beatles,Beatles - Anthology 1 _113 pages_,26,DUPLICATE,Anthology 1,Anthology | Beatles - Anthology | Beatles - Anthology 1,"Keep 18 songs, delete 282 songs from 3 folders"
Beatles,Beatles - Anthology 2 page_01_-_40,9,DUPLICATE,Beatles - Anthology,Anthology,"Keep 73 songs, delete 199 songs from 1 folders"
Beatles,Beatles - Anthology 2 page_41_-72,1,DUPLICATE,Beatles - Anthology,Anthology,"Keep 73 songs, delete 199 songs from 1 folders"
Beatles,Beatles - Anthology 2 page_73_-112,1,DUPLICATE,Beatles - Anthology,Anthology,"Keep 73 songs, delete 199 songs from 1 folders"
Beatles,Beatles - Anthology 3 _page 37 - 79,1,DUPLICATE,Beatles - Anthology,Anthology,"Keep 73 songs, delete 199 songs from 1 folders"
Beatles,Beatles - Anthology 3 page_01_-_36,8,DUPLICATE,Beatles - Anthology,Anthology,"Keep 73 songs, delete 199 songs from 1 folders"
Beatles,Beatles - Anthology 3 page_80_-_111,1,DUPLICATE,Beatles - Anthology,Anthology,"Keep 73 songs, delete 199 songs from 1 folders"
Beatles,Beatles - Beatlemania 1963-1966,34,DUPLICATE,Beatlemania 1963-1966,Beatles - Beatlemania 1963-1966,"Keep 33 songs, delete 10 songs from 1 folders"
Beatles,Beatles - Complete Scores,210,DUPLICATE,Complete Scores,Beatles - Complete Scores | Beatles - Complete Scores (2),"Keep 210 songs, delete 327 songs from 2 folders"
Beatles,Beatles - Complete Scores _2_,210,DUPLICATE,Complete Scores,Beatles - Complete Scores,"Keep 210 songs, delete 167 songs from 1 folders"
Beatles,Beatles - Essential Songs,96,DUPLICATE,Essential Songs,Beatles - Essential Songs,"Keep 96 songs, delete 44 songs from 1 folders"
Beatles,Beatles - Fake Songbook _Guitar_,178,OK,Songbook,,"Single folder, 194 songs"
Beatles,Beatles - Joy Of Beatles,1,DUPLICATE,Joy Of Beatles,Beatles - Joy Of Beatles,"Keep 1 songs, delete 1 songs from 1 folders"
Beatles,Beatles - Live At The Hollywood Bowl,12,DUPLICATE,Live At The Hollywood Bowl,Beatles - Live At The Hollywood Bowl | Beatles - Live At The Hollywood Bowl (2),"Keep 12 songs, delete 7 songs from 2 folders"
Beatles,Beatles - Live At The Hollywood Bowl _2_,12,DUPLICATE,Live At The Hollywood Bowl,Beatles - Live At The Hollywood Bowl,"Keep 12 songs, delete 5 songs from 1 folders"
Beatles,Beatles - Revolver,14,DUPLICATE,Revolver,Beatles - Revolver | Beatles - Revolver (2),"Keep 14 songs, delete 17 songs from 2 folders"
Beatles,Beatles - Revolver _2_,14,DUPLICATE,Revolver,Beatles - Revolver,"Keep 14 songs, delete 10 songs from 1 folders"
Beatles,Beatles - Rubber Soul,13,DUPLICATE,Rubber Soul,Beatles - Rubber Soul,"Keep 14 songs, delete 1 songs from 1 folders"
