artist,preferred_book,other_book,filename,source_path,target_path,reason,size,size_other,size_preferred,size_diff
Allman Brothers,Allman Brothers - Allman Brothers Band [pvg],Allman Brothers Band [pvg],Allman Brothers - Ain't Wastin' My Time No More.pdf,Allman Brothers/Allman Brothers Band [pvg]/Allman Brothers - Ain't Wastin' My Time No More.pdf,Allman Brothers/Allman Brothers - Allman Brothers Band [pvg]/Allman Brothers - Ain't Wastin' My Time No More.pdf,smaller_in_other,,6115944,11748035,5632091
Allman Brothers,Allman Brothers - Allman Brothers Band [pvg],Allman Brothers Band [pvg],Allman Brothers - Don't Keep Me Wonderin'.pdf,Allman Brothers/Allman Brothers Band [pvg]/Allman Brothers - Don't Keep Me Wonderin'.pdf,Allman Brothers/Allman Brothers - Allman Brothers Band [pvg]/Allman Brothers - Don't Keep Me Wonderin'.pdf,smaller_in_other,,3854532,52027020,48172488
Allman Brothers,Allman Brothers - Allman Brothers Band [pvg],Allman Brothers Band [pvg],Allman Brothers - Come And Go Blues.pdf,Allman Brothers/Allman Brothers Band [pvg]/Allman Brothers - Come And Go Blues.pdf,Allman Brothers/Allman Brothers - Allman Brothers Band [pvg]/Allman Brothers - Come And Go Blues.pdf,unique_in_other,5632383,,,
Allman Brothers,Allman Brothers - Allman Brothers Band [pvg],Allman Brothers Band [pvg],Allman Brothers - Dreams.pdf,Allman Brothers/Allman Brothers Band [pvg]/Allman Brothers - Dreams.pdf,Allman Brothers/Allman Brothers - Allman Brothers Band [pvg]/Allman Brothers - Dreams.pdf,unique_in_other,3697923,,,
Allman Brothers,Allman Brothers - Allman Brothers Band [pvg],Allman Brothers Band [pvg],Allman Brothers - Every Hungry Woman.pdf,Allman Brothers/Allman Brothers Band [pvg]/Allman Brothers - Every Hungry Woman.pdf,Allman Brothers/Allman Brothers - Allman Brothers Band [pvg]/Allman Brothers - Every Hungry Woman.pdf,unique_in_other,4536477,,,
Allman Brothers,Allman Brothers - Allman Brothers Band [pvg],Allman Brothers Band [pvg],Allman Brothers - It's Not My Cross To Bear.pdf,Allman Brothers/Allman Brothers Band [pvg]/Allman Brothers - It's Not My Cross To Bear.pdf,Allman Brothers/Allman Brothers - Allman Brothers Band [pvg]/Allman Brothers - It's Not My Cross To Bear.pdf,unique_in_other,3501399,,,
Allman Brothers,Allman Brothers - Allman Brothers Band [pvg],Allman Brothers Band [pvg],Allman Brothers - Jessica.pdf,Allman Brothers/Allman Brothers Band [pvg]/Allman Brothers - Jessica.pdf,Allman Brothers/Allman Brothers - Allman Brothers Band [pvg]/Allman Brothers - Jessica.pdf,unique_in_other,4687147,,,
Allman Brothers,Allman Brothers - Allman Brothers Band [pvg],Allman Brothers Band [pvg],Allman Brothers - Midnight Rider.pdf,Allman Brothers/Allman Brothers Band [pvg]/Allman Brothers - Midnight Rider.pdf,Allman Brothers/Allman Brothers - Allman Brothers Band [pvg]/Allman Brothers - Midnight Rider.pdf,unique_in_other,4679943,,,
Allman Brothers,Allman Brothers - Allman Brothers Band [pvg],Allman Brothers Band [pvg],Allman Brothers - Please Call Home.pdf,Allman Brothers/Allman Brothers Band [pvg]/Allman Brothers - Please Call Home.pdf,Allman Brothers/Allman Brothers - Allman Brothers Band [pvg]/Allman Brothers - Please Call Home.pdf,unique_in_other,4366417,,,
Allman Brothers,Allman Brothers - Allman Brothers Band [pvg],Allman Brothers Band [pvg],Allman Brothers - Ramblin' Man.pdf,Allman Brothers/Allman Brothers Band [pvg]/Allman Brothers - Ramblin' Man.pdf,Allman Brothers/Allman Brothers - Allman Brothers Band [pvg]/Allman Brothers - Ramblin' Man.pdf,unique_in_other,4354460,,,
Allman Brothers,Allman Brothers - Allman Brothers Band [pvg],Allman Brothers Band [pvg],Allman Brothers - Southbound.pdf,Allman Brothers/Allman Brothers Band [pvg]/Allman Brothers - Southbound.pdf,Allman Brothers/Allman Brothers - Allman Brothers Band [pvg]/Allman Brothers - Southbound.pdf,unique_in_other,5127659,,,
Allman Brothers,Allman Brothers - Allman Brothers Band [pvg],Allman Brothers Band [pvg],Allman Brothers - Wasted Words.pdf,Allman Brothers/Allman Brothers Band [pvg]/Allman Brothers - Wasted Words.pdf,Allman Brothers/Allman Brothers - Allman Brothers Band [pvg]/Allman Brothers - Wasted Words.pdf,unique_in_other,4857277,,,
Allman Brothers,Allman Brothers - Allman Brothers Band [pvg],Allman Brothers Band [pvg],Allman Brothers - Whipping Post.pdf,Allman Brothers/Allman Brothers Band [pvg]/Allman Brothers - Whipping Post.pdf,Allman Brothers/Allman Brothers - Allman Brothers Band [pvg]/Allman Brothers - Whipping Post.pdf,unique_in_other,4993638,,,
Allman Brothers,Allman Brothers - Allman Brothers Band [pvg],Allman Brothers Band [pvg],Allman Brothers - Will The Circle Be Unbroken-.pdf,Allman Brothers/Allman Brothers Band [pvg]/Allman Brothers - Will The Circle Be Unbroken-.pdf,Allman Brothers/Allman Brothers - Allman Brothers Band [pvg]/Allman Brothers - Will The Circle Be Unbroken-.pdf,unique_in_other,3373036,,,
Allman Brothers,Allman Brothers - Band Best [score],Band Best [score],Allman Brothers - One Way Out.pdf,Allman Brothers/Band Best [score]/Allman Brothers - One Way Out.pdf,Allman Brothers/Allman Brothers - Band Best [score]/Songs/Allman Brothers - One Way Out.pdf,smaller_in_other,,1556103,4751805,3195702
Allman Brothers,Allman Brothers - Band Best [score],Band Best [score],Allman Brothers - Don't Keep Me Wondering.pdf,Allman Brothers/Band Best [score]/Allman Brothers - Don't Keep Me Wondering.pdf,Allman Brothers/Allman Brothers - Band Best [score]/Allman Brothers - Don't Keep Me Wondering.pdf,unique_in_other,560616,,,
Allman Brothers,Allman Brothers - Band Best [score],Band Best [score],Allman Brothers - Midnight Rider.pdf,Allman Brothers/Band Best [score]/Allman Brothers - Midnight Rider.pdf,Allman Brothers/Allman Brothers - Band Best [score]/Allman Brothers - Midnight Rider.pdf,unique_in_other,365466,,,
Allman Brothers,Allman Brothers - Band Best [score],Band Best [score],Allman Brothers - Stand Back.pdf,Allman Brothers/Band Best [score]/Allman Brothers - Stand Back.pdf,Allman Brothers/Allman Brothers - Band Best [score]/Allman Brothers - Stand Back.pdf,unique_in_other,2008307,,,
Allman Brothers,Allman Brothers - Band Best [score],Band Best [score],Allman Brothers - Statesboro Blues.pdf,Allman Brothers/Band Best [score]/Allman Brothers - Statesboro Blues.pdf,Allman Brothers/Allman Brothers - Band Best [score]/Allman Brothers - Statesboro Blues.pdf,unique_in_other,890780,,,
Allman Brothers,Allman Brothers - Band Best [score],Band Best [score],Allman Brothers - Wasted Words.pdf,Allman Brothers/Band Best [score]/Allman Brothers - Wasted Words.pdf,Allman Brothers/Allman Brothers - Band Best [score]/Allman Brothers - Wasted Words.pdf,unique_in_other,1187631,,,
Allman Brothers,Allman Brothers - Band Best [score],Band Best [score],Allman Brothers - Whipping Post.pdf,Allman Brothers/Band Best [score]/Allman Brothers - Whipping Post.pdf,Allman Brothers/Allman Brothers - Band Best [score]/Allman Brothers - Whipping Post.pdf,unique_in_other,790763,,,
America,America - America [pvg Book],America [pvg Book],America - Everyone I Meet Is From California.pdf,America/America [pvg Book]/America - Everyone I Meet Is From California.pdf,America/America - America [pvg Book]/America - Everyone I Meet Is From California.pdf,smaller_in_other,,97075,170862,73787
America,America - America [pvg Book],America [pvg Book],America - Children.pdf,America/America [pvg Book]/America - Children.pdf,America/America - America [pvg Book]/America - Children.pdf,unique_in_other,175799,,,
America,America - America [pvg Book],America [pvg Book],America - Donkey Jaw.pdf,America/America [pvg Book]/America - Donkey Jaw.pdf,America/America - America [pvg Book]/America - Donkey Jaw.pdf,unique_in_other,77526,,,
America,America - America [pvg Book],America [pvg Book],America - Never Found The Time.pdf,America/America [pvg Book]/America - Never Found The Time.pdf,America/America - America [pvg Book]/America - Never Found The Time.pdf,unique_in_other,86411,,,
America,America - America [pvg Book],America [pvg Book],America - Sandman.pdf,America/America [pvg Book]/America - Sandman.pdf,America/America - America [pvg Book]/America - Sandman.pdf,unique_in_other,63391,,,
America,America - America [pvg Book],America [pvg Book],Dewey Bunnell - Children.pdf,America/America [pvg Book]/Songs/Dewey Bunnell - Children.pdf,America/America - America [pvg Book]/Dewey Bunnell - Children.pdf,unique_in_other,175799,,,
America,America - America [pvg Book],America [pvg Book],Dewey Bunnell - Three Roses.pdf,America/America [pvg Book]/Songs/Dewey Bunnell - Three Roses.pdf,America/America - America [pvg Book]/Dewey Bunnell - Three Roses.pdf,unique_in_other,101887,,,
America,America - America [pvg Book],America [pvg Book],Dewey Runnell - Pigeon Song.pdf,America/America [pvg Book]/Songs/Dewey Runnell - Pigeon Song.pdf,America/America - America [pvg Book]/Dewey Runnell - Pigeon Song.pdf,unique_in_other,74078,,,
America,America - America [pvg Book],America [pvg Book],Dewey Runnell - Riverside.pdf,America/America [pvg Book]/Songs/Dewey Runnell - Riverside.pdf,America/America - America [pvg Book]/Dewey Runnell - Riverside.pdf,unique_in_other,116553,,,
America,America - America [pvg Book],America [pvg Book],Gerry Beckley - Here.pdf,America/America [pvg Book]/Songs/Gerry Beckley - Here.pdf,America/America - America [pvg Book]/Gerry Beckley - Here.pdf,unique_in_other,1827452,,,
America,America - America [pvg Book],America [pvg Book],Gerry Beckley - I Need You.pdf,America/America [pvg Book]/Songs/Gerry Beckley - I Need You.pdf,America/America - America [pvg Book]/Gerry Beckley - I Need You.pdf,unique_in_other,103298,,,
America,America - America [pvg Book],America [pvg Book],Gerry Rafferty - Clarice.pdf,America/America [pvg Book]/Songs/Gerry Rafferty - Clarice.pdf,America/America - America [pvg Book]/Gerry Rafferty - Clarice.pdf,unique_in_other,81407,,,
