local_artist,local_book,local_count,s3_artist,s3_book,s3_count,common_files,local_only,s3_only,match_pct,count_diff_pct,quality
Acdc,ACDC - Anthology,3,Acdc,Anthology,3,3,0,0,1.000,0.000,PERFECT
Adele,Adele - 19 _PVG Book_,12,Adele,19 [pvg Book],12,12,0,0,1.000,0.000,PERFECT
Aerosmith,Aerosmith - Greatest Hits _Songbook_,15,Aerosmith,Greatest Hits (songbook),15,15,0,0,1.000,0.000,PERFECT
Allman Brothers,Allman Brothers - Allman Brothers Band _PVG_,15,Allman Brothers,Allman Brothers Band [pvg],15,15,0,0,1.000,0.000,PERFECT
Allman Brothers,Allman Brothers - Band Best _Score_,8,Allman Brothers,Band Best [score],8,8,0,0,1.000,0.000,PERFECT
Allman Brothers,Allman Brothers - Best Of _PVG_,28,Allman Brothers,Best Of [pvg],28,28,0,0,1.000,0.000,PERFECT
America,America - America _PVG Book_,12,America,America [pvg Book],13,5,7,8,0.417,0.083,POOR
America,America - Greatest Hits,12,,,0,0,12,0,0.000,1.000,NO_MATCH
America,America - Greatest Hits [Book],4,America,America - Greatest Hits [book],7,4,0,0,1.000,0.750,PERFECT
America,America - Greatest Hits _Book_,4,,,0,0,4,0,0.000,1.000,NO_MATCH
Asia,Asia - Alpha _PVG Book_,11,,,0,0,11,0,0.000,1.000,NO_MATCH
Avril Lavigne,Avril Lavigne - The Best Damn Thing _PVG Book_,12,,,0,0,12,0,0.000,1.000,NO_MATCH
Barry Manilow,Barry Manilow - Anthology,52,Barry Manilow,Anthology,53,52,0,1,1.000,0.019,EXCELLENT
Barry Manilow,Barry Manilow - Barry Manilow _PVG Book_,13,,,0,0,13,0,0.000,1.000,NO_MATCH
Beatles,Beatles - 100 Hits For All Keyboards,48,Beatles,Beatles - Essential Songs,44,14,34,30,0.292,0.083,POOR
Beatles,Beatles - Abbey Road,19,,,0,0,19,0,0.000,1.000,NO_MATCH
Beatles,Beatles - Abbey Road Guitar Recorded Version,18,Beatles,Beatles - Complete Scores,167,15,3,152,0.833,8.278,PARTIAL
Beatles,Beatles - All Songs 1962-1974,199,Beatles,Beatles - Complete Scores (2),160,131,68,29,0.658,0.196,POOR
Beatles,Beatles - Anthology,199,,,0,0,199,0,0.000,1.000,NO_MATCH
Beatles,Beatles - Anthology 1,18,Beatles,Beatles - Anthology 1 (113 Pages),20,9,9,11,0.500,0.111,POOR
Beatles,Beatles - Anthology 1 _113 pages_,26,,,0,0,26,0,0.000,1.000,NO_MATCH
Beatles,Beatles - Anthology 2 page_01_-_40,9,,,0,0,9,0,0.000,1.000,NO_MATCH
Beatles,Beatles - Anthology 2 page_41_-72,1,Beatles,Beatles - Anthology 2 (page 41 -72),1,1,0,0,1.000,0.000,PERFECT
Beatles,Beatles - Anthology 2 page_73_-112,1,Beatles,Beatles - 100 Hits For All Keyboards,34,1,0,33,1.000,33.000,PARTIAL
Beatles,Beatles - Anthology 3 _page 37 - 79,1,Beatles,Beatles - Anthology 3 (page 37 - 79,1,1,0,0,1.000,0.000,PERFECT
Beatles,Beatles - Anthology 3 page_01_-_36,8,,,0,0,8,0,0.000,1.000,NO_MATCH
Beatles,Beatles - Anthology 3 page_80_-_111,1,Beatles,Beatles - Abbey Road,7,1,0,6,1.000,6.000,PARTIAL
Beatles,Beatles - Beatlemania 1963-1966,34,,,0,0,34,0,0.000,1.000,NO_MATCH
Beatles,Beatles - Complete Scores,210,Beatles,Fake Songbook (guitar),250,9,201,241,0.043,0.190,POOR
Beatles,Beatles - Complete Scores _2_,210,,,0,0,210,0,0.000,1.000,NO_MATCH
Beatles,Beatles - Essential Songs,96,Beatles,Beatles - Songbook,83,42,54,41,0.438,0.135,POOR
Beatles,Beatles - Fake Songbook _Guitar_,178,,,0,0,178,0,0.000,1.000,NO_MATCH
Beatles,Beatles - Joy Of Beatles,1,Beatles,Beatles - Joy Of Beatles,1,1,0,0,1.000,0.000,PERFECT
Beatles,Beatles - Live At The Hollywood Bowl,12,,,0,0,12,0,0.000,1.000,NO_MATCH
Beatles,Beatles - Live At The Hollywood Bowl _2_,12,,,0,0,12,0,0.000,1.000,NO_MATCH
Beatles,Beatles - Revolver,14,,,0,0,14,0,0.000,1.000,NO_MATCH
Beatles,Beatles - Revolver _2_,14,,,0,0,14,0,0.000,1.000,NO_MATCH
Beatles,Beatles - Rubber Soul,13,,,0,0,13,0,0.000,1.000,NO_MATCH
Beatles,Beatles - Sergeant Peppers Lonely Hearts Club Band,1,Beatles,Beatles - Sergeant Pepper's Lonely Hearts Club Band,1,1,0,0,1.000,0.000,PERFECT
Beatles,Beatles - Singles Collection _PVG_,26,,,0,0,26,0,0.000,1.000,NO_MATCH
Beatles,Beatles - Songbook,194,,,0,0,194,0,0.000,1.000,NO_MATCH
Beatles,Beatles - White Album 1 _Guitar Recorded Version_,1,Beatles,Beatles - Anthology,73,1,0,72,1.000,72.000,PARTIAL
Bee Gees,Bee Gees - Anthology,1,Bee Gees,Bee Gees - Anthology,1,1,0,0,1.000,0.000,PERFECT
Belinda Carlisle,Belinda Carlisle - 5 Of The Best _PVG_,5,,,0,0,5,0,0.000,1.000,NO_MATCH
Ben Folds,Ben Folds - Rockin The Suburbs _Book_,1,Ben Folds,Ben Folds - Rockin' The Suburbs [book],1,1,0,0,1.000,0.000,PERFECT
Ben Folds,Ben Folds - Rockin' The Suburbs [Book],1,Ben Folds,Rockin' The Suburbs [book],1,1,0,0,1.000,0.000,PERFECT
Ben Folds,Ben Folds - Songs For Silverman,13,Ben Folds,Songs For Silverman,13,11,2,2,0.846,0.000,PARTIAL
Ben Folds,Ben Folds - Songs For The Silverman,13,Ben Folds,Songs For The Silverman,13,11,2,2,0.846,0.000,PARTIAL
Ben Folds,Ben Folds Five - Rockin The Suburbs,12,,,0,0,12,0,0.000,1.000,NO_MATCH
Ben Folds,Ben Folds Five - Selections From Naked Baby Photos _Score_,15,Ben Folds,Ben Folds Five - Selections From Naked Baby Photos [score],18,14,1,4,0.933,0.200,PARTIAL
Ben Folds,Ben Folds Five - Whatever And Ever Amen _Book_,12,Ben Folds,Ben Folds Five - Whatever And Ever Amen [book],15,11,1,4,0.917,0.250,PARTIAL
Billy Joel,Billy Joel - 52nd Street,9,Billy Joel,52nd Street,9,9,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - Anthology,29,Billy Joel,Billy Joel - Anthology,29,29,0,0,1.000,0.000,PERFECT
