from_artist,from_book,to_artist,to_book,match_quality,song_count
Acdc,Anthology,Acdc,ACDC - Anthology,PERFECT,3
Adele,19 [pvg Book],Adele,Adele - 19 _PVG Book_,PERFECT,12
Aerosmith,Greatest Hits (songbook),Aerosmith,Aerosmith - Greatest Hits _Songbook_,PERFECT,15
Allman Brothers,Allman Brothers Band [pvg],Allman Brothers,Allman Brothers - Allman Brothers Band _PVG_,PERFECT,15
Allman Brothers,Band Best [score],Allman Brothers,Allman Brothers - Band Best _Score_,PERFECT,8
Allman Brothers,Best Of [pvg],Allman Brothers,Allman Brothers - Best Of _PVG_,PERFECT,28
America,America - Greatest Hits,America,America - America _PVG Book_,PARTIAL,7
America,America - Greatest Hits [book],America,America - Greatest Hits [Book],PERFECT,7
America,America - Greatest Hits [book],America,America - Greatest Hits _Book_,PERFECT,7
Barry Manilow,Anthology,Barry Manilow,Barry Manilow - Anthology,PERFECT,53
Barry Manilow,Barry Manilow - Barry Manilow [pvg Book],Barry Manilow,Barry Manilow - Barry Manilow _PVG Book_,PARTIAL,7
Beatles,Beatles - Complete Scores,Beatles,Beatles - 100 Hits For All Keyboards,PARTIAL,167
Beatles,Beatles - Complete Scores,Beatles,Beatles - Abbey Road,PARTIAL,167
Beatles,Beatles - Complete Scores,Beatles,Beatles - Abbey Road Guitar Recorded Version,GOOD,167
Beatles,Beatles - Complete Scores,Beatles,Beatles - All Songs 1962-1974,PARTIAL,167
Beatles,Beatles - Complete Scores,Beatles,Beatles - Anthology,PARTIAL,167
Beatles,Beatles - Anthology 1 (113 Pages),Beatles,Beatles - Anthology 1 _113 pages_,PARTIAL,20
Beatles,Beatles - Complete Scores,Beatles,Beatles - Anthology 2 page_01_-_40,PARTIAL,167
Beatles,Beatles - Anthology 2 (page 41 -72),Beatles,Beatles - Anthology 2 page_41_-72,PERFECT,1
Beatles,Beatles - 100 Hits For All Keyboards,Beatles,Beatles - Anthology 2 page_73_-112,PERFECT,34
Beatles,Beatles - Anthology 3 (page 37 - 79,Beatles,Beatles - Anthology 3 _page 37 - 79,PERFECT,1
Beatles,Beatles - Anthology 3 (page 01 - 36),Beatles,Beatles - Anthology 3 page_01_-_36,PARTIAL,4
Beatles,Beatles - Abbey Road,Beatles,Beatles - Anthology 3 page_80_-_111,PERFECT,7
Beatles,Beatles - Complete Scores (2),Beatles,Beatles - Beatlemania 1963-1966,PARTIAL,160
Beatles,Beatles - Complete Scores,Beatles,Beatles - Complete Scores _2_,PARTIAL,167
Beatles,Beatles - Complete Scores (2),Beatles,Beatles - Essential Songs,PARTIAL,160
Beatles,Beatles - Fake Songbook (guitar),Beatles,Beatles - Fake Songbook _Guitar_,PARTIAL,121
Beatles,Beatles - Anthology 1 (113 Pages),Beatles,Beatles - Joy Of Beatles,PERFECT,20
Beatles,Beatles - Complete Scores (2),Beatles,Beatles - Live At The Hollywood Bowl,PARTIAL,160
Beatles,Beatles - Complete Scores (2),Beatles,Beatles - Live At The Hollywood Bowl _2_,PARTIAL,160
Beatles,Beatles - Complete Scores (2),Beatles,Beatles - Revolver,PARTIAL,160
Beatles,Beatles - Complete Scores (2),Beatles,Beatles - Revolver _2_,PARTIAL,160
Beatles,Beatles - Complete Scores,Beatles,Beatles - Rubber Soul,GOOD,167
Beatles,Beatles - Complete Scores (2),Beatles,Beatles - Sergeant Peppers Lonely Hearts Club Band,PERFECT,160
Beatles,Beatles - Complete Scores (2),Beatles,Beatles - Singles Collection _PVG_,GOOD,160
Beatles,Beatles - Complete Scores,Beatles,Beatles - Songbook,PARTIAL,167
Beatles,Beatles - 100 Hits For All Keyboards,Beatles,Beatles - White Album 1 _Guitar Recorded Version_,PERFECT,34
Belinda Carlisle,Belinda Carlisle - 5 Of The Best [pvg],Belinda Carlisle,Belinda Carlisle - 5 Of The Best _PVG_,PARTIAL,3
Ben Folds,Ben Folds - Rockin' The Suburbs [book],Ben Folds,Ben Folds - Rockin The Suburbs _Book_,PERFECT,1
Ben Folds,Ben Folds - Rockin' The Suburbs [book],Ben Folds,Ben Folds - Rockin' The Suburbs [Book],PERFECT,1
Ben Folds,Songs For Silverman,Ben Folds,Ben Folds - Songs For Silverman,GOOD,13
Ben Folds,Songs For Silverman,Ben Folds,Ben Folds - Songs For The Silverman,GOOD,13
Ben Folds,Ben Folds Five - Rockin' The Suburbs,Ben Folds,Ben Folds Five - Rockin The Suburbs,PARTIAL,8
Ben Folds,Ben Folds Five - Selections From Naked Baby Photos [score],Ben Folds,Ben Folds Five - Selections From Naked Baby Photos _Score_,GOOD,18
Ben Folds,Ben Folds Five - Whatever And Ever Amen [book],Ben Folds,Ben Folds Five - Whatever And Ever Amen _Book_,GOOD,15
Billy Joel,52nd Street,Billy Joel,Billy Joel - 52nd Street,PERFECT,9
Billy Joel,Best Of Piano Solos,Billy Joel,Billy Joel - Best Of Piano Solos,PERFECT,13
Billy Joel,Complete Vol 1,Billy Joel,Billy Joel - Complete Vol 1,GOOD,47
Billy Joel,Complete Vol 2,Billy Joel,Billy Joel - Complete Vol 2,GOOD,48
Billy Joel,Billy Joel - Fantasies & Delusions,Billy Joel,Billy Joel - Fantasies And Delusions,PERFECT,11
Billy Joel,For Advanced Piano,Billy Joel,Billy Joel - For Advanced Piano,PERFECT,11
Billy Joel,Billy Joel - Greatest Hits,Billy Joel,Billy Joel - Greatest Hits Vol I And II,PERFECT,21
Billy Joel,Greatest Hits Vol Iii,Billy Joel,Billy Joel - Greatest Hits Vol III,PERFECT,1
Billy Joel,My Lives,Billy Joel,Billy Joel - My Lives,PARTIAL,72
Billy Joel,Rock Score,Billy Joel,Billy Joel - Rock Score,PERFECT,8
Billy Joel,Songs In The Attic,Billy Joel,Billy Joel - Songs In The Attic,PERFECT,11
Black Eyed Peas,Black Eyed Peas - Elephunk [pvg Book],Black Eyed Peas,Black Eyed Peas - Elephunk _PVG Book_,PARTIAL,8
Bob Dylan,Bob Dylan - Anthology,Bob Dylan,Bob Dylan - Anthology 1,GOOD,43
Bob Dylan,Basement Tapes [pvg],Bob Dylan,Bob Dylan - Basement Tapes _PVG_,PARTIAL,24
Bob Dylan,Blonde On Blonde,Bob Dylan,Bob Dylan - Blonde On Blonde,GOOD,13
Bob Dylan,Bob Dylan - Anthology,Bob Dylan,Bob Dylan - Collection,GOOD,43
Bob Dylan,Finger Picking,Bob Dylan,Bob Dylan - Finger Picking,GOOD,14
Bob Dylan,Highway 61 Revisited,Bob Dylan,Bob Dylan - Highway 61 Revisited,PERFECT,10
Bob Dylan,Rock Score,Bob Dylan,Bob Dylan - Rock Score,PERFECT,6
Bob Dylan,Saved,Bob Dylan,Bob Dylan - Saved,GOOD,8
Bob Dylan,Songbook,Bob Dylan,Bob Dylan - Songbook,EXCELLENT,47
Bob Dylan,The Harp Styles Of Bob Dylan [harmonica],Bob Dylan,Bob Dylan - The Harp Styles Of Bob Dylan _Harmonica_,PERFECT,12
