"Artist","ProcessedFolder","ProcessedPath","SongCount","SourceBook","SourcePath","MatchType"
"Acdc","Anthology","C:\Work\AWSMusic\ProcessedSongs\Acdc\Anthology","3","ACDC - Anthology","C:\Work\AWSMusic\SheetMusic\ACDC\books\ACDC - Anthology.pdf","1:1"
"Adele","19 [pvg Book]","C:\Work\AWSMusic\ProcessedSongs\Adele\19 [pvg Book]","12","Adele - 19 [PVG Book]","C:\Work\AWSMusic\SheetMusic\Adele\books\Adele - 19 [PVG Book].pdf","1:1"
"Aerosmith","Greatest Hits (songbook)","C:\Work\AWSMusic\ProcessedSongs\Aerosmith\Greatest Hits (songbook)","15","Aerosmith - Greatest Hits (Songbook)","C:\Work\AWSMusic\SheetMusic\Aerosmith\books\Aerosmith - Greatest Hits (Songbook).pdf","1:1"
"Allman Brothers","Allman Brothers Band [pvg]","C:\Work\AWSMusic\ProcessedSongs\Allman Brothers\Allman Brothers Band [pvg]","15","Allman Brothers - Allman Brothers Band [PVG]","C:\Work\AWSMusic\SheetMusic\Allman Brothers\books\Allman Brothers - Allman Brothers Band [PVG].pdf","1:1"
"Allman Brothers","Band Best [score]","C:\Work\AWSMusic\ProcessedSongs\Allman Brothers\Band Best [score]","8","Allman Brothers - Band Best [Score]","C:\Work\AWSMusic\SheetMusic\Allman Brothers\books\Allman Brothers - Band Best [Score].pdf","1:1"
"Allman Brothers","Best Of [pvg]","C:\Work\AWSMusic\ProcessedSongs\Allman Brothers\Best Of [pvg]","28","Allman Brothers - Best Of [PVG]","C:\Work\AWSMusic\SheetMusic\Allman Brothers\books\Allman Brothers - Best Of [PVG].pdf","1:1"
"America","America [pvg Book]","C:\Work\AWSMusic\ProcessedSongs\America\America [pvg Book]","12","America - America [PVG Book]","C:\Work\AWSMusic\SheetMusic\America\books\America - America [PVG Book].pdf","1:1"
"America","Greatest Hits","C:\Work\AWSMusic\ProcessedSongs\America\Greatest Hits","12","America - Greatest Hits","C:\Work\AWSMusic\SheetMusic\America\books\America - Greatest Hits.pdf","1:1"
"Asia","Alpha [pvg Book]","C:\Work\AWSMusic\ProcessedSongs\Asia\Alpha [pvg Book]","11","Asia - Alpha [PVG Book]","C:\Work\AWSMusic\SheetMusic\Asia\books\Asia - Alpha [PVG Book].pdf","1:1"
"Avril Lavigne","The Best Damn Thing [pvg Book]","C:\Work\AWSMusic\ProcessedSongs\Avril Lavigne\The Best Damn Thing [pvg Book]","12","Avril Lavigne - The Best Damn Thing [PVG Book]","C:\Work\AWSMusic\SheetMusic\Avril Lavigne\books\Avril Lavigne - The Best Damn Thing [PVG Book].pdf","1:1"
"Barry Manilow","Anthology","C:\Work\AWSMusic\ProcessedSongs\Barry Manilow\Anthology","52","Barry Manilow - Anthology","C:\Work\AWSMusic\SheetMusic\Barry Manilow\books\Barry Manilow - Anthology.pdf","1:1"
"Barry Manilow","Barry Manilow [pvg Book]","C:\Work\AWSMusic\ProcessedSongs\Barry Manilow\Barry Manilow [pvg Book]","13","Barry Manilow - Barry Manilow [PVG Book]","C:\Work\AWSMusic\SheetMusic\Barry Manilow\books\Barry Manilow - Barry Manilow [PVG Book].pdf","1:1"
"Beatles","100 Hits For All Keyboards","C:\Work\AWSMusic\ProcessedSongs\Beatles\100 Hits For All Keyboards","48","Beatles - 100 Hits for All Keyboards","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - 100 Hits for All Keyboards.pdf","1:1"
"Beatles","Abbey Road","C:\Work\AWSMusic\ProcessedSongs\Beatles\Abbey Road","19","Beatles - Abbey Road","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Abbey Road.pdf","1:1"
"Beatles","Abbey Road Guitar Recorded Version","C:\Work\AWSMusic\ProcessedSongs\Beatles\Abbey Road Guitar Recorded Version","18","Beatles - Abbey Road Guitar Recorded Version","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Abbey Road Guitar Recorded Version.pdf","1:1"
"Beatles","All Songs 1962-1974","C:\Work\AWSMusic\ProcessedSongs\Beatles\All Songs 1962-1974","199","Beatles - All Songs 1962-1974","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - All Songs 1962-1974.pdf","1:1"
"Beatles","Anthology","C:\Work\AWSMusic\ProcessedSongs\Beatles\Anthology","199","Beatles - Anthology","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Anthology.pdf","1:1"
"Beatles","Anthology 1","C:\Work\AWSMusic\ProcessedSongs\Beatles\Anthology 1","18","Beatles - Anthology 1","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Anthology 1.pdf","1:1"
"Beatles","Anthology 1 (113 Pages)","C:\Work\AWSMusic\ProcessedSongs\Beatles\Anthology 1 (113 Pages)","26","Beatles - Anthology 1 (113 pages)","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Anthology 1 (113 pages).pdf","1:1"
"Beatles","Anthology 2 (page 01 - 40)","C:\Work\AWSMusic\ProcessedSongs\Beatles\Anthology 2 (page 01 - 40)","9","Beatles - Anthology 2 (page 01 - 40)","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Anthology 2 (page 01 - 40).pdf","1:1"
"Beatles","Anthology 2 (page 41 -72)","C:\Work\AWSMusic\ProcessedSongs\Beatles\Anthology 2 (page 41 -72)","1","Beatles - Anthology 2 (page 41 -72)","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Anthology 2 (page 41 -72).pdf","1:1"
"Beatles","Anthology 2 (page 73 -112)","C:\Work\AWSMusic\ProcessedSongs\Beatles\Anthology 2 (page 73 -112)","1","Beatles - Anthology 2 (page 73 -112)","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Anthology 2 (page 73 -112).pdf","1:1"
"Beatles","Anthology 3 (page 01 - 36)","C:\Work\AWSMusic\ProcessedSongs\Beatles\Anthology 3 (page 01 - 36)","8","Beatles - Anthology 3 (page 01 - 36)","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Anthology 3 (page 01 - 36).pdf","1:1"
"Beatles","Anthology 3 (page 37 - 79","C:\Work\AWSMusic\ProcessedSongs\Beatles\Anthology 3 (page 37 - 79","1","Beatles - Anthology 3 (page 37 - 79","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Anthology 3 (page 37 - 79.pdf","1:1"
"Beatles","Anthology 3 (page 80 - 111)","C:\Work\AWSMusic\ProcessedSongs\Beatles\Anthology 3 (page 80 - 111)","1","Beatles - Anthology 3 (page 80 - 111)","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Anthology 3 (page 80 - 111).pdf","1:1"
"Beatles","Beatlemania 1963-1966","C:\Work\AWSMusic\ProcessedSongs\Beatles\Beatlemania 1963-1966","34","Beatles - Beatlemania 1963-1966","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Beatlemania 1963-1966.pdf","1:1"
"Beatles","Complete Scores","C:\Work\AWSMusic\ProcessedSongs\Beatles\Complete Scores","210","Beatles - Complete Scores","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Complete Scores.pdf","1:1"
"Beatles","Complete Scores (2)","C:\Work\AWSMusic\ProcessedSongs\Beatles\Complete Scores (2)","210","Beatles - Complete Scores (2)","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Complete Scores (2).pdf","1:1"
"Beatles","Essential Songs","C:\Work\AWSMusic\ProcessedSongs\Beatles\Essential Songs","96","Beatles - Essential Songs","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Essential Songs.pdf","1:1"
"Beatles","Fake Songbook (guitar)","C:\Work\AWSMusic\ProcessedSongs\Beatles\Fake Songbook (guitar)","178","Beatles - Fake Songbook (Guitar)","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Fake Songbook (Guitar).pdf","1:1"
"Beatles","Joy Of Beatles","C:\Work\AWSMusic\ProcessedSongs\Beatles\Joy Of Beatles","1","Beatles - Joy Of Beatles","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Joy Of Beatles.pdf","1:1"
"Beatles","Live At The Hollywood Bowl","C:\Work\AWSMusic\ProcessedSongs\Beatles\Live At The Hollywood Bowl","12","Beatles - Live at the Hollywood Bowl","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Live at the Hollywood Bowl.pdf","1:1"
"Beatles","Live At The Hollywood Bowl (2)","C:\Work\AWSMusic\ProcessedSongs\Beatles\Live At The Hollywood Bowl (2)","12","Beatles - Live At the Hollywood Bowl (2)","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Live At the Hollywood Bowl (2).pdf","1:1"
"Beatles","Revolver","C:\Work\AWSMusic\ProcessedSongs\Beatles\Revolver","14","Beatles - Revolver","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Revolver.pdf","1:1"
"Beatles","Revolver (2)","C:\Work\AWSMusic\ProcessedSongs\Beatles\Revolver (2)","14","Beatles - Revolver (2)","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Revolver (2).pdf","1:1"
"Beatles","Rubber Soul","C:\Work\AWSMusic\ProcessedSongs\Beatles\Rubber Soul","13","Beatles - Rubber Soul","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Rubber Soul.pdf","1:1"
"Beatles","Sergeant Pepper's Lonely Hearts Club Band","C:\Work\AWSMusic\ProcessedSongs\Beatles\Sergeant Pepper's Lonely Hearts Club Band","1","Beatles - Sergeant Pepper's Lonely Hearts Club Band","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Sergeant Pepper's Lonely Hearts Club Band.pdf","1:1"
"Beatles","Singles Collection [pvg]","C:\Work\AWSMusic\ProcessedSongs\Beatles\Singles Collection [pvg]","26","Beatles - Singles Collection [PVG]","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Singles Collection [PVG].pdf","1:1"
"Beatles","Songbook","C:\Work\AWSMusic\ProcessedSongs\Beatles\Songbook","194","Beatles - Songbook","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Songbook.pdf","1:1"
"Beatles","White Album 1 (guitar Recorded Version)","C:\Work\AWSMusic\ProcessedSongs\Beatles\White Album 1 (guitar Recorded Version)","1","Beatles - White Album 1  (Guitar Recorded Version)","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - White Album 1  (Guitar Recorded Version).pdf","1:1"
"Bee Gees","Anthology","C:\Work\AWSMusic\ProcessedSongs\Bee Gees\Anthology","1","Bee Gees - Anthology","C:\Work\AWSMusic\SheetMusic\Bee Gees\books\Bee Gees - Anthology.pdf","1:1"
"Belinda Carlisle","5 Of The Best [pvg]","C:\Work\AWSMusic\ProcessedSongs\Belinda Carlisle\5 Of The Best [pvg]","5","Belinda Carlisle - 5 Of The Best [PVG]","C:\Work\AWSMusic\SheetMusic\Belinda Carlisle\books\Belinda Carlisle - 5 Of The Best [PVG].pdf","1:1"
"Ben Folds","Ben Folds Five - Rockin' The Suburbs","C:\Work\AWSMusic\ProcessedSongs\Ben Folds\Ben Folds Five - Rockin' The Suburbs","8","Ben Folds Five - Rockin' the Suburbs","C:\Work\AWSMusic\SheetMusic\Ben Folds\books\Ben Folds Five - Rockin' the Suburbs.pdf","1:1"
"Ben Folds","Ben Folds Five - Selections From Naked Baby Photos [score]","C:\Work\AWSMusic\ProcessedSongs\Ben Folds\Ben Folds Five - Selections From Naked Baby Photos [score]","15","Ben Folds Five - Selections From Naked Baby Photos [Score]","C:\Work\AWSMusic\SheetMusic\Ben Folds\books\Ben Folds Five - Selections From Naked Baby Photos [Score].pdf","1:1"
"Ben Folds","Ben Folds Five - Whatever And Ever Amen [book]","C:\Work\AWSMusic\ProcessedSongs\Ben Folds\Ben Folds Five - Whatever And Ever Amen [book]","12","Ben Folds Five - Whatever and Ever Amen [Book]","C:\Work\AWSMusic\SheetMusic\Ben Folds\books\Ben Folds Five - Whatever and Ever Amen [Book].pdf","1:1"
"Ben Folds","Songs For Silverman","C:\Work\AWSMusic\ProcessedSongs\Ben Folds\Songs For Silverman","13","Ben Folds - Songs for Silverman","C:\Work\AWSMusic\SheetMusic\Ben Folds\books\Ben Folds - Songs for Silverman.pdf","1:1"
"Ben Folds","Songs For The Silverman","C:\Work\AWSMusic\ProcessedSongs\Ben Folds\Songs For The Silverman","13","Ben Folds - Songs For The Silverman","C:\Work\AWSMusic\SheetMusic\Ben Folds\books\Ben Folds - Songs For The Silverman.pdf","1:1"
"Billy Joel","52nd Street","C:\Work\AWSMusic\ProcessedSongs\Billy Joel\52nd Street","9","Billy Joel - 52nd Street","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - 52nd Street.pdf","1:1"
"Billy Joel","Anthology","C:\Work\AWSMusic\ProcessedSongs\Billy Joel\Anthology","29","Billy Joel - Anthology","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Anthology.pdf","1:1"
"Billy Joel","Best Of Piano Solos","C:\Work\AWSMusic\ProcessedSongs\Billy Joel\Best Of Piano Solos","13","Billy Joel - Best Of Piano Solos","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Best Of Piano Solos.pdf","1:1"
"Billy Joel","Billy Joel Greatest Hits Vols 1 And 2","C:\Work\AWSMusic\ProcessedSongs\Billy Joel\Billy Joel Greatest Hits Vols 1 And 2","11","Billy Joel Greatest Hits Vols 1 and 2","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel Greatest Hits Vols 1 and 2.pdf","1:1"
"Billy Joel","Complete Vol 1","C:\Work\AWSMusic\ProcessedSongs\Billy Joel\Complete Vol 1","47","Billy Joel - Complete Vol  1","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Complete Vol  1.pdf","1:1"
"Billy Joel","Complete Vol 2","C:\Work\AWSMusic\ProcessedSongs\Billy Joel\Complete Vol 2","48","Billy Joel - Complete Vol 2","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Complete Vol 2.pdf","1:1"
"Billy Joel","Fantasies & Delusions","C:\Work\AWSMusic\ProcessedSongs\Billy Joel\Fantasies & Delusions","11","Billy Joel - Fantasies & Delusions","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Fantasies & Delusions.pdf","1:1"
"Billy Joel","For Advanced Piano","C:\Work\AWSMusic\ProcessedSongs\Billy Joel\For Advanced Piano","11","Billy Joel - For Advanced Piano","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - For Advanced Piano.pdf","1:1"
"Billy Joel","Glass Houses","C:\Work\AWSMusic\ProcessedSongs\Billy Joel\Glass Houses","10","Billy Joel - Glass Houses","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Glass Houses.pdf","1:1"
"Billy Joel","Greatest Hits","C:\Work\AWSMusic\ProcessedSongs\Billy Joel\Greatest Hits","21","Billy Joel - Greatest Hits","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Greatest Hits.pdf","1:1"
"Billy Joel","Greatest Hits Vol I And Ii","C:\Work\AWSMusic\ProcessedSongs\Billy Joel\Greatest Hits Vol I And Ii","21","Billy Joel - Greatest Hits Vol I and II","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Greatest Hits Vol I and II.pdf","1:1"
"Billy Joel","Greatest Hits Vol Iii","C:\Work\AWSMusic\ProcessedSongs\Billy Joel\Greatest Hits Vol Iii","1","Billy Joel - Greatest Hits Vol III","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Greatest Hits Vol III.pdf","1:1"
"Billy Joel","Keyboard Book","C:\Work\AWSMusic\ProcessedSongs\Billy Joel\Keyboard Book","15","Billy Joel - Keyboard Book","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Keyboard Book.pdf","1:1"
"Billy Joel","My Lives","C:\Work\AWSMusic\ProcessedSongs\Billy Joel\My Lives","72","Billy Joel - My Lives","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - My Lives.pdf","1:1"
"Billy Joel","Rock Score","C:\Work\AWSMusic\ProcessedSongs\Billy Joel\Rock Score","8","Billy Joel - Rock Score","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Rock Score.pdf","1:1"
"Billy Joel","Songs In The Attic","C:\Work\AWSMusic\ProcessedSongs\Billy Joel\Songs In The Attic","11","Billy Joel - Songs in the Attic","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Songs in the Attic.pdf","1:1"
"Billy Ocean","The Best Of","C:\Work\AWSMusic\ProcessedSongs\Billy Ocean\The Best Of","10","Billy Ocean - The Best Of","C:\Work\AWSMusic\SheetMusic\Billy Ocean\books\Billy Ocean - The Best Of.pdf","1:1"
