BookName,CurrentArtist,CorrectArtist,CurrentPath,TargetPath,NeedsArtistRename,NeedsFolderRestructure
ACDC - Anthology,ACDC,Acdc,SheetMusic\ACDC\Books\ACDC - Anthology.pdf,SheetMusic\Acdc\ACDC - Anthology.pdf,True,True
Adele - 19 _PVG Book_,Adele,Adele,SheetMusic\Adele\Books\Adele - 19 _PVG Book_.pdf,SheetMusic\Adele\Adele - 19 _PVG Book_.pdf,False,True
Aerosmith - Greatest Hits _Songbook_,Aerosmith,Aerosmith,SheetMusic\Aerosmith\Books\Aerosmith - Greatest Hits _Songbook_.pdf,SheetMusic\Aerosmith\Aerosmith - Greatest Hits _Songbook_.pdf,False,True
Allman Brothers - Allman Brothers Band _PVG_,Allman Brothers,Allman Brothers,SheetMusic\Allman Brothers\Books\Allman Brothers - Allman Brothers Band _PVG_.pdf,SheetMusic\Allman Brothers\Allman Brothers - Allman Brothers Band _PVG_.pdf,False,True
Allman Brothers - Band Best _Score_,Allman Brothers,Allman Brothers,SheetMusic\Allman Brothers\Books\Allman Brothers - Band Best _Score_.pdf,SheetMusic\Allman Brothers\Allman Brothers - Band Best _Score_.pdf,False,True
Allman Brothers - Best Of _PVG_,Allman Brothers,Allman Brothers,SheetMusic\Allman Brothers\Books\Allman Brothers - Best Of _PVG_.pdf,SheetMusic\Allman Brothers\Allman Brothers - Best Of _PVG_.pdf,False,True
America - America _PVG Book_,America,America,SheetMusic\America\Books\America - America _PVG Book_.pdf,SheetMusic\America\America - America _PVG Book_.pdf,False,True
America - Greatest Hits _Book_,America,America,SheetMusic\America\Books\America - Greatest Hits _Book_.pdf,SheetMusic\America\America - Greatest Hits _Book_.pdf,False,True
America - Greatest Hits,America,America,SheetMusic\America\Books\America - Greatest Hits.pdf,SheetMusic\America\America - Greatest Hits.pdf,False,True
Asia - Alpha _PVG Book_,Asia,Asia,SheetMusic\Asia\Books\Asia - Alpha _PVG Book_.pdf,SheetMusic\Asia\Asia - Alpha _PVG Book_.pdf,False,True
