PDF_Path,Artist,PDF_Stem,Book_Name,Expected_Folder
SheetMusic\America\Books\America - Greatest Hits _Book_.pdf,America,America - Greatest Hits _Book_,Greatest Hits _Book_,ProcessedSongs\America\Greatest Hits _Book_
SheetMusic\Ben Folds\Books\Ben Folds - Rockin The Suburbs _Book_.pdf,Ben Folds,Ben Folds - Rockin The Suburbs _Book_,Rockin The Suburbs _Book_,ProcessedSongs\Ben Folds\Rockin The Suburbs _Book_
SheetMusic\Ben Folds\Books\Ben Folds Five - Rockin The Suburbs.pdf,Ben Folds,Ben Folds Five - Rockin The Suburbs,Rockin The Suburbs,ProcessedSongs\Ben Folds\Rockin The Suburbs
SheetMusic\Ben Folds\Books\Ben Folds Five - Selections From Naked Baby Photos _Score_.pdf,Ben Folds,Ben Folds Five - Selections From Naked Baby Photos _Score_,Selections From Naked Baby Photos _Score_,ProcessedSongs\Ben Folds\Selections From Naked Baby Photos _Score_
SheetMusic\Ben Folds\Books\Ben Folds Five - Whatever And Ever Amen _Book_.pdf,Ben Folds,Ben Folds Five - Whatever And Ever Amen _Book_,Whatever And Ever Amen _Book_,ProcessedSongs\Ben Folds\Whatever And Ever Amen _Book_
SheetMusic\Billy Joel\Books\Billy Joel - Turnstiles.pdf,Billy Joel,Billy Joel - Turnstiles,Turnstiles,ProcessedSongs\Billy Joel\Turnstiles
SheetMusic\Bob Dylan\Books\Bob Dylan - Nashville Skyline.pdf,Bob Dylan,Bob Dylan - Nashville Skyline,Nashville Skyline,ProcessedSongs\Bob Dylan\Nashville Skyline
SheetMusic\Bonnie Raitt\Books\Bonnie Raitt - Nick Of Time _PVG Book_.pdf,Bonnie Raitt,Bonnie Raitt - Nick Of Time _PVG Book_,Nick Of Time _PVG Book_,ProcessedSongs\Bonnie Raitt\Nick Of Time _PVG Book_
SheetMusic\Cheap Trick\Books\Cheap Trick - Greatest Hits _Score_.pdf,Cheap Trick,Cheap Trick - Greatest Hits _Score_,Greatest Hits _Score_,ProcessedSongs\Cheap Trick\Greatest Hits _Score_
SheetMusic\Creedence Clearwater Revival\Books\Creedence Clearwater Revival - Guitar Tab Book.pdf,Creedence Clearwater Revival,Creedence Clearwater Revival - Guitar Tab Book,Guitar Tab Book,ProcessedSongs\Creedence Clearwater Revival\Guitar Tab Book
SheetMusic\Crosby Stills and Nash\Books\Crosby Stills Nash And Young - Deja Vu _PVG Book_.pdf,Crosby Stills and Nash,Crosby Stills Nash And Young - Deja Vu _PVG Book_,Deja Vu _PVG Book_,ProcessedSongs\Crosby Stills and Nash\Deja Vu _PVG Book_
SheetMusic\Crosby Stills and Nash\Books\Crosby Stills Nash And Young - The Guitar Collection.pdf,Crosby Stills and Nash,Crosby Stills Nash And Young - The Guitar Collection,The Guitar Collection,ProcessedSongs\Crosby Stills and Nash\The Guitar Collection
SheetMusic\David Crosby\Books\David Crosby - Songbook _Lead Sheets_.pdf,David Crosby,David Crosby - Songbook _Lead Sheets_,Songbook _Lead Sheets_,ProcessedSongs\David Crosby\Songbook _Lead Sheets_
SheetMusic\Dire Straits\Books\Dire Straits - Brothers In Arms.pdf,Dire Straits,Dire Straits - Brothers In Arms,Brothers In Arms,ProcessedSongs\Dire Straits\Brothers In Arms
SheetMusic\Dire Straits\Books\Dire Straits - Mark Knopfler Guitar Styles Vol 1 _Guitar Book_.pdf,Dire Straits,Dire Straits - Mark Knopfler Guitar Styles Vol 1 _Guitar Book_,Mark Knopfler Guitar Styles Vol 1 _Guitar Book_,ProcessedSongs\Dire Straits\Mark Knopfler Guitar Styles Vol 1 _Guitar Book_
SheetMusic\Dire Straits\Books\Dire Straits - Money For Nothing _Guitar Book_.pdf,Dire Straits,Dire Straits - Money For Nothing _Guitar Book_,Money For Nothing _Guitar Book_,ProcessedSongs\Dire Straits\Money For Nothing _Guitar Book_
SheetMusic\Don Henley\Books\Don Henley - Actual Miles _Greatest Hits_.pdf,Don Henley,Don Henley - Actual Miles _Greatest Hits_,Actual Miles _Greatest Hits_,ProcessedSongs\Don Henley\Actual Miles _Greatest Hits_
SheetMusic\ELO\Books\ELO - Greatest Hits.pdf,ELO,ELO - Greatest Hits,Greatest Hits,ProcessedSongs\ELO\Greatest Hits
SheetMusic\ELO\Books\Elo - Out Of The Blue _Book_.pdf,ELO,Elo - Out Of The Blue _Book_,Out Of The Blue _Book_,ProcessedSongs\ELO\Out Of The Blue _Book_
SheetMusic\Elton John\Books\Elton John - Goodbye Yellow Brick Road.pdf,Elton John,Elton John - Goodbye Yellow Brick Road,Goodbye Yellow Brick Road,ProcessedSongs\Elton John\Goodbye Yellow Brick Road
SheetMusic\Elton John\Books\Elton John - The Elton John Collection _Piano Solos_.pdf,Elton John,Elton John - The Elton John Collection _Piano Solos_,The Elton John Collection _Piano Solos_,ProcessedSongs\Elton John\The Elton John Collection _Piano Solos_
SheetMusic\Elvis Presley\Books\Elvis Presley - The Compleat _PVG Book_.pdf,Elvis Presley,Elvis Presley - The Compleat _PVG Book_,The Compleat _PVG Book_,ProcessedSongs\Elvis Presley\The Compleat _PVG Book_
SheetMusic\Eric Clapton\Books\Eric Clapton - The Cream Of Clapton.pdf,Eric Clapton,Eric Clapton - The Cream Of Clapton,The Cream Of Clapton,ProcessedSongs\Eric Clapton\The Cream Of Clapton
SheetMusic\Frank Zappa\Books\Frank Zappa - Hot Rats.pdf,Frank Zappa,Frank Zappa - Hot Rats,Hot Rats,ProcessedSongs\Frank Zappa\Hot Rats
SheetMusic\Garth Brooks\Books\Garth Brooks - The Hits _Guitar Tab_.pdf,Garth Brooks,Garth Brooks - The Hits _Guitar Tab_,The Hits _Guitar Tab_,ProcessedSongs\Garth Brooks\The Hits _Guitar Tab_
SheetMusic\Grand Funk Railroad\Books\Grand Funk - Closer To Home _PVG Book_.pdf,Grand Funk Railroad,Grand Funk - Closer To Home _PVG Book_,Closer To Home _PVG Book_,ProcessedSongs\Grand Funk Railroad\Closer To Home _PVG Book_
SheetMusic\Grand Funk Railroad\Books\Grand Funk - Were An American Band _PVG Book_.pdf,Grand Funk Railroad,Grand Funk - Were An American Band _PVG Book_,Were An American Band _PVG Book_,ProcessedSongs\Grand Funk Railroad\Were An American Band _PVG Book_
SheetMusic\Henri Mancini\Books\Henry Mancini - A Merry Mancini Christmas.pdf,Henri Mancini,Henry Mancini - A Merry Mancini Christmas,A Merry Mancini Christmas,ProcessedSongs\Henri Mancini\A Merry Mancini Christmas
SheetMusic\Jimmy Buffet\Books\Jimmy Buffett - Barometer Soup _PVG Book_.pdf,Jimmy Buffet,Jimmy Buffett - Barometer Soup _PVG Book_,Barometer Soup _PVG Book_,ProcessedSongs\Jimmy Buffet\Barometer Soup _PVG Book_
SheetMusic\Jimmy Buffet\Books\Jimmy Buffett - Fruitcakes _PVG Book_.pdf,Jimmy Buffet,Jimmy Buffett - Fruitcakes _PVG Book_,Fruitcakes _PVG Book_,ProcessedSongs\Jimmy Buffet\Fruitcakes _PVG Book_
SheetMusic\John Denver\Books\John Denver - Back Home Again.pdf,John Denver,John Denver - Back Home Again,Back Home Again,ProcessedSongs\John Denver\Back Home Again
SheetMusic\Kelly Clarkson\Books\Kelly Clarkson - Breakaway _Book_.pdf,Kelly Clarkson,Kelly Clarkson - Breakaway _Book_,Breakaway _Book_,ProcessedSongs\Kelly Clarkson\Breakaway _Book_
SheetMusic\Kinks\Books\Kinks - Best Of _Score_.pdf,Kinks,Kinks - Best Of _Score_,Best Of _Score_,ProcessedSongs\Kinks\Best Of _Score_
SheetMusic\Kinks\Books\Kinks - Guitar Legends _Tab_.pdf,Kinks,Kinks - Guitar Legends _Tab_,Guitar Legends _Tab_,ProcessedSongs\Kinks\Guitar Legends _Tab_
SheetMusic\Led Zepplin\Books\Led Zeppelin - Led Zeppelin II.pdf,Led Zepplin,Led Zeppelin - Led Zeppelin II,Led Zeppelin II,ProcessedSongs\Led Zepplin\Led Zeppelin II
SheetMusic\Led Zepplin\Books\Led Zeppelin - Over The Hills And Far Away _PVG_.pdf,Led Zepplin,Led Zeppelin - Over The Hills And Far Away _PVG_,Over The Hills And Far Away _PVG_,ProcessedSongs\Led Zepplin\Over The Hills And Far Away _PVG_
SheetMusic\Mamas and the Papas\Books\Mamas And The Papas - Songbook _PVG_.pdf,Mamas and the Papas,Mamas And The Papas - Songbook _PVG_,Songbook _PVG_,ProcessedSongs\Mamas and the Papas\Songbook _PVG_
SheetMusic\Night Ranger\Books\Night Ranger - Best Of 2 _Jap Score_.pdf,Night Ranger,Night Ranger - Best Of 2 _Jap Score_,Best Of 2 _Jap Score_,ProcessedSongs\Night Ranger\Best Of 2 _Jap Score_
SheetMusic\REO Speedwagon\Books\REO Speedwagon - Life As We Know It.pdf,REO Speedwagon,REO Speedwagon - Life As We Know It,Life As We Know It,ProcessedSongs\REO Speedwagon\Life As We Know It
SheetMusic\Robbie Robertson\Books\Robbie Robertson - Songbook _Guitar Tab_.pdf,Robbie Robertson,Robbie Robertson - Songbook _Guitar Tab_,Songbook _Guitar Tab_,ProcessedSongs\Robbie Robertson\Songbook _Guitar Tab_
SheetMusic\Steely Dan\Books\Steely Dan - The Best.pdf,Steely Dan,Steely Dan - The Best,The Best,ProcessedSongs\Steely Dan\The Best
SheetMusic\The Band\Books\Band - Northern Lights Southern Cross _PVG_.pdf,The Band,Band - Northern Lights Southern Cross _PVG_,Northern Lights Southern Cross _PVG_,ProcessedSongs\The Band\Northern Lights Southern Cross _PVG_
SheetMusic\The Band\Books\Band - Stage Fright _PVG_.pdf,The Band,Band - Stage Fright _PVG_,Stage Fright _PVG_,ProcessedSongs\The Band\Stage Fright _PVG_
SheetMusic\Tom Lehrer\Books\Tom Lehrer - Book Covers.pdf,Tom Lehrer,Tom Lehrer - Book Covers,Book Covers,ProcessedSongs\Tom Lehrer\Book Covers
