PDF_Name_Normalized,PDF_Path,Artist
Various Artists - 25th Annual Putnam County Spelling Bee,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - 25th Annual Putnam County Spelling Bee.pdf,_Broadway Shows
Various Artists - High School Musical _score_,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - High School Musical [score].pdf,_Broadway Shows
Various Artists - Little Shop Of Horrors _Broadway_,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Little Shop Of Horrors (Broadway).pdf,_Broadway Shows
Various Artists - Little Shop Of Horrors Script,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Little Shop of Horrors Script.pdf,_Broadway Shows
Various Artists - Shrek The Musical,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Shrek The Musical.pdf,_Broadway Shows
Various Artists - Youre A Good Man Charlie Brown _Score_,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - You're A Good Man Charlie Brown (Score).pdf,_Broadway Shows
Wicked Workshop,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Wicked Workshop.pdf,_Broadway Shows
The Wizard Of Oz Script,c:\Work\AWSMusic\SheetMusic\_Movie and TV\Others\Books\The Wizard of Oz Script.pdf,_Movie and TV
Various Artists - Complete TV And Film,c:\Work\AWSMusic\SheetMusic\_Movie and TV\Others\Books\Various Artists - Complete TV and Film.pdf,_Movie and TV
Crosby Stills Nash And Young - The Guitar Collection,"c:\Work\AWSMusic\SheetMusic\Crosby Stills and Nash\Books\Crosby, Stills, Nash & Young - The Guitar Collection.pdf",Crosby Stills and Nash
Dire Straits - Mark Knopfler Guitar Styles Vol 1 _Guitar Book_,c:\Work\AWSMusic\SheetMusic\Dire Straits\Books\Dire Straits - Mark Knopfler Guitar Styles Vol 1 [Guitar Book].pdf,Dire Straits
Elvis Presley - The Compleat _PVG Book_,c:\Work\AWSMusic\SheetMusic\Elvis Presley\Books\Elvis Presley - The Compleat [PVG Book].pdf,Elvis Presley
Eric Clapton - The Cream Of Clapton,c:\Work\AWSMusic\SheetMusic\Eric Clapton\Books\Eric Clapton - The Cream of Clapton.pdf,Eric Clapton
John Denver - Back Home Again,c:\Work\AWSMusic\SheetMusic\John Denver\Books\John Denver - Back Home Again.pdf,John Denver
Mamas And The Papas - Songbook _PVG_,c:\Work\AWSMusic\SheetMusic\Mamas and the Papas\Books\Mamas and The Papas - Songbook [PVG].pdf,Mamas and the Papas
Night Ranger - Seven Wishes _Jap Score_,c:\Work\AWSMusic\SheetMusic\Night Ranger\Books\Night Ranger - Seven Wishes [Jap Score].pdf,Night Ranger
Robbie Robertson - Songbook _Guitar Tab_,c:\Work\AWSMusic\SheetMusic\Robbie Robertson\Books\Robbie Robertson - Songbook [Guitar Tab].pdf,Robbie Robertson
Steely Dan - The Best,c:\Work\AWSMusic\SheetMusic\Steely Dan\Books\Steely Dan - The Best.pdf,Steely Dan
Tom Waits - Tom Waits Anthology,c:\Work\AWSMusic\SheetMusic\Tom Waits\Books\Tom Waits - Tom Waits Anthology.pdf,Tom Waits
Various Artists - Ultimate 80s Songs,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Ultimate 80s Songs.pdf,Various Artists
